Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
168,162,6,2020-04-03 21:00:00,2020-04-03,0,58
168,162,6,2020-04-02 22:00:00,2020-04-02,0,57
168,162,6,2020-04-01 22:00:00,2020-04-01,0,56
168,162,6,2020-03-31 22:00:00,2020-03-31,0,55
168,162,6,2020-03-30 22:00:00,2020-03-30,0,54
168,162,6,2020-03-29 22:00:00,2020-03-29,0,53
168,162,6,2020-03-28 22:00:00,2020-03-28,0,52
168,162,6,2020-03-27 22:10:00,2020-03-27,0,51
168,162,6,2020-03-26 23:20:00,2020-03-26,0,50
168,162,6,2020-03-25 23:00:00,2020-03-25,0,49
168,162,6,2020-03-24 22:20:00,2020-03-24,0,48
168,161,6,2020-03-23 22:40:00,2020-03-23,0,47
168,161,6,2020-03-22 22:00:00,2020-03-22,0,46
168,161,6,2020-03-21 22:00:00,2020-03-21,0,45
168,161,6,2020-03-20 22:20:00,2020-03-20,0,44
168,161,6,2020-03-19 22:30:00,2020-03-19,0,43
168,161,6,2020-03-18 23:00:00,2020-03-18,0,42
168,161,6,2020-03-17 22:00:00,2020-03-17,0,41
168,160,6,2020-03-16 22:00:00,2020-03-16,0,40
168,160,6,2020-03-15 22:00:00,2020-03-15,0,39
168,160,6,2020-03-14 22:00:00,2020-03-14,0,38
168,160,6,2020-03-13 22:00:00,2020-03-13,0,37
168,160,6,2020-03-12 22:00:00,2020-03-12,0,36
168,159,6,2020-03-11 22:00:00,2020-03-11,0,35
168,159,6,2020-03-10 22:00:00,2020-03-10,0,34
168,159,6,2020-03-09 22:00:00,2020-03-09,0,33
168,159,6,2020-03-08 22:00:00,2020-03-08,0,32
168,158,6,2020-03-07 22:00:00,2020-03-07,0,31
168,158,6,2020-03-06 22:00:00,2020-03-06,0,30
168,158,5,2020-03-05 22:00:00,2020-03-05,0,29
168,158,5,2020-03-04 22:00:00,2020-03-04,0,28
168,151,5,2020-03-03 22:00:00,2020-03-03,0,27
168,151,5,2020-03-02 22:00:00,2020-03-02,0,26
168,149,5,2020-03-01 22:00:00,2020-03-01,0,25
168,147,5,2020-02-29 22:00:00,2020-02-29,0,24
168,133,5,2020-02-28 22:00:00,2020-02-28,0,23
168,131,5,2020-02-27 22:00:00,2020-02-27,0,22
168,127,5,2020-02-26 22:00:00,2020-02-26,0,21
168,123,5,2020-02-25 22:00:00,2020-02-25,0,20
168,106,5,2020-02-24 22:00:00,2020-02-24,0,19
168,106,4,2020-02-23 22:00:00,2020-02-23,0,18
168,104,4,2020-02-22 22:00:00,2020-02-22,0,17
168,95,4,2020-02-21 22:00:00,2020-02-21,0,16
168,86,4,2020-02-20 22:00:00,2020-02-20,5,15
163,84,4,2020-02-19 22:00:00,2020-02-19,0,14
163,79,4,2020-02-18 22:00:00,2020-02-18,0,13
163,59,4,2020-02-17 22:00:00,2020-02-17,1,12
162,51,4,2020-02-16 22:00:00,2020-02-16,0,11
162,38,4,2020-02-15 22:00:00,2020-02-15,4,10
158,36,4,2020-02-14 22:00:00,2020-02-14,1,9
157,30,4,2020-02-13 22:00:00,2020-02-13,0,8
157,27,3,2020-02-12 22:00:00,2020-02-12,15,7
142,20,3,2020-02-11 21:30:00,2020-02-11,4,6
138,19,3,2020-02-10 22:00:00,2020-02-10,8,5
130,16,3,2020-02-09 22:00:00,2020-02-09,6,4
124,14,2,2020-02-08 22:00:00,2020-02-08,9,3
115,10,2,2020-02-07 22:00:00,2020-02-07,9,2
106,8,1,2020-02-06 22:00:00,2020-02-06,15,1
91,5,1,2020-02-05 22:00:00,2020-02-05,11,0
80,4,1,2020-02-04 21:00:00,2020-02-04,9,0
71,4,1,2020-02-03 21:00:00,2020-02-03,7,0
64,2,1,2020-02-02 21:00:00,2020-02-02,6,0
58,1,1,2020-02-01 11:00:00,2020-02-01,8,0
50,1,1,2020-01-31 13:30:00,2020-01-31,7,0
43,0,1,2020-01-30 13:00:00,2020-01-30,0,0
43,0,1,2020-01-29 15:00:00,2020-01-29,10,0
33,0,1,2020-01-28 12:30:00,2020-01-28,11,0
22,0,0,2020-01-27 15:00:00,2020-01-27,3,0
19,0,0,2020-01-26 14:00:00,2020-01-26,2,0
17,0,0,2020-01-25 16:00:00,2020-01-25,9,0
8,0,0,2020-01-24 16:00:00,2020-01-24,3,0
5,0,0,2020-01-23 16:00:00,2020-01-23,1,0
4,0,0,2020-01-22 16:00:00,2020-01-22,4,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
