Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,New_recover
327,312,6,2020-04-08 18:00:00,2020-04-08,0,67,0,0
327,312,6,2020-04-07 22:00:00,2020-04-07,0,66,0,2
327,310,6,2020-04-06 22:00:00,2020-04-06,0,65,0,0
327,310,6,2020-04-05 22:00:00,2020-04-05,1,64,0,0
326,310,6,2020-04-04 21:00:00,2020-04-04,0,63,0,0
326,310,6,2020-04-03 21:00:00,2020-04-03,1,62,0,0
325,310,6,2020-04-02 21:00:00,2020-04-02,2,61,0,0
323,310,6,2020-04-01 21:00:00,2020-04-01,2,60,0,0
321,310,6,2020-03-31 21:00:00,2020-03-31,0,59,0,0
321,310,6,2020-03-30 21:00:00,2020-03-30,2,58,0,0
319,310,6,2020-03-29 21:00:00,2020-03-29,0,57,0,0
319,310,6,2020-03-28 21:00:00,2020-03-28,0,56,0,0
319,310,6,2020-03-27 21:10:00,2020-03-27,0,55,0,0
319,310,6,2020-03-26 22:20:00,2020-03-26,0,54,0,0
319,310,6,2020-03-25 23:20:00,2020-03-25,0,53,0,0
319,310,6,2020-03-24 21:20:00,2020-03-24,0,52,0,0
319,310,6,2020-03-23 21:40:00,2020-03-23,0,51,0,0
319,310,6,2020-03-22 21:00:00,2020-03-22,1,50,0,0
318,310,6,2020-03-21 21:00:00,2020-03-21,0,49,0,0
318,310,6,2020-03-20 21:20:00,2020-03-20,0,48,0,0
318,310,6,2020-03-19 21:30:00,2020-03-19,0,47,0,0
318,310,6,2020-03-18 22:00:00,2020-03-18,0,46,0,0
318,310,6,2020-03-17 21:00:00,2020-03-17,0,45,0,0
318,310,6,2020-03-16 21:00:00,2020-03-16,0,44,0,0
318,310,6,2020-03-15 21:00:00,2020-03-15,0,43,0,0
318,310,6,2020-03-14 21:00:00,2020-03-14,0,42,0,0
318,310,6,2020-03-13 21:00:00,2020-03-13,0,41,0,2
318,308,6,2020-03-12 21:00:00,2020-03-12,0,40,0,1
318,307,6,2020-03-11 21:00:00,2020-03-11,0,39,0,0
318,307,6,2020-03-10 21:00:00,2020-03-10,0,38,0,0
318,307,6,2020-03-09 21:00:00,2020-03-09,0,37,0,0
318,307,6,2020-03-08 21:00:00,2020-03-08,0,36,0,2
318,305,6,2020-03-07 21:00:00,2020-03-07,0,35,0,0
318,305,6,2020-03-06 21:00:00,2020-03-06,0,34,0,2
318,303,6,2020-03-05 21:00:00,2020-03-05,0,33,0,2
318,301,6,2020-03-04 21:00:00,2020-03-04,0,32,0,1
318,300,6,2020-03-03 21:00:00,2020-03-03,0,31,0,4
318,296,6,2020-03-02 21:00:00,2020-03-02,0,30,0,7
318,289,6,2020-03-01 21:00:00,2020-03-01,0,29,0,8
318,281,6,2020-02-29 21:00:00,2020-02-29,0,28,0,4
318,277,6,2020-02-28 21:00:00,2020-02-28,1,27,0,8
317,269,6,2020-02-27 21:00:00,2020-02-27,5,26,0,8
312,261,6,2020-02-26 21:00:00,2020-02-26,1,25,0,17
311,244,6,2020-02-25 21:00:00,2020-02-25,0,24,0,14
311,230,6,2020-02-24 21:00:00,2020-02-24,0,23,0,13
311,217,6,2020-02-23 21:00:00,2020-02-23,2,22,0,15
309,202,6,2020-02-22 21:00:00,2020-02-22,1,21,1,19
308,183,5,2020-02-21 21:00:00,2020-02-21,1,20,0,15
307,168,5,2020-02-20 21:00:00,2020-02-20,1,19,1,27
306,141,4,2020-02-19 21:00:00,2020-02-19,4,18,0,12
302,129,4,2020-02-18 21:00:00,2020-02-18,1,17,1,16
301,113,3,2020-02-17 21:00:00,2020-02-17,1,16,0,9
300,104,3,2020-02-16 21:00:00,2020-02-16,9,15,0,7
291,97,3,2020-02-15 21:00:00,2020-02-15,8,14,0,12
283,85,3,2020-02-14 21:00:00,2020-02-14,18,13,0,17
265,68,3,2020-02-13 21:00:00,2020-02-13,14,12,1,16
251,52,2,2020-02-12 21:00:00,2020-02-12,12,11,0,10
239,42,2,2020-02-11 20:30:00,2020-02-11,21,10,0,1
218,41,2,2020-02-10 21:00:00,2020-02-10,12,9,0,9
206,32,2,2020-02-09 21:00:00,2020-02-09,11,8,1,4
195,28,1,2020-02-08 21:00:00,2020-02-08,23,7,0,11
172,17,1,2020-02-07 21:00:00,2020-02-07,15,6,0,6
157,11,1,2020-02-06 21:00:00,2020-02-06,21,5,0,6
136,5,1,2020-02-05 21:00:00,2020-02-05,10,4,0,1
126,4,1,2020-02-04 20:00:00,2020-02-04,13,3,0,1
113,3,1,2020-02-03 20:00:00,2020-02-03,9,2,0,0
104,3,1,2020-02-02 20:00:00,2020-02-02,8,1,0,3
96,0,1,2020-02-01 10:00:00,2020-02-01,14,0,0,0
82,0,1,2020-01-31 12:30:00,2020-01-31,17,0,0,0
65,0,1,2020-01-30 12:00:00,2020-01-30,17,0,0,0
48,0,1,2020-01-29 14:00:00,2020-01-29,15,0,0,0
33,0,1,2020-01-28 11:30:00,2020-01-28,15,0,0,0
18,0,1,2020-01-27 14:00:00,2020-01-27,5,0,0,0
13,0,1,2020-01-26 13:00:00,2020-01-26,5,0,0,0
8,0,1,2020-01-25 15:00:00,2020-01-25,6,0,0,0
2,0,1,2020-01-24 15:00:00,2020-01-24,1,0,0,0
1,0,1,2020-01-23 15:00:00,2020-01-23,0,0,1,0
1,0,0,2020-01-22 15:00:00,2020-01-22,1,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0
