Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
25978,2721,694,2020-07-09 22:00:00,2020-07-09,550,103,17,102,84
25428,2637,677,2020-07-08 22:00:00,2020-07-08,763,102,21,101,52
24665,2585,656,2020-07-07 22:00:00,2020-07-07,722,101,17,100,95
23943,2490,639,2020-07-06 22:00:00,2020-07-06,1022,100,10,99,103
22921,2387,629,2020-07-05 22:00:00,2020-07-05,805,99,24,98,137
22116,2250,605,2020-07-04 22:00:00,2020-07-04,996,98,14,97,60
21120,2190,591,2020-07-03 22:00:00,2020-07-03,858,97,49,96,67
20262,2123,542,2020-07-02 22:00:00,2020-07-02,704,96,45,95,63
19558,2060,497,2020-07-01 22:00:00,2020-07-01,740,95,12,94,99
18818,1961,485,2020-06-30 22:00:00,2020-06-30,736,94,6,93,86
18082,1875,479,2020-06-29 22:00:00,2020-06-29,1075,93,0,92,108
17007,1767,479,2020-06-28 22:00:00,2020-06-28,1013,92,8,91,89
15994,1678,471,2020-06-27 22:00:00,2020-06-27,628,91,45,90,78
15366,1600,426,2020-06-26 22:00:00,2020-06-26,795,90,9,89,54
14571,1546,417,2020-06-25 22:00:00,2020-06-25,628,89,12,88,85
13943,1461,405,2020-06-24 22:00:00,2020-06-24,587,88,10,87,99
13356,1362,395,2020-06-23 22:00:00,2020-06-23,587,87,32,86,69
12769,1293,363,2020-06-22 22:00:00,2020-06-22,463,86,5,85,18
12306,1275,358,2020-06-21 22:00:00,2020-06-21,1048,85,9,84,61
11258,1214,349,2020-06-20 22:00:00,2020-06-20,519,84,6,83,35
10739,1179,343,2020-06-19 22:00:00,2020-06-19,440,83,7,82,63
10299,1116,336,2020-06-18 22:00:00,2020-06-18,643,82,6,81,41
9656,1075,330,2020-06-17 22:00:00,2020-06-17,478,81,8,80,50
9178,1025,322,2020-06-16 22:00:00,2020-06-16,320,80,10,79,58
8858,967,312,2020-06-15 22:00:00,2020-06-15,403,79,2,78,73
8455,894,310,2020-06-14 22:00:00,2020-06-14,323,78,4,77,50
8132,844,306,2020-06-13 22:00:00,2020-06-13,463,77,12,76,7
7669,837,294,2020-06-12 22:00:00,2020-06-12,309,76,4,75,28
7360,809,290,2020-06-11 22:00:00,2020-06-11,425,75,19,74,22
6935,787,271,2020-06-10 22:00:00,2020-06-10,485,74,9,73,47
6450,740,262,2020-06-09 22:00:00,2020-06-09,123,73,4,72,28
6327,712,258,2020-06-08 22:00:00,2020-06-08,172,72,8,71,15
6155,697,250,2020-06-07 22:00:00,2020-06-07,184,71,2,70,20
5971,677,248,2020-06-06 22:00:00,2020-06-06,91,70,5,69,29
5880,648,243,2020-06-05 22:00:00,2020-06-05,190,69,9,68,31
5690,617,234,2020-06-04 22:00:00,2020-06-04,163,68,9,67,54
5527,563,225,2020-06-03 22:00:00,2020-06-03,165,67,8,66,14
5362,549,217,2020-06-02 22:00:00,2020-06-02,160,66,5,65,12
5202,537,212,2020-06-01 22:00:00,2020-06-01,108,65,11,64,1
5094,536,201,2020-05-31 22:00:00,2020-05-31,208,64,2,63,8
4886,528,199,2020-05-30 22:00:00,2020-05-30,134,63,3,62,9
4752,519,196,2020-05-29 22:00:00,2020-05-29,112,62,2,61,13
4640,506,194,2020-05-28 22:00:00,2020-05-28,239,61,6,60,13
4401,493,188,2020-05-27 22:00:00,2020-05-27,212,60,6,59,20
4189,473,182,2020-05-26 22:00:00,2020-05-26,239,59,2,58,5
3950,468,180,2020-05-25 22:00:00,2020-05-25,207,58,6,57,13
3743,455,174,2020-05-24 22:00:00,2020-05-24,266,57,7,56,16
3477,439,167,2020-05-23 22:00:00,2020-05-23,273,56,11,55,42
3204,397,156,2020-05-22 22:00:00,2020-05-22,104,55,5,54,42
3100,355,151,2020-05-21 22:00:00,2020-05-21,145,54,4,53,6
2955,349,147,2020-05-20 22:00:00,2020-05-20,157,53,1,52,9
2798,340,146,2020-05-19 22:00:00,2020-05-19,152,52,4,51,21
2646,319,142,2020-05-18 22:00:00,2020-05-18,81,51,4,50,41
2565,278,138,2020-05-17 22:00:00,2020-05-17,105,50,4,49,14
2460,264,134,2020-05-16 22:00:00,2020-05-16,142,49,1,48,11
2318,253,133,2020-05-15 22:00:00,2020-05-15,63,48,10,47,16
2255,237,123,2020-05-14 22:00:00,2020-05-14,175,47,2,46,26
2080,211,121,2020-05-13 22:00:00,2020-05-13,-20,46,5,45,5
2100,206,116,2020-05-12 22:00:00,2020-05-12,128,45,8,44,3
1972,203,108,2020-05-11 22:00:00,2020-05-11,142,44,0,43,8
1830,195,108,2020-05-10 22:00:00,2020-05-10,59,43,1,42,3
1771,192,107,2020-05-09 22:00:00,2020-05-09,86,42,2,41,38
1685,154,105,2020-05-08 22:00:00,2020-05-08,224,41,6,40,22
1461,132,99,2020-05-07 22:00:00,2020-05-07,191,40,6,39,10
1270,122,93,2020-05-06 22:00:00,2020-05-06,92,39,10,38,0
1178,122,83,2020-05-05 22:00:00,2020-05-05,123,38,1,37,4
1055,118,82,2020-05-04 22:00:00,2020-05-04,45,37,6,36,2
1010,116,76,2020-05-03 22:00:00,2020-05-03,111,36,1,35,4
899,112,75,2020-05-02 22:00:00,2020-05-02,95,35,0,34,0
804,112,75,2020-05-01 22:00:00,2020-05-01,33,34,4,33,33
771,79,71,2020-04-30 22:00:00,2020-04-30,33,33,5,32,6
738,73,66,2020-04-29 22:00:00,2020-04-29,36,32,2,31,-6
702,79,64,2020-04-28 22:00:00,2020-04-28,41,31,3,30,0
661,79,61,2020-04-27 22:00:00,2020-04-27,34,30,2,29,14
627,65,59,2020-04-26 22:00:00,2020-04-26,36,29,4,28,7
591,58,55,2020-04-25 22:00:00,2020-04-25,29,28,8,27,8
562,50,47,2020-04-24 22:00:00,2020-04-24,43,27,0,26,19
519,31,47,2020-04-23 22:00:00,2020-04-23,9,26,1,25,1
510,30,46,2020-04-22 22:00:00,2020-04-22,16,25,0,24,1
494,29,46,2020-04-21 22:00:00,2020-04-21,17,24,0,23,4
477,25,46,2020-04-20 22:00:00,2020-04-20,5,23,0,22,10
472,15,46,2020-04-19 22:00:00,2020-04-19,15,22,0,21,5
457,10,46,2020-04-18 22:00:00,2020-04-18,15,21,5,20,1
442,9,41,2020-04-17 22:00:00,2020-04-17,16,20,6,19,0
426,9,35,2020-04-16 22:00:00,2020-04-16,7,19,4,18,0
419,9,31,2020-04-15 22:00:00,2020-04-15,12,18,5,17,2
407,7,26,2020-04-14 22:00:00,2020-04-14,10,17,1,16,0
397,7,25,2020-04-13 22:00:00,2020-04-13,4,16,0,15,0
393,7,25,2020-04-12 22:00:00,2020-04-12,1,15,1,14,0
392,7,24,2020-04-11 22:00:00,2020-04-11,10,14,1,13,0
382,7,23,2020-04-10 22:00:00,2020-04-10,39,13,0,12,1
343,6,23,2020-04-09 22:00:00,2020-04-09,31,12,1,11,0
312,6,22,2020-04-08 22:00:00,2020-04-08,7,11,0,10,0
305,6,22,2020-04-07 22:00:00,2020-04-07,7,10,0,9,0
298,6,22,2020-04-06 22:00:00,2020-04-06,30,9,0,8,0
268,6,22,2020-04-05 22:00:00,2020-04-05,4,8,7,7,3
264,3,15,2020-04-04 21:00:00,2020-04-04,42,7,0,6,0
222,3,15,2020-04-03 21:00:00,2020-04-03,3,6,1,5,0
219,3,14,2020-04-02 21:00:00,2020-04-02,47,5,4,4,0
172,3,10,2020-04-01 21:00:00,2020-04-01,31,4,3,3,0
141,3,7,2020-03-31 21:00:00,2020-03-31,2,3,4,2,0
139,3,3,2020-03-30 21:00:00,2020-03-30,29,2,2,1,0
110,3,1,2020-03-29 21:00:00,2020-03-29,15,1,0,0,0
95,3,1,2020-03-28 21:00:00,2020-03-28,28,0,0,0,3
67,0,1,2020-03-27 21:10:00,2020-03-27,15,0,1,0,0
52,0,0,2020-03-26 22:20:00,2020-03-26,16,0,0,0,0
36,0,0,2020-03-25 23:20:00,2020-03-25,6,0,0,0,0
30,0,0,2020-03-24 21:20:00,2020-03-24,3,0,0,0,0
27,0,0,2020-03-23 21:40:00,2020-03-23,1,0,0,0,0
26,0,0,2020-03-22 21:00:00,2020-03-22,2,0,0,0,0
24,0,0,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
24,0,0,2020-03-20 21:20:00,2020-03-20,12,0,0,0,0
12,0,0,2020-03-19 21:30:00,2020-03-19,3,0,0,0,0
9,0,0,2020-03-18 22:00:00,2020-03-18,1,0,0,0,0
8,0,0,2020-03-17 21:00:00,2020-03-17,2,0,0,0,0
6,0,0,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
3,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
2,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
2,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
2,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
2,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
