Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New
162,81,4,2020-03-17 22:00:00,2020-03-17,13
149,81,4,2020-03-16 22:00:00,2020-03-16,7
142,81,4,2020-03-15 22:00:00,2020-03-15,4
138,78,4,2020-03-14 22:00:00,2020-03-14,6
132,77,4,2020-03-13 22:00:00,2020-03-13,2
130,77,3,2020-03-12 22:00:00,2020-03-12,9
121,65,3,2020-03-11 22:00:00,2020-03-11,5
116,59,3,2020-03-10 22:00:00,2020-03-10,1
115,59,3,2020-03-09 22:00:00,2020-03-09,2
113,55,2,2020-03-08 22:00:00,2020-03-08,5
108,51,2,2020-03-07 22:00:00,2020-03-07,3
105,46,2,2020-03-06 22:00:00,2020-03-06,1
104,43,2,2020-03-05 22:00:00,2020-03-05,2
102,37,2,2020-03-04 22:00:00,2020-03-04,2
100,36,2,2020-03-03 22:00:00,2020-03-03,2
98,36,2,2020-03-02 22:00:00,2020-03-02,3
95,33,2,2020-03-01 22:00:00,2020-03-01,1
94,30,2,2020-02-29 22:00:00,2020-02-29,0
94,30,2,2020-02-28 22:00:00,2020-02-28,2
92,24,2,2020-02-27 22:00:00,2020-02-27,7
85,18,2,2020-02-26 22:00:00,2020-02-26,1
84,18,2,2020-02-25 22:00:00,2020-02-25,5
79,12,2,2020-02-24 22:00:00,2020-02-24,9
70,11,2,2020-02-23 22:00:00,2020-02-23,2
68,6,2,2020-02-22 22:00:00,2020-02-22,0
68,6,2,2020-02-21 22:00:00,2020-02-21,1
67,6,2,2020-02-20 22:00:00,2020-02-20,4
63,5,2,2020-02-19 22:00:00,2020-02-19,2
61,2,1,2020-02-18 22:00:00,2020-02-18,3
58,2,1,2020-02-17 22:00:00,2020-02-17,1
57,2,1,2020-02-16 22:00:00,2020-02-16,1
56,1,1,2020-02-15 22:00:00,2020-02-15,0
56,1,1,2020-02-14 22:00:00,2020-02-14,5
51,1,1,2020-02-13 22:00:00,2020-02-13,1
50,1,1,2020-02-12 22:00:00,2020-02-12,1
49,0,1,2020-02-11 21:30:00,2020-02-11,13
36,0,1,2020-02-10 22:00:00,2020-02-10,7
29,0,1,2020-02-09 22:00:00,2020-02-09,3
26,0,1,2020-02-08 22:00:00,2020-02-08,2
24,0,1,2020-02-07 22:00:00,2020-02-07,2
22,0,1,2020-02-06 22:00:00,2020-02-06,4
18,0,1,2020-02-05 22:00:00,2020-02-05,1
17,0,1,2020-02-04 21:00:00,2020-02-04,2
15,0,0,2020-02-03 21:00:00,2020-02-03,1
14,0,0,2020-02-02 21:00:00,2020-02-02,1
13,0,0,2020-02-01 11:00:00,2020-02-01,1
12,0,0,2020-01-31 13:30:00,2020-01-31,2
10,0,0,2020-01-30 13:00:00,2020-01-30,2
8,0,0,2020-01-29 15:00:00,2020-01-29,0
8,0,0,2020-01-28 12:30:00,2020-01-28,0
8,0,0,2020-01-27 15:00:00,2020-01-27,3
5,0,0,2020-01-26 14:00:00,2020-01-26,0
5,0,0,2020-01-25 16:00:00,2020-01-25,3
2,0,0,2020-01-24 16:00:00,2020-01-24,0
2,0,0,2020-01-23 16:00:00,2020-01-23,2
0,0,0,2020-01-22 16:00:00,2020-01-22,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0
