Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
67801,61201,3169,2020-03-26 14:00:00,2020-03-26,0,66
67801,60810,3163,2020-03-25 23:00:00,2020-03-25,0,65
67801,60323,3160,2020-03-24 22:20:00,2020-03-24,1,64
67800,59882,3153,2020-03-23 22:40:00,2020-03-23,0,63
67800,59433,3144,2020-03-22 22:00:00,2020-03-22,0,62
67800,58946,3139,2020-03-21 22:00:00,2020-03-21,0,61
67800,58382,3133,2020-03-20 22:20:00,2020-03-20,0,60
67800,57682,3130,2020-03-19 22:30:00,2020-03-19,0,59
67800,56886,3122,2020-03-18 23:00:00,2020-03-18,1,58
67799,55997,3111,2020-03-17 22:00:00,2020-03-17,1,57
67798,55094,3099,2020-03-16 22:00:00,2020-03-16,4,56
67794,54288,3085,2020-03-15 22:00:00,2020-03-15,4,55
67790,52960,3075,2020-03-14 22:00:00,2020-03-14,4,54
67786,51553,3062,2020-03-13 22:00:00,2020-03-13,5,53
67781,50318,3056,2020-03-12 22:00:00,2020-03-12,8,52
67773,49134,3046,2020-03-11 22:00:00,2020-03-11,13,51
67760,47741,3024,2020-03-10 22:00:00,2020-03-10,17,50
67743,46485,3007,2020-03-09 22:00:00,2020-03-09,36,49
67707,45153,2986,2020-03-08 22:00:00,2020-03-08,41,48
67666,43468,2959,2020-03-07 22:00:00,2020-03-07,74,47
67592,41966,2931,2020-03-06 22:00:00,2020-03-06,126,46
67466,40574,2902,2020-03-05 22:00:00,2020-03-05,134,45
67332,38556,2871,2020-03-04 22:00:00,2020-03-04,115,44
67217,36203,2834,2020-03-03 22:00:00,2020-03-03,114,43
67103,33762,2803,2020-03-02 22:00:00,2020-03-02,196,42
66907,31536,2761,2020-03-01 22:00:00,2020-03-01,570,41
66337,28930,2727,2020-02-29 22:00:00,2020-02-29,423,40
65914,26403,2682,2020-02-28 22:00:00,2020-02-28,318,39
65596,23370,2641,2020-02-27 22:00:00,2020-02-27,409,38
65187,20951,2615,2020-02-26 22:00:00,2020-02-26,401,37
64786,18921,2563,2020-02-25 22:00:00,2020-02-25,499,36
64287,16743,2495,2020-02-24 22:00:00,2020-02-24,203,35
64084,15327,2346,2020-02-23 22:00:00,2020-02-23,630,34
63454,13678,2250,2020-02-22 22:00:00,2020-02-22,1012,33
62442,11867,2144,2020-02-21 22:00:00,2020-02-21,411,32
62031,10504,2029,2020-02-20 22:00:00,2020-02-20,349,31
61682,9237,1921,2020-02-19 22:00:00,2020-02-19,1693,30
59989,7943,1789,2020-02-18 22:00:00,2020-02-18,1807,29
58182,6645,1696,2020-02-17 22:00:00,2020-02-17,1933,28
56249,5639,1596,2020-02-16 22:00:00,2020-02-16,1843,27
54406,4792,1457,2020-02-15 22:00:00,2020-02-15,2420,26
51986,3900,1318,2020-02-14 22:00:00,2020-02-14,3780,25
48206,3454,1310,2020-02-13 22:00:00,2020-02-13,14840,24
33366,2654,1068,2020-02-12 22:00:00,2020-02-12,1638,23
31728,2258,974,2020-02-11 21:30:00,2020-02-11,2097,22
29631,1822,871,2020-02-10 22:00:00,2020-02-10,2531,21
27100,1476,780,2020-02-09 22:00:00,2020-02-09,2147,20
24953,1204,699,2020-02-08 22:00:00,2020-02-08,2841,19
22112,840,618,2020-02-07 22:00:00,2020-02-07,2447,18
19665,679,549,2020-02-06 22:00:00,2020-02-06,2987,17
16678,533,479,2020-02-05 22:00:00,2020-02-05,3156,16
13522,397,414,2020-02-04 21:00:00,2020-02-04,2345,15
11177,295,350,2020-02-03 21:00:00,2020-02-03,2103,14
9074,215,294,2020-02-02 21:00:00,2020-02-02,1921,13
7153,169,249,2020-02-01 11:00:00,2020-02-01,1347,12
5806,116,204,2020-01-31 13:30:00,2020-01-31,1220,11
4586,90,162,2020-01-30 13:00:00,2020-01-30,1032,10
3554,80,125,2020-01-29 15:00:00,2020-01-29,840,9
2714,47,100,2020-01-28 12:30:00,2020-01-28,1291,8
1423,44,76,2020-01-27 15:00:00,2020-01-27,371,7
1052,42,52,2020-01-26 14:00:00,2020-01-26,323,6
729,32,39,2020-01-25 16:00:00,2020-01-25,180,5
549,31,24,2020-01-24 16:00:00,2020-01-24,105,4
444,28,17,2020-01-23 16:00:00,2020-01-23,0,3
444,0,17,2020-01-22 16:00:00,2020-01-22,174,2
270,0,6,2020-01-21 16:00:00,2020-01-21,0,1
