Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
3353,2628,87,2020-06-13 22:00:00,2020-06-13,93,80,2,79,0
3260,2628,85,2020-06-12 22:00:00,2020-06-12,0,79,0,78,0
3260,2628,85,2020-06-11 22:00:00,2020-06-11,39,78,0,77,119
3221,2509,85,2020-06-10 22:00:00,2020-06-10,82,77,2,76,0
3139,2509,83,2020-06-09 22:00:00,2020-06-09,0,76,0,75,48
3139,2461,83,2020-06-08 22:00:00,2020-06-08,0,75,0,74,0
3139,2461,83,2020-06-07 22:00:00,2020-06-07,28,74,0,73,53
3111,2408,83,2020-06-06 22:00:00,2020-06-06,121,73,0,72,97
2990,2311,83,2020-06-05 22:00:00,2020-06-05,57,72,0,71,45
2933,2266,83,2020-06-04 22:00:00,2020-06-04,0,71,0,70,0
2933,2266,83,2020-06-03 22:00:00,2020-06-03,94,70,1,69,41
2839,2225,82,2020-06-02 22:00:00,2020-06-02,0,69,0,68,0
2839,2225,82,2020-06-01 22:00:00,2020-06-01,36,68,0,67,0
2803,2225,82,2020-05-31 22:00:00,2020-05-31,0,67,0,66,0
2803,2225,82,2020-05-30 22:00:00,2020-05-30,33,66,0,65,40
2770,2185,82,2020-05-29 22:00:00,2020-05-29,71,65,1,64,497
2699,1688,81,2020-05-28 22:00:00,2020-05-28,73,64,2,63,0
2626,1688,79,2020-05-27 22:00:00,2020-05-27,0,63,0,62,0
2626,1688,79,2020-05-26 22:00:00,2020-05-26,0,62,0,61,0
2626,1688,79,2020-05-25 22:00:00,2020-05-25,31,61,0,60,0
2595,1688,79,2020-05-24 22:00:00,2020-05-24,0,60,0,59,0
2595,1688,79,2020-05-23 22:00:00,2020-05-23,61,59,2,58,0
2534,1688,77,2020-05-22 22:00:00,2020-05-22,28,58,0,57,0
2506,1688,77,2020-05-21 22:00:00,2020-05-21,51,57,3,56,76
2455,1612,74,2020-05-20 22:00:00,2020-05-20,0,56,0,55,0
2455,1612,74,2020-05-19 22:00:00,2020-05-19,36,55,1,54,0
2419,1612,73,2020-05-18 22:00:00,2020-05-18,0,54,0,53,0
2419,1612,73,2020-05-17 22:00:00,2020-05-17,30,53,0,52,170
2389,1442,73,2020-05-16 22:00:00,2020-05-16,38,52,1,51,0
2351,1442,72,2020-05-15 22:00:00,2020-05-15,27,51,2,50,0
2324,1442,70,2020-05-14 22:00:00,2020-05-14,31,50,0,49,0
2293,1442,70,2020-05-13 22:00:00,2020-05-13,33,49,0,48,0
2260,1442,70,2020-05-12 22:00:00,2020-05-12,30,48,3,47,0
2230,1442,67,2020-05-11 22:00:00,2020-05-11,25,47,0,46,0
2205,1442,67,2020-05-10 22:00:00,2020-05-10,27,46,0,45,575
2178,867,67,2020-05-09 22:00:00,2020-05-09,0,45,0,44,0
2178,867,67,2020-05-08 22:00:00,2020-05-08,20,44,1,43,0
2158,867,66,2020-05-07 22:00:00,2020-05-07,31,43,1,42,0
2127,867,65,2020-05-06 22:00:00,2020-05-06,21,42,1,41,0
2106,867,64,2020-05-05 22:00:00,2020-05-05,45,41,0,40,0
2061,867,64,2020-05-04 22:00:00,2020-05-04,0,40,0,39,0
2061,867,64,2020-05-03 22:00:00,2020-05-03,26,39,1,38,0
2035,867,63,2020-05-02 22:00:00,2020-05-02,20,38,0,37,0
2015,867,63,2020-05-01 22:00:00,2020-05-01,31,37,3,36,0
1984,867,60,2020-04-30 22:00:00,2020-04-30,32,36,0,35,0
1952,867,60,2020-04-29 22:00:00,2020-04-29,35,35,2,34,0
1917,867,58,2020-04-28 22:00:00,2020-04-28,20,34,2,33,0
1897,867,56,2020-04-27 22:00:00,2020-04-27,10,33,0,32,0
1887,867,56,2020-04-26 22:00:00,2020-04-26,17,32,2,31,0
1870,867,54,2020-04-25 22:00:00,2020-04-25,34,31,0,30,45
1836,822,54,2020-04-24 22:00:00,2020-04-24,34,30,0,29,55
1802,767,54,2020-04-23 22:00:00,2020-04-23,36,29,6,28,107
1766,660,48,2020-04-22 22:00:00,2020-04-22,30,28,0,27,0
1736,660,48,2020-04-21 22:00:00,2020-04-21,64,27,4,26,140
1672,520,44,2020-04-20 22:00:00,2020-04-20,4,26,0,25,0
1668,520,44,2020-04-19 22:00:00,2020-04-19,13,25,3,24,130
1655,390,41,2020-04-18 22:00:00,2020-04-18,46,24,0,23,0
1609,390,41,2020-04-17 22:00:00,2020-04-17,101,23,0,22,390
1508,0,41,2020-04-16 22:00:00,2020-04-16,39,22,2,21,0
1469,0,39,2020-04-15 22:00:00,2020-04-15,5,21,12,20,0
1464,0,27,2020-04-14 22:00:00,2020-04-14,38,20,0,19,0
1426,0,27,2020-04-13 22:00:00,2020-04-13,19,19,0,18,0
1407,0,27,2020-04-12 22:00:00,2020-04-12,11,18,2,17,0
1396,0,25,2020-04-11 22:00:00,2020-04-11,42,17,1,16,0
1354,0,24,2020-04-10 22:00:00,2020-04-10,122,16,6,15,0
1232,0,18,2020-04-09 22:00:00,2020-04-09,22,15,3,14,0
1210,0,15,2020-04-08 22:00:00,2020-04-08,40,14,2,13,0
1170,0,13,2020-04-07 22:00:00,2020-04-07,69,13,3,12,0
1101,0,10,2020-04-06 22:00:00,2020-04-06,23,12,0,11,0
1078,0,10,2020-04-05 22:00:00,2020-04-05,65,11,0,10,0
1013,0,10,2020-04-04 21:00:00,2020-04-04,122,10,1,9,0
891,0,9,2020-04-03 21:00:00,2020-04-03,222,9,0,8,0
669,0,9,2020-04-02 21:00:00,2020-04-02,144,8,1,7,0
525,0,8,2020-04-01 21:00:00,2020-04-01,94,7,0,6,0
431,0,8,2020-03-31 21:00:00,2020-03-31,107,6,2,5,0
324,0,6,2020-03-30 21:00:00,2020-03-30,59,5,1,4,0
265,0,5,2020-03-29 21:00:00,2020-03-29,31,4,1,3,0
234,0,4,2020-03-28 21:00:00,2020-03-28,43,3,1,2,0
191,0,3,2020-03-27 21:10:00,2020-03-27,53,2,3,1,0
138,0,0,2020-03-26 22:20:00,2020-03-26,57,1,0,0,0
81,0,0,2020-03-25 23:20:00,2020-03-25,13,0,0,0,0
68,0,0,2020-03-24 21:20:00,2020-03-24,17,0,0,0,0
51,0,0,2020-03-23 21:40:00,2020-03-23,9,0,0,0,0
42,0,0,2020-03-22 21:00:00,2020-03-22,6,0,0,0,0
36,0,0,2020-03-21 21:00:00,2020-03-21,13,0,0,0,0
23,0,0,2020-03-20 21:20:00,2020-03-20,12,0,0,0,0
11,0,0,2020-03-19 21:30:00,2020-03-19,2,0,0,0,0
9,0,0,2020-03-18 22:00:00,2020-03-18,4,0,0,0,0
5,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
5,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
5,0,0,2020-03-15 21:00:00,2020-03-15,4,0,0,0,0
1,0,0,2020-03-14 21:00:00,2020-03-14,1,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
