Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1119412,700647,27514,2020-07-20 22:00:00,2020-07-20,40630,128,676,126,22791
1078782,677856,26838,2020-07-19 22:00:00,2020-07-19,33819,127,491,125,22189
1044963,655667,26347,2020-07-18 22:00:00,2020-07-18,36483,126,683,124,18021
1008480,637646,25664,2020-07-17 22:00:00,2020-07-17,33743,125,688,123,22749
974737,614897,24976,2020-07-16 22:00:00,2020-07-16,35545,124,649,122,21699
939192,593198,24327,2020-07-15 22:00:00,2020-07-15,27586,123,548,121,19915
911606,573283,23779,2020-07-14 22:00:00,2020-07-14,31704,122,579,120,18376
879902,554907,23200,2020-07-13 22:00:00,2020-07-13,26691,121,482,119,17322
853211,537585,22718,2020-07-12 22:00:00,2020-07-12,29284,120,565,118,21247
823927,516338,22153,2020-07-11 22:00:00,2020-07-11,25775,119,497,117,18650
798152,497688,21656,2020-07-10 22:00:00,2020-07-10,26319,118,482,116,20003
771833,477685,21174,2020-07-09 22:00:00,2020-07-09,25333,117,490,115,19070
746500,458615,20684,2020-07-08 22:00:00,2020-07-08,23315,116,486,114,17503
723185,441112,20198,2020-07-07 22:00:00,2020-07-07,23783,115,491,113,16042
699402,425070,19707,2020-07-06 22:00:00,2020-07-06,23949,114,404,112,15987
675453,409083,19303,2020-07-05 22:00:00,2020-07-05,25022,113,634,111,14672
650431,394411,18669,2020-07-04 22:00:00,2020-07-04,22226,112,428,110,14037
628205,380374,18241,2020-07-03 22:00:00,2020-07-03,21298,111,381,109,19996
606907,360378,17860,2020-07-02 22:00:00,2020-07-02,19815,110,443,108,11891
587092,348487,17417,2020-07-01 22:00:00,2020-07-01,18619,109,498,107,12831
568473,335656,16919,2020-06-30 22:00:00,2020-06-30,18487,108,415,106,13495
549986,322161,16504,2020-06-29 22:00:00,2020-06-29,18993,107,380,105,11160
530993,311001,16124,2020-06-28 22:00:00,2020-06-28,19515,106,393,104,13988
511478,297013,15731,2020-06-27 22:00:00,2020-06-27,19486,105,412,103,10994
491992,286019,15319,2020-06-26 22:00:00,2020-06-26,17720,104,405,102,14085
474272,271934,14914,2020-06-25 22:00:00,2020-06-25,16616,103,409,101,12791
457656,259143,14505,2020-06-24 22:00:00,2020-06-24,15732,102,477,100,10514
441924,248629,14028,2020-06-23 22:00:00,2020-06-23,15014,101,325,99,11377
426910,237252,13703,2020-06-22 22:00:00,2020-06-22,14122,100,413,98,8748
412788,228504,13290,2020-06-21 22:00:00,2020-06-21,16023,99,318,97,14158
396765,214346,12972,2020-06-20 22:00:00,2020-06-20,14622,98,362,96,8892
382143,205454,12610,2020-06-19 22:00:00,2020-06-19,13495,97,335,95,10611
368648,194843,12275,2020-06-18 22:00:00,2020-06-18,13588,96,353,94,7125
355060,187718,11922,2020-06-17 22:00:00,2020-06-17,10533,95,1998,93,7254
344527,180464,9924,2020-06-16 22:00:00,2020-06-16,11272,94,400,92,10647
333255,169817,9524,2020-06-15 22:00:00,2020-06-15,10643,93,320,91,7223
322612,162594,9204,2020-06-14 22:00:00,2020-06-14,13009,92,314,90,8264
309603,154330,8890,2020-06-13 22:00:00,2020-06-13,11320,91,389,89,7135
298283,147195,8501,2020-06-12 22:00:00,2020-06-12,10604,90,386,88,6076
287679,141119,8115,2020-06-11 22:00:00,2020-06-11,11096,89,370,87,5913
276583,135206,7745,2020-06-10 22:00:00,2020-06-10,8969,88,264,86,5980
267614,129226,7481,2020-06-09 22:00:00,2020-06-09,9524,87,274,85,5131
258090,124095,7207,2020-06-08 22:00:00,2020-06-08,10233,86,253,84,4802
247857,119293,6954,2020-06-07 22:00:00,2020-06-07,10291,85,304,83,5220
237566,114073,6650,2020-06-06 22:00:00,2020-06-06,10293,84,283,82,4611
227273,109462,6367,2020-06-05 22:00:00,2020-06-05,9308,83,276,81,5220
217965,104242,6091,2020-06-04 22:00:00,2020-06-04,9422,82,257,80,3823
208543,100419,5834,2020-06-03 22:00:00,2020-06-03,8758,81,222,79,4544
199785,95875,5612,2020-06-02 22:00:00,2020-06-02,8458,80,199,78,3848
191327,92027,5413,2020-06-01 22:00:00,2020-06-01,8337,79,225,77,4928
182990,87099,5188,2020-05-31 22:00:00,2020-05-31,8635,78,206,76,4295
174355,82804,4982,2020-05-30 22:00:00,2020-05-30,6913,77,185,75,11419
167442,71385,4797,2020-05-29 22:00:00,2020-05-29,8483,76,256,74,3482
158959,67903,4541,2020-05-28 22:00:00,2020-05-28,5722,75,176,73,3170
153237,64733,4365,2020-05-27 22:00:00,2020-05-27,6866,74,178,72,3582
146371,61151,4187,2020-05-26 22:00:00,2020-05-26,6460,73,148,71,3175
139911,57976,4039,2020-05-25 22:00:00,2020-05-25,7237,72,140,70,3247
132674,54729,3899,2020-05-24 22:00:00,2020-05-24,6366,71,145,69,2471
126308,52258,3754,2020-05-23 22:00:00,2020-05-23,6784,70,154,68,3232
119524,49026,3600,2020-05-22 22:00:00,2020-05-22,7082,69,162,67,3604
112442,45422,3438,2020-05-21 22:00:00,2020-05-21,5556,68,135,66,3113
106886,42309,3303,2020-05-20 22:00:00,2020-05-20,4655,67,134,65,2651
102231,39658,3169,2020-05-19 22:00:00,2020-05-19,6062,66,140,64,2834
96169,36824,3029,2020-05-18 22:00:00,2020-05-18,4855,65,132,63,2243
91314,34581,2897,2020-05-17 22:00:00,2020-05-17,4806,64,137,62,3808
86508,30773,2760,2020-05-16 22:00:00,2020-05-16,4244,63,111,61,2687
82264,28086,2649,2020-05-15 22:00:00,2020-05-15,3454,62,85,60,1411
78810,26675,2564,2020-05-14 22:00:00,2020-05-14,3885,61,128,59,1788
74925,24887,2436,2020-05-13 22:00:00,2020-05-13,3577,60,126,58,1854
71348,23033,2310,2020-05-12 22:00:00,2020-05-12,3647,59,95,57,1886
67701,21147,2215,2020-05-11 22:00:00,2020-05-11,4762,58,106,56,1789
62939,19358,2109,2020-05-10 22:00:00,2020-05-10,3174,57,123,55,1461
59765,17897,1986,2020-05-09 22:00:00,2020-05-09,3249,56,91,54,1030
56516,16867,1895,2020-05-08 22:00:00,2020-05-08,3471,55,108,53,1536
53045,15331,1787,2020-05-07 22:00:00,2020-05-07,3609,54,92,52,1148
49436,14183,1695,2020-05-06 22:00:00,2020-05-06,2960,53,124,51,1334
46476,12849,1571,2020-05-05 22:00:00,2020-05-05,3806,52,176,50,1067
42670,11782,1395,2020-05-04 22:00:00,2020-05-04,2690,51,72,49,963
39980,10819,1323,2020-05-03 22:00:00,2020-05-03,2644,50,100,48,812
37336,10007,1223,2020-05-02 22:00:00,2020-05-02,2293,49,69,47,939
35043,9068,1154,2020-05-01 22:00:00,2020-05-01,1981,48,75,46,631
33062,8437,1079,2020-04-30 22:00:00,2020-04-30,1730,47,71,45,690
31332,7747,1008,2020-04-29 22:00:00,2020-04-29,1881,46,69,44,610
29451,7137,939,2020-04-28 22:00:00,2020-04-28,1474,45,55,43,614
27977,6523,884,2020-04-27 22:00:00,2020-04-27,1481,44,59,42,584
26496,5939,825,2020-04-26 22:00:00,2020-04-26,1966,43,45,41,441
24530,5498,780,2020-04-25 22:00:00,2020-04-25,1028,42,58,40,486
23502,5012,722,2020-04-24 22:00:00,2020-04-24,1705,41,41,39,636
21797,4376,681,2020-04-23 22:00:00,2020-04-23,1619,40,36,38,400
