Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
238,236,1,2020-06-28 22:00:00,2020-06-28,0,90,0,0,0
238,236,1,2020-06-27 22:00:00,2020-06-27,0,89,0,0,0
238,236,1,2020-06-26 22:00:00,2020-06-26,0,88,0,0,0
238,236,1,2020-06-25 22:00:00,2020-06-25,0,87,0,0,0
238,236,1,2020-06-24 22:00:00,2020-06-24,0,86,0,0,0
238,236,1,2020-06-23 22:00:00,2020-06-23,0,85,0,0,1
238,235,1,2020-06-22 22:00:00,2020-06-22,0,84,0,0,0
238,235,1,2020-06-21 22:00:00,2020-06-21,0,83,0,0,1
238,234,1,2020-06-20 22:00:00,2020-06-20,0,82,0,0,0
238,234,1,2020-06-19 22:00:00,2020-06-19,0,81,0,0,0
238,234,1,2020-06-18 22:00:00,2020-06-18,0,80,0,0,0
238,234,1,2020-06-17 22:00:00,2020-06-17,0,79,0,0,0
238,234,1,2020-06-16 22:00:00,2020-06-16,1,78,0,0,3
237,231,1,2020-06-15 22:00:00,2020-06-15,0,77,0,0,0
237,231,1,2020-06-14 22:00:00,2020-06-14,0,76,0,0,-1
237,232,1,2020-06-13 22:00:00,2020-06-13,0,75,0,0,1
237,231,1,2020-06-12 22:00:00,2020-06-12,0,74,0,0,1
237,230,1,2020-06-11 22:00:00,2020-06-11,0,73,0,0,0
237,230,1,2020-06-10 22:00:00,2020-06-10,2,72,0,0,4
235,226,1,2020-06-09 22:00:00,2020-06-09,0,71,0,0,8
235,218,1,2020-06-08 22:00:00,2020-06-08,0,70,0,0,5
235,213,1,2020-06-07 22:00:00,2020-06-07,0,69,0,0,0
235,213,1,2020-06-06 22:00:00,2020-06-06,0,68,0,0,0
235,213,1,2020-06-05 22:00:00,2020-06-05,0,67,0,0,1
235,212,1,2020-06-04 22:00:00,2020-06-04,0,66,0,0,3
235,209,1,2020-06-03 22:00:00,2020-06-03,0,65,0,0,0
235,209,1,2020-06-02 22:00:00,2020-06-02,0,64,0,0,2
235,207,1,2020-06-01 22:00:00,2020-06-01,3,63,0,0,1
232,206,1,2020-05-31 22:00:00,2020-05-31,0,62,0,0,0
232,206,1,2020-05-30 22:00:00,2020-05-30,0,61,0,0,1
232,205,1,2020-05-29 22:00:00,2020-05-29,0,60,0,0,0
232,205,1,2020-05-28 22:00:00,2020-05-28,0,59,0,0,0
232,205,1,2020-05-27 22:00:00,2020-05-27,0,58,0,0,1
232,204,1,2020-05-26 22:00:00,2020-05-26,5,57,0,0,3
227,201,1,2020-05-25 22:00:00,2020-05-25,10,56,0,0,2
217,199,1,2020-05-24 22:00:00,2020-05-24,0,55,0,0,0
217,199,1,2020-05-23 22:00:00,2020-05-23,0,54,0,0,0
217,199,1,2020-05-22 22:00:00,2020-05-22,0,53,0,0,0
217,199,1,2020-05-21 22:00:00,2020-05-21,0,52,0,0,3
217,196,1,2020-05-20 22:00:00,2020-05-20,1,51,0,0,0
216,196,1,2020-05-19 22:00:00,2020-05-19,3,50,0,0,0
213,196,1,2020-05-18 22:00:00,2020-05-18,4,49,0,0,0
209,196,1,2020-05-17 22:00:00,2020-05-17,0,48,0,0,0
209,196,1,2020-05-16 22:00:00,2020-05-16,0,47,0,0,2
209,194,1,2020-05-15 22:00:00,2020-05-15,0,46,0,0,4
209,190,1,2020-05-14 22:00:00,2020-05-14,0,45,0,0,0
209,190,1,2020-05-13 22:00:00,2020-05-13,0,44,0,0,2
209,188,1,2020-05-12 22:00:00,2020-05-12,1,43,0,0,1
208,187,1,2020-05-11 22:00:00,2020-05-11,7,42,0,0,3
201,184,1,2020-05-10 22:00:00,2020-05-10,0,41,0,0,9
201,175,1,2020-05-09 22:00:00,2020-05-09,0,40,0,0,3
201,172,1,2020-05-08 22:00:00,2020-05-08,0,39,0,0,1
201,171,1,2020-05-07 22:00:00,2020-05-07,0,38,0,0,4
201,167,1,2020-05-06 22:00:00,2020-05-06,0,37,0,0,7
201,160,1,2020-05-05 22:00:00,2020-05-05,0,36,0,0,4
201,156,1,2020-05-04 22:00:00,2020-05-04,0,35,0,0,2
201,154,1,2020-05-03 22:00:00,2020-05-03,0,34,0,0,0
201,154,1,2020-05-02 22:00:00,2020-05-02,0,33,0,0,2
201,152,1,2020-05-01 22:00:00,2020-05-01,1,32,0,0,2
200,150,1,2020-04-30 22:00:00,2020-04-30,1,31,0,0,4
199,146,1,2020-04-29 22:00:00,2020-04-29,0,30,0,0,1
199,145,1,2020-04-28 22:00:00,2020-04-28,1,29,0,0,16
198,129,1,2020-04-27 22:00:00,2020-04-27,1,28,0,0,15
197,114,1,2020-04-26 22:00:00,2020-04-26,0,27,0,0,0
197,114,1,2020-04-25 22:00:00,2020-04-25,3,26,0,0,6
194,108,1,2020-04-24 22:00:00,2020-04-24,0,25,0,0,0
194,108,1,2020-04-23 22:00:00,2020-04-23,0,24,0,0,0
194,108,1,2020-04-22 22:00:00,2020-04-22,0,23,0,0,0
194,108,1,2020-04-21 22:00:00,2020-04-21,0,22,0,0,4
194,104,1,2020-04-20 22:00:00,2020-04-20,1,21,0,0,0
193,104,1,2020-04-19 22:00:00,2020-04-19,0,20,0,0,0
193,104,1,2020-04-18 22:00:00,2020-04-18,0,19,0,0,1
193,103,1,2020-04-17 22:00:00,2020-04-17,0,18,0,0,9
193,94,1,2020-04-16 22:00:00,2020-04-16,3,17,0,0,0
190,94,1,2020-04-15 22:00:00,2020-04-15,0,16,0,0,3
190,91,1,2020-04-14 22:00:00,2020-04-14,0,15,0,0,8
190,83,1,2020-04-13 22:00:00,2020-04-13,35,14,0,0,0
155,83,1,2020-04-12 22:00:00,2020-04-12,0,13,0,0,4
155,79,1,2020-04-11 22:00:00,2020-04-11,27,12,0,0,0
128,79,1,2020-04-10 22:00:00,2020-04-10,2,11,0,0,0
126,79,1,2020-04-09 22:00:00,2020-04-09,2,10,0,0,5
124,74,1,2020-04-08 22:00:00,2020-04-08,3,9,0,0,0
121,74,1,2020-04-07 22:00:00,2020-04-07,3,8,0,0,0
118,74,1,2020-04-06 22:00:00,2020-04-06,1,7,0,0,0
117,74,1,2020-04-05 22:00:00,2020-04-05,0,6,0,0,0
117,74,1,2020-04-04 21:00:00,2020-04-04,0,5,0,0,0
117,74,1,2020-04-03 21:00:00,2020-04-03,0,4,0,0,0
117,74,1,2020-04-02 21:00:00,2020-04-02,10,3,0,0,0
107,74,1,2020-04-01 21:00:00,2020-04-01,0,2,0,0,0
