Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
26353,16514,688,2020-06-24 22:00:00,2020-06-24,207,93,2,89,137
26146,16377,686,2020-06-23 22:00:00,2020-06-23,183,92,0,88,285
25963,16092,686,2020-06-22 22:00:00,2020-06-22,467,91,5,87,91
25496,16001,681,2020-06-21 22:00:00,2020-06-21,222,90,0,86,160
25274,15841,681,2020-06-20 22:00:00,2020-06-20,413,89,1,85,186
24861,15655,680,2020-06-19 22:00:00,2020-06-19,401,88,5,84,265
24460,15390,675,2020-06-18 22:00:00,2020-06-18,281,87,10,83,416
24179,14974,665,2020-06-17 22:00:00,2020-06-17,97,86,7,82,227
24082,14747,658,2020-06-16 22:00:00,2020-06-16,156,85,6,81,351
23926,14396,652,2020-06-15 22:00:00,2020-06-15,209,84,2,80,46
23717,14350,650,2020-06-14 22:00:00,2020-06-14,367,83,6,79,60
23350,14290,644,2020-06-13 22:00:00,2020-06-13,368,82,4,78,320
22982,13970,640,2020-06-12 22:00:00,2020-06-12,356,81,9,77,189
22626,13781,631,2020-06-11 22:00:00,2020-06-11,386,80,3,76,267
22240,13514,628,2020-06-10 22:00:00,2020-06-10,233,79,11,75,332
22007,13182,617,2020-06-09 22:00:00,2020-06-09,295,78,12,74,362
21712,12820,605,2020-06-08 22:00:00,2020-06-08,234,77,6,73,53
21478,12767,599,2020-06-07 22:00:00,2020-06-07,324,76,6,72,118
21154,12649,593,2020-06-06 22:00:00,2020-06-06,348,75,10,71,229
20806,12420,583,2020-06-05 22:00:00,2020-06-05,506,74,9,70,270
20300,12150,574,2020-06-04 22:00:00,2020-06-04,277,73,13,69,445
20023,11705,561,2020-06-03 22:00:00,2020-06-03,324,72,6,68,189
19699,11516,555,2020-06-02 22:00:00,2020-06-02,145,71,20,67,345
19554,11171,535,2020-06-01 22:00:00,2020-06-01,310,70,4,66,124
19244,11047,531,2020-05-31 22:00:00,2020-05-31,290,69,7,65,154
18954,10893,524,2020-05-30 22:00:00,2020-05-30,370,68,15,64,338
18584,10555,509,2020-05-29 22:00:00,2020-05-29,215,67,13,63,427
18369,10128,496,2020-05-28 22:00:00,2020-05-28,666,66,19,62,273
17703,9855,477,2020-05-27 22:00:00,2020-05-27,87,65,18,61,457
17616,9398,459,2020-05-26 22:00:00,2020-05-26,371,64,3,60,60
17245,9338,456,2020-05-25 22:00:00,2020-05-25,347,63,10,59,77
16898,9261,446,2020-05-24 22:00:00,2020-05-24,390,62,5,58,75
16508,9186,441,2020-05-23 22:00:00,2020-05-23,338,61,25,57,418
16170,8768,416,2020-05-22 22:00:00,2020-05-22,550,60,23,56,349
15620,8419,393,2020-05-21 22:00:00,2020-05-21,324,59,25,55,596
15296,7823,368,2020-05-20 22:00:00,2020-05-20,114,58,0,54,0
15182,7823,368,2020-05-19 22:00:00,2020-05-19,531,57,17,53,669
14651,7154,351,2020-05-18 22:00:00,2020-05-18,323,56,5,52,227
14328,6927,346,2020-05-17 22:00:00,2020-05-17,279,55,10,51,366
14049,6561,336,2020-05-16 22:00:00,2020-05-16,374,54,18,50,330
13675,6231,318,2020-05-15 22:00:00,2020-05-15,386,53,12,49,277
13289,5954,306,2020-05-14 22:00:00,2020-05-14,377,52,17,48,336
12912,5618,289,2020-05-13 22:00:00,2020-05-13,539,51,18,47,369
12373,5249,271,2020-05-12 22:00:00,2020-05-12,414,50,6,46,95
11959,5154,265,2020-05-11 22:00:00,2020-05-11,288,49,13,45,143
11671,5011,252,2020-05-10 22:00:00,2020-05-10,214,48,9,44,326
11457,4685,243,2020-05-09 22:00:00,2020-05-09,398,47,12,43,419
11059,4266,231,2020-05-08 22:00:00,2020-05-08,655,46,12,42,463
10404,3803,219,2020-05-07 22:00:00,2020-05-07,293,45,12,41,231
10111,3572,207,2020-05-06 22:00:00,2020-05-06,408,44,19,40,86
9703,3486,188,2020-05-05 22:00:00,2020-05-05,528,43,4,39,330
9175,3156,184,2020-05-04 22:00:00,2020-05-04,532,42,9,38,0
8643,3156,175,2020-05-03 22:00:00,2020-05-03,759,41,5,37,257
7884,2899,170,2020-05-02 22:00:00,2020-05-02,739,40,8,36,471
7145,2428,162,2020-05-01 22:00:00,2020-05-01,302,39,14,35,0
6843,2428,148,2020-04-30 22:00:00,2020-04-30,467,38,12,34,264
6376,2164,136,2020-04-29 22:00:00,2020-04-29,508,37,9,33,261
5868,1903,127,2020-04-28 22:00:00,2020-04-28,392,36,9,32,0
5476,1903,118,2020-04-27 22:00:00,2020-04-27,384,35,6,31,180
5092,1723,112,2020-04-26 22:00:00,2020-04-26,647,34,5,30,231
4445,1492,107,2020-04-25 22:00:00,2020-04-25,521,33,11,29,0
3924,1492,96,2020-04-24 22:00:00,2020-04-24,176,32,6,28,321
3748,1171,90,2020-04-23 22:00:00,2020-04-23,107,31,7,27,0
3641,1171,83,2020-04-22 22:00:00,2020-04-22,482,30,4,26,0
3159,1171,79,2020-04-21 22:00:00,2020-04-21,257,29,4,25,0
2902,1171,75,2020-04-20 22:00:00,2020-04-20,389,28,1,24,76
2513,1095,74,2020-04-19 22:00:00,2020-04-19,180,27,10,23,88
2333,1007,64,2020-04-18 22:00:00,2020-04-18,192,26,4,22,20
2141,987,60,2020-04-17 22:00:00,2020-04-17,146,25,7,21,79
1995,908,53,2020-04-16 22:00:00,2020-04-16,96,24,4,20,234
1899,674,49,2020-04-15 22:00:00,2020-04-15,189,23,6,19,0
1710,674,43,2020-04-14 22:00:00,2020-04-14,123,22,2,18,0
