Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
320117,277463,17976,2020-08-06 22:00:00,2020-08-06,2634,163,174,168,2531
317483,274932,17802,2020-08-05 22:00:00,2020-08-05,2697,162,185,167,2397
314786,272535,17617,2020-08-04 22:00:00,2020-08-04,2751,161,212,166,2307
312035,270228,17405,2020-08-03 22:00:00,2020-08-03,2598,160,215,165,2126
309437,268102,17190,2020-08-02 22:00:00,2020-08-02,2685,159,208,164,2272
306752,265830,16982,2020-08-01 22:00:00,2020-08-01,2548,158,216,163,2311
304204,263519,16766,2020-07-31 22:00:00,2020-07-31,2674,157,197,162,2319
301530,261200,16569,2020-07-30 22:00:00,2020-07-30,2621,156,226,161,2084
298909,259116,16343,2020-07-29 22:00:00,2020-07-29,2636,155,196,160,2097
296273,257019,16147,2020-07-28 22:00:00,2020-07-28,2667,154,235,159,1875
293606,255144,15912,2020-07-27 22:00:00,2020-07-27,4767,153,428,158,3825
288839,251319,15484,2020-07-26 22:00:00,2020-07-26,0,152,0,157,0
288839,251319,15484,2020-07-25 22:00:00,2020-07-25,2316,151,195,156,2107
286523,249212,15289,2020-07-24 22:00:00,2020-07-24,2489,150,215,155,1982
284034,247230,15074,2020-07-23 22:00:00,2020-07-23,2621,149,221,154,2390
281413,244840,14853,2020-07-22 22:00:00,2020-07-22,2586,148,219,153,2489
278827,242351,14634,2020-07-21 22:00:00,2020-07-21,2625,147,229,152,2264
276202,240087,14405,2020-07-20 22:00:00,2020-07-20,2414,146,217,151,2299
273788,237788,14188,2020-07-19 22:00:00,2020-07-19,2182,145,209,150,2488
271606,235300,13979,2020-07-18 22:00:00,2020-07-18,2166,144,188,149,2427
269440,232873,13791,2020-07-17 22:00:00,2020-07-17,2379,143,183,148,2265
267061,230608,13608,2020-07-16 22:00:00,2020-07-16,2500,142,198,147,3047
264561,227561,13410,2020-07-15 22:00:00,2020-07-15,2388,141,199,146,2291
262173,225270,13211,2020-07-14 22:00:00,2020-07-14,2521,140,179,145,2731
259652,222539,13032,2020-07-13 22:00:00,2020-07-13,2349,139,203,144,2546
257303,219993,12829,2020-07-12 22:00:00,2020-07-12,2186,138,194,143,2327
255117,217666,12635,2020-07-11 22:00:00,2020-07-11,2397,137,188,142,2651
252720,215015,12447,2020-07-10 22:00:00,2020-07-10,2262,136,142,141,2839
250458,212176,12305,2020-07-09 22:00:00,2020-07-09,2079,135,221,140,2713
248379,209463,12084,2020-07-08 22:00:00,2020-07-08,2691,134,153,139,2463
245688,207000,11931,2020-07-07 22:00:00,2020-07-07,2637,133,200,138,2917
243051,204083,11731,2020-07-06 22:00:00,2020-07-06,2613,132,160,137,2753
240438,201330,11571,2020-07-05 22:00:00,2020-07-05,5009,131,311,136,4884
235429,196446,11260,2020-07-04 22:00:00,2020-07-04,0,130,0,135,0
235429,196446,11260,2020-07-03 22:00:00,2020-07-03,2566,129,154,134,2348
232863,194098,11106,2020-07-02 22:00:00,2020-07-02,2652,128,148,133,2611
230211,191487,10958,2020-07-01 22:00:00,2020-07-01,2549,127,141,132,2729
227662,188758,10817,2020-06-30 22:00:00,2020-06-30,2457,126,147,131,2578
225205,186180,10670,2020-06-29 22:00:00,2020-06-29,2536,125,162,130,2870
222669,183310,10508,2020-06-28 22:00:00,2020-06-28,2489,124,144,129,2649
220180,180661,10364,2020-06-27 22:00:00,2020-06-27,2456,123,125,128,2809
217724,177852,10239,2020-06-26 22:00:00,2020-06-26,2628,122,109,127,2749
215096,175103,10130,2020-06-25 22:00:00,2020-06-25,2595,121,134,126,3007
212501,172096,9996,2020-06-24 22:00:00,2020-06-24,2531,120,133,125,2936
209970,169160,9863,2020-06-23 22:00:00,2020-06-23,2445,119,121,124,2733
207525,166427,9742,2020-06-22 22:00:00,2020-06-22,2573,118,119,123,2836
204952,163591,9623,2020-06-21 22:00:00,2020-06-21,2368,117,116,122,2207
202584,161384,9507,2020-06-20 22:00:00,2020-06-20,2322,116,115,121,2192
200262,159192,9392,2020-06-19 22:00:00,2020-06-19,2615,115,120,120,2201
197647,156991,9272,2020-06-18 22:00:00,2020-06-18,2596,114,87,119,2179
195051,154812,9185,2020-06-17 22:00:00,2020-06-17,2612,113,120,118,2137
192439,152675,9065,2020-06-16 22:00:00,2020-06-16,2563,112,115,117,2085
189876,150590,8950,2020-06-15 22:00:00,2020-06-15,2449,111,113,116,1916
187427,148674,8837,2020-06-14 22:00:00,2020-06-14,4902,110,178,115,4025
182525,144649,8659,2020-06-13 22:00:00,2020-06-13,0,109,0,114,0
182525,144649,8659,2020-06-12 22:00:00,2020-06-12,2369,108,75,113,1986
180156,142663,8584,2020-06-11 22:00:00,2020-06-11,4229,107,159,112,4206
175927,138457,8425,2020-06-10 22:00:00,2020-06-10,2095,106,74,111,2097
173832,136360,8351,2020-06-09 22:00:00,2020-06-09,0,105,0,110,0
173832,136360,8351,2020-06-08 22:00:00,2020-06-08,2043,104,70,109,2011
171789,134349,8281,2020-06-07 22:00:00,2020-06-07,2364,103,72,108,2311
169425,132038,8209,2020-06-06 22:00:00,2020-06-06,2269,102,75,107,2297
167156,129741,8134,2020-06-05 22:00:00,2020-06-05,2886,101,63,106,2256
164270,127485,8071,2020-06-04 22:00:00,2020-06-04,3574,100,59,105,2279
160696,125206,8012,2020-06-03 22:00:00,2020-06-03,3134,99,70,104,2129
157562,123077,7942,2020-06-02 22:00:00,2020-06-02,3117,98,64,103,2073
154445,121004,7878,2020-06-01 22:00:00,2020-06-01,2979,97,81,102,2156
151466,118848,7797,2020-05-31 22:00:00,2020-05-31,2516,96,63,101,2021
148950,116827,7734,2020-05-30 22:00:00,2020-05-30,2282,95,57,100,1896
146668,114931,7677,2020-05-29 22:00:00,2020-05-29,2819,94,50,99,1943
143849,112988,7627,2020-05-28 22:00:00,2020-05-28,2258,93,63,98,1812
141591,111176,7564,2020-05-27 22:00:00,2020-05-27,2080,92,56,97,1739
139511,109437,7508,2020-05-26 22:00:00,2020-05-26,1787,91,57,96,1724
137724,107713,7451,2020-05-25 22:00:00,2020-05-25,2023,90,34,95,1912
135701,105801,7417,2020-05-24 22:00:00,2020-05-24,2180,89,58,94,1729
133521,104072,7359,2020-05-23 22:00:00,2020-05-23,1869,88,59,93,1796
131652,102276,7300,2020-05-22 22:00:00,2020-05-22,2311,87,51,92,1712
129341,100564,7249,2020-05-21 22:00:00,2020-05-21,2392,86,66,91,1756
126949,98808,7183,2020-05-20 22:00:00,2020-05-20,2346,85,64,90,1635
124603,97173,7119,2020-05-19 22:00:00,2020-05-19,4405,84,131,89,2709
120198,94464,6988,2020-05-18 22:00:00,2020-05-18,0,83,0,88,0
120198,94464,6988,2020-05-17 22:00:00,2020-05-17,1806,82,51,87,1317
118392,93147,6937,2020-05-16 22:00:00,2020-05-16,3859,81,83,86,2608
114533,90539,6854,2020-05-15 22:00:00,2020-05-15,0,80,0,85,0
114533,90539,6854,2020-05-14 22:00:00,2020-05-14,1808,79,71,84,1111
112725,89428,6783,2020-05-13 22:00:00,2020-05-13,1958,78,50,83,1071
110767,88357,6733,2020-05-12 22:00:00,2020-05-12,1481,77,48,82,935
109286,87422,6685,2020-05-11 22:00:00,2020-05-11,3066,76,96,81,2358
106220,85064,6589,2020-05-10 22:00:00,2020-05-10,1529,75,48,80,1227
104691,83837,6541,2020-05-09 22:00:00,2020-05-09,0,74,0,79,0
104691,83837,6541,2020-05-08 22:00:00,2020-05-08,1556,73,55,78,1093
103135,82744,6486,2020-05-07 22:00:00,2020-05-07,1485,72,68,77,1157
