Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
18950,7515,549,2020-06-14 22:00:00,2020-06-14,1180,93,53,101,647
17770,6868,496,2020-06-13 22:00:00,2020-06-13,1095,92,39,100,300
16675,6568,457,2020-06-12 22:00:00,2020-06-12,1261,91,31,99,354
15414,6214,426,2020-06-11 22:00:00,2020-06-11,1146,90,34,98,383
14268,5831,392,2020-06-10 22:00:00,2020-06-10,787,89,22,97,259
13481,5572,370,2020-06-09 22:00:00,2020-06-09,1115,88,24,96,386
12366,5186,346,2020-06-08 22:00:00,2020-06-08,1268,87,28,95,282
11098,4904,318,2020-06-07 22:00:00,2020-06-07,1252,86,33,94,331
9846,4573,285,2020-06-06 22:00:00,2020-06-06,1006,85,14,93,235
8840,4338,271,2020-06-05 22:00:00,2020-06-05,672,84,15,92,243
8168,4095,256,2020-06-04 22:00:00,2020-06-04,781,83,21,91,587
7387,3508,235,2020-06-03 22:00:00,2020-06-03,519,82,20,90,233
6868,3275,215,2020-06-02 22:00:00,2020-06-02,429,81,10,89,119
6439,3156,205,2020-06-01 22:00:00,2020-06-01,260,80,10,88,46
6179,3110,195,2020-05-31 22:00:00,2020-05-31,306,79,10,87,66
5873,3044,185,2020-05-30 22:00:00,2020-05-30,416,78,6,86,73
5457,2971,179,2020-05-29 22:00:00,2020-05-29,322,77,4,85,67
5135,2904,175,2020-05-28 22:00:00,2020-05-28,287,76,6,84,52
4848,2852,169,2020-05-27 22:00:00,2020-05-27,216,75,6,83,41
4632,2811,163,2020-05-26 22:00:00,2020-05-26,163,74,3,82,73
4469,2738,160,2020-05-25 22:00:00,2020-05-25,197,73,8,81,153
4272,2585,152,2020-05-24 22:00:00,2020-05-24,308,72,5,80,53
3964,2532,147,2020-05-23 22:00:00,2020-05-23,87,71,7,79,49
3877,2483,140,2020-05-22 22:00:00,2020-05-22,153,70,6,78,45
3724,2438,134,2020-05-21 22:00:00,2020-05-21,113,69,3,77,72
3611,2366,131,2020-05-20 22:00:00,2020-05-20,57,68,4,76,56
3554,2310,127,2020-05-19 22:00:00,2020-05-19,150,67,4,75,92
3404,2218,123,2020-05-18 22:00:00,2020-05-18,144,66,2,74,92
3260,2126,121,2020-05-17 22:00:00,2020-05-17,67,65,4,73,37
3193,2089,117,2020-05-16 22:00:00,2020-05-16,50,64,2,72,61
3143,2028,115,2020-05-15 22:00:00,2020-05-15,111,63,0,71,62
3032,1966,115,2020-05-14 22:00:00,2020-05-14,119,62,3,70,63
2913,1903,112,2020-05-13 22:00:00,2020-05-13,95,61,2,69,113
2818,1790,110,2020-05-12 22:00:00,2020-05-12,51,60,1,68,56
2767,1734,109,2020-05-11 22:00:00,2020-05-11,88,59,2,67,32
2679,1702,107,2020-05-10 22:00:00,2020-05-10,76,58,3,66,41
2603,1661,104,2020-05-09 22:00:00,2020-05-09,60,57,2,65,35
2543,1626,102,2020-05-08 22:00:00,2020-05-08,63,56,0,64,24
2480,1602,102,2020-05-07 22:00:00,2020-05-07,49,55,0,63,31
2431,1571,102,2020-05-06 22:00:00,2020-05-06,85,54,4,62,27
2346,1544,98,2020-05-05 22:00:00,2020-05-05,50,53,1,61,54
2296,1490,97,2020-05-04 22:00:00,2020-05-04,77,52,2,60,17
2219,1473,95,2020-05-03 22:00:00,2020-05-03,66,51,1,59,59
2153,1414,94,2020-05-02 22:00:00,2020-05-02,68,50,1,58,39
2085,1375,93,2020-05-01 22:00:00,2020-05-01,82,49,1,57,29
2003,1346,92,2020-04-30 22:00:00,2020-04-30,75,48,2,56,27
1928,1319,90,2020-04-29 22:00:00,2020-04-29,81,47,2,55,33
1847,1286,88,2020-04-28 22:00:00,2020-04-28,27,46,1,54,23
1820,1263,87,2020-04-27 22:00:00,2020-04-27,57,45,1,53,39
1763,1224,86,2020-04-26 22:00:00,2020-04-26,55,44,0,52,20
1708,1204,86,2020-04-25 22:00:00,2020-04-25,31,43,3,51,33
1677,1171,83,2020-04-24 22:00:00,2020-04-24,46,42,0,50,25
1631,1146,83,2020-04-23 22:00:00,2020-04-23,29,41,0,49,50
1602,1096,83,2020-04-22 22:00:00,2020-04-22,28,40,1,48,53
1574,1043,82,2020-04-21 22:00:00,2020-04-21,35,39,0,47,34
1539,1009,82,2020-04-20 22:00:00,2020-04-20,26,38,0,46,56
1513,953,82,2020-04-19 22:00:00,2020-04-19,31,37,1,45,47
1482,906,81,2020-04-18 22:00:00,2020-04-18,48,36,1,44,50
1434,856,80,2020-04-17 22:00:00,2020-04-17,19,35,1,43,44
1415,812,79,2020-04-16 22:00:00,2020-04-16,15,34,1,42,46
1400,766,78,2020-04-15 22:00:00,2020-04-15,22,33,0,41,49
1378,717,78,2020-04-14 22:00:00,2020-04-14,26,32,2,40,77
1352,640,76,2020-04-13 22:00:00,2020-04-13,34,31,4,39,39
1318,601,72,2020-04-12 22:00:00,2020-04-12,39,30,2,38,51
1279,550,70,2020-04-11 22:00:00,2020-04-11,47,29,1,37,54
1232,496,69,2020-04-10 22:00:00,2020-04-10,30,28,0,36,44
1202,452,69,2020-04-09 22:00:00,2020-04-09,80,27,4,35,79
1122,373,65,2020-04-08 22:00:00,2020-04-08,91,26,1,34,29
1031,344,64,2020-04-07 22:00:00,2020-04-07,70,25,3,33,65
961,279,61,2020-04-06 22:00:00,2020-04-06,83,24,5,32,20
878,259,56,2020-04-05 22:00:00,2020-04-05,58,23,2,31,33
820,226,54,2020-04-04 21:00:00,2020-04-04,48,22,0,30,24
772,202,54,2020-04-03 21:00:00,2020-04-03,44,21,2,29,20
728,182,52,2020-04-02 21:00:00,2020-04-02,34,20,2,28,12
694,170,50,2020-04-01 21:00:00,2020-04-01,64,19,4,27,18
630,152,46,2020-03-31 21:00:00,2020-03-31,83,18,4,26,9
547,143,42,2020-03-30 21:00:00,2020-03-30,0,17,0,25,0
547,143,42,2020-03-29 21:00:00,2020-03-29,89,16,2,24,21
458,122,40,2020-03-28 21:00:00,2020-03-28,76,15,4,23,17
382,105,36,2020-03-27 21:10:00,2020-03-27,36,14,7,22,2
346,103,29,2020-03-26 22:20:00,2020-03-26,30,13,2,21,28
316,75,27,2020-03-25 23:20:00,2020-03-25,50,12,4,20,13
266,62,23,2020-03-24 21:20:00,2020-03-24,33,11,3,19,5
233,57,20,2020-03-23 21:40:00,2020-03-23,19,10,3,18,6
214,51,17,2020-03-22 21:00:00,2020-03-22,6,9,0,17,2
208,49,17,2020-03-21 21:00:00,2020-03-21,16,8,4,16,0
192,49,13,2020-03-20 21:20:00,2020-03-20,28,7,1,15,6
164,43,12,2020-03-19 21:30:00,2020-03-19,0,6,0,14,2
164,41,12,2020-03-18 22:00:00,2020-03-18,31,5,2,13,9
133,32,10,2020-03-17 21:00:00,2020-03-17,9,4,0,12,6
124,26,10,2020-03-16 21:00:00,2020-03-16,14,3,0,11,0
110,26,10,2020-03-15 21:00:00,2020-03-15,9,2,1,10,2
101,24,9,2020-03-14 21:00:00,2020-03-14,18,1,1,9,0
83,24,8,2020-03-13 21:00:00,2020-03-13,12,0,0,8,9
71,15,8,2020-03-12 21:00:00,2020-03-12,0,0,1,7,0
71,15,7,2020-03-11 21:00:00,2020-03-11,0,0,0,6,12
71,3,7,2020-03-10 21:00:00,2020-03-10,6,0,1,5,2
65,1,6,2020-03-09 21:00:00,2020-03-09,11,0,2,4,0
54,1,4,2020-03-08 21:00:00,2020-03-08,8,0,0,3,0
46,1,4,2020-03-07 21:00:00,2020-03-07,6,0,1,2,0
40,1,3,2020-03-06 21:00:00,2020-03-06,5,0,2,1,1
35,0,1,2020-03-05 21:00:00,2020-03-05,3,0,0,0,0
32,0,1,2020-03-04 21:00:00,2020-03-04,6,0,1,0,0
26,0,0,2020-03-03 21:00:00,2020-03-03,5,0,0,0,0
21,0,0,2020-03-02 21:00:00,2020-03-02,8,0,0,0,0
13,0,0,2020-03-01 21:00:00,2020-03-01,5,0,0,0,0
8,0,0,2020-02-29 21:00:00,2020-02-29,1,0,0,0,0
7,0,0,2020-02-28 21:00:00,2020-02-28,1,0,0,0,0
6,0,0,2020-02-27 21:00:00,2020-02-27,1,0,0,0,0
5,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
5,0,0,2020-02-25 21:00:00,2020-02-25,4,0,0,0,0
1,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
1,0,0,2020-02-23 21:00:00,2020-02-23,1,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
