Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
19121,15389,302,2020-06-15 22:00:00,2020-06-15,113,96,2,83,29
19008,15360,300,2020-06-14 22:00:00,2020-06-14,132,95,0,82,41
18876,15319,300,2020-06-13 22:00:00,2020-06-13,175,94,0,81,31
18701,15288,300,2020-06-12 22:00:00,2020-06-12,240,93,0,80,74
18461,15214,300,2020-06-11 22:00:00,2020-06-11,193,92,1,79,46
18268,15168,299,2020-06-10 22:00:00,2020-06-10,179,91,1,78,31
18089,15137,298,2020-06-09 22:00:00,2020-06-09,174,90,0,77,35
17915,15102,298,2020-06-08 22:00:00,2020-06-08,132,89,1,76,38
17783,15064,297,2020-06-07 22:00:00,2020-06-07,77,88,5,75,22
17706,15042,292,2020-06-06 22:00:00,2020-06-06,144,87,1,74,16
17562,15026,291,2020-06-05 22:00:00,2020-06-05,133,86,0,73,33
17429,14993,291,2020-06-04 22:00:00,2020-06-04,87,85,1,72,38
17342,14955,290,2020-06-03 22:00:00,2020-06-03,123,84,3,71,40
17219,14915,287,2020-06-02 22:00:00,2020-06-02,113,83,2,70,89
17106,14826,285,2020-06-01 22:00:00,2020-06-01,82,82,1,69,14
17024,14812,284,2020-05-31 22:00:00,2020-05-31,16,81,0,68,36
17008,14776,284,2020-05-30 22:00:00,2020-05-30,121,80,0,67,49
16887,14727,284,2020-05-29 22:00:00,2020-05-29,78,79,3,66,125
16809,14602,281,2020-05-28 22:00:00,2020-05-28,38,78,0,65,116
16771,14486,281,2020-05-27 22:00:00,2020-05-27,28,77,0,64,124
16743,14362,281,2020-05-26 22:00:00,2020-05-26,23,76,1,63,159
16720,14203,280,2020-05-25 22:00:00,2020-05-25,8,75,1,62,110
16712,14093,279,2020-05-24 22:00:00,2020-05-24,0,74,0,61,8
16712,14085,279,2020-05-23 22:00:00,2020-05-23,22,73,0,60,170
16690,13915,279,2020-05-22 22:00:00,2020-05-22,20,72,0,59,298
16670,13617,279,2020-05-21 22:00:00,2020-05-21,11,71,1,58,182
16659,13435,278,2020-05-20 22:00:00,2020-05-20,9,70,1,57,136
16650,13299,277,2020-05-19 22:00:00,2020-05-19,29,69,5,56,285
16621,13014,272,2020-05-18 22:00:00,2020-05-18,14,68,1,55,130
16607,12884,271,2020-05-17 22:00:00,2020-05-17,1,67,4,54,64
16606,12820,267,2020-05-16 22:00:00,2020-05-16,17,66,1,53,233
16589,12587,266,2020-05-15 22:00:00,2020-05-15,22,65,2,52,223
16567,12364,264,2020-05-14 22:00:00,2020-05-14,28,64,2,51,191
16539,12173,262,2020-05-13 22:00:00,2020-05-13,13,63,4,50,217
16526,11956,258,2020-05-12 22:00:00,2020-05-12,34,62,4,49,408
16492,11548,254,2020-05-11 22:00:00,2020-05-11,34,61,6,48,164
16458,11384,248,2020-05-10 22:00:00,2020-05-10,14,60,3,47,71
16444,11313,245,2020-05-09 22:00:00,2020-05-09,35,59,0,46,306
16409,11007,245,2020-05-08 22:00:00,2020-05-08,63,58,6,45,270
16346,10737,239,2020-05-07 22:00:00,2020-05-07,32,57,1,44,210
16314,10527,238,2020-05-06 22:00:00,2020-05-06,46,56,1,43,304
16268,10223,237,2020-05-05 22:00:00,2020-05-05,31,55,3,42,365
16237,9858,234,2020-05-04 22:00:00,2020-05-04,44,54,4,41,224
16193,9634,230,2020-05-03 22:00:00,2020-05-03,41,53,3,40,234
16152,9400,227,2020-05-02 22:00:00,2020-05-02,148,52,4,39,642
16004,8758,223,2020-05-01 22:00:00,2020-05-01,134,51,4,38,346
15870,8412,219,2020-04-30 22:00:00,2020-04-30,88,50,7,37,483
15782,7929,212,2020-04-29 22:00:00,2020-04-29,193,49,4,36,554
15589,7375,208,2020-04-28 22:00:00,2020-04-28,123,48,6,35,579
15466,6796,202,2020-04-27 22:00:00,2020-04-27,68,47,3,34,194
15398,6602,199,2020-04-26 22:00:00,2020-04-26,250,46,1,33,443
15148,6159,198,2020-04-25 22:00:00,2020-04-25,266,45,5,32,474
14882,5685,193,2020-04-24 22:00:00,2020-04-24,290,44,2,31,351
14592,5334,191,2020-04-23 22:00:00,2020-04-23,266,43,4,30,373
14326,4961,187,2020-04-22 22:00:00,2020-04-22,443,42,6,29,608
13883,4353,181,2020-04-21 22:00:00,2020-04-21,229,41,8,28,481
13654,3872,173,2020-04-20 22:00:00,2020-04-20,292,40,2,27,308
13362,3564,171,2020-04-19 22:00:00,2020-04-19,255,39,13,26,317
