Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
240436,189196,34744,2020-06-30 22:00:00,2020-06-30,126,129,6,128,305
240310,188891,34738,2020-06-29 22:00:00,2020-06-29,174,128,22,127,307
240136,188584,34716,2020-06-28 22:00:00,2020-06-28,175,127,8,126,969
239961,187615,34708,2020-06-27 22:00:00,2020-06-27,255,126,30,125,890
239706,186725,34678,2020-06-26 22:00:00,2020-06-26,296,125,34,124,614
239410,186111,34644,2020-06-25 22:00:00,2020-06-25,577,124,-31,123,1526
238833,184585,34675,2020-06-24 22:00:00,2020-06-24,113,123,18,122,1159
238720,183426,34657,2020-06-23 22:00:00,2020-06-23,221,122,23,121,533
238499,182893,34634,2020-06-22 22:00:00,2020-06-22,224,121,24,120,440
238275,182453,34610,2020-06-21 22:00:00,2020-06-21,264,120,49,119,546
238011,181907,34561,2020-06-20 22:00:00,2020-06-20,-148,119,47,118,1363
238159,180544,34514,2020-06-19 22:00:00,2020-06-19,331,118,66,117,1089
237828,179455,34448,2020-06-18 22:00:00,2020-06-18,328,117,43,116,929
237500,178526,34405,2020-06-17 22:00:00,2020-06-17,210,116,34,115,1516
237290,177010,34371,2020-06-16 22:00:00,2020-06-16,301,115,26,114,640
236989,176370,34345,2020-06-15 22:00:00,2020-06-15,338,114,44,113,1505
236651,174865,34301,2020-06-14 22:00:00,2020-06-14,346,113,78,112,1780
236305,173085,34223,2020-06-13 22:00:00,2020-06-13,163,112,56,111,1747
236142,171338,34167,2020-06-12 22:00:00,2020-06-12,379,111,53,110,1399
235763,169939,34114,2020-06-11 22:00:00,2020-06-11,202,110,71,109,1293
235561,168646,34043,2020-06-10 22:00:00,2020-06-10,283,109,79,108,2062
235278,166584,33964,2020-06-09 22:00:00,2020-06-09,280,108,65,107,747
234998,165837,33899,2020-06-08 22:00:00,2020-06-08,197,107,53,106,759
234801,165078,33846,2020-06-07 22:00:00,2020-06-07,270,106,72,105,1297
234531,163781,33774,2020-06-06 22:00:00,2020-06-06,518,105,85,104,1886
234013,161895,33689,2020-06-05 22:00:00,2020-06-05,177,104,88,103,957
233836,160938,33601,2020-06-04 22:00:00,2020-06-04,321,103,71,102,846
233515,160092,33530,2020-06-03 22:00:00,2020-06-03,318,102,55,101,1737
233197,158355,33475,2020-06-02 22:00:00,2020-06-02,200,101,60,100,848
232997,157507,33415,2020-06-01 22:00:00,2020-06-01,333,100,75,99,1874
232664,155633,33340,2020-05-31 22:00:00,2020-05-31,416,99,111,98,2789
232248,152844,33229,2020-05-30 22:00:00,2020-05-30,516,98,87,97,2240
231732,150604,33142,2020-05-29 22:00:00,2020-05-29,593,97,70,96,3503
231139,147101,33072,2020-05-28 22:00:00,2020-05-28,584,96,117,95,2443
230555,144658,32955,2020-05-27 22:00:00,2020-05-27,397,95,78,94,2677
230158,141981,32877,2020-05-26 22:00:00,2020-05-26,300,94,92,93,1502
229858,140479,32785,2020-05-25 22:00:00,2020-05-25,531,93,50,92,1639
229327,138840,32735,2020-05-24 22:00:00,2020-05-24,669,92,119,91,2120
228658,136720,32616,2020-05-23 22:00:00,2020-05-23,652,91,130,90,2160
228006,134560,32486,2020-05-22 22:00:00,2020-05-22,642,90,156,89,2278
227364,132282,32330,2020-05-21 22:00:00,2020-05-21,665,89,161,88,2881
226699,129401,32169,2020-05-20 22:00:00,2020-05-20,813,88,162,87,2075
225886,127326,32007,2020-05-19 22:00:00,2020-05-19,451,87,99,86,2150
225435,125176,31908,2020-05-18 22:00:00,2020-05-18,675,86,145,85,2366
224760,122810,31763,2020-05-17 22:00:00,2020-05-17,875,85,153,84,2605
223885,120205,31610,2020-05-16 22:00:00,2020-05-16,789,84,242,83,4917
223096,115288,31368,2020-05-15 22:00:00,2020-05-15,992,83,262,82,2747
222104,112541,31106,2020-05-14 22:00:00,2020-05-14,888,82,195,81,3502
221216,109039,30911,2020-05-13 22:00:00,2020-05-13,1402,81,172,80,2452
219814,106587,30739,2020-05-12 22:00:00,2020-05-12,744,80,179,79,1401
219070,105186,30560,2020-05-11 22:00:00,2020-05-11,802,79,165,78,2155
218268,103031,30395,2020-05-10 22:00:00,2020-05-10,1083,78,194,77,4008
217185,99023,30201,2020-05-09 22:00:00,2020-05-09,1327,77,243,76,2747
215858,96276,29958,2020-05-08 22:00:00,2020-05-08,1401,76,274,75,3031
214457,93245,29684,2020-05-07 22:00:00,2020-05-07,1444,75,369,74,8014
213013,85231,29315,2020-05-06 22:00:00,2020-05-06,1075,74,236,73,2352
211938,82879,29079,2020-05-05 22:00:00,2020-05-05,1221,73,195,72,1225
210717,81654,28884,2020-05-04 22:00:00,2020-05-04,1389,72,174,71,1740
209328,79914,28710,2020-05-03 22:00:00,2020-05-03,1900,71,474,70,1665
207428,78249,28236,2020-05-02 22:00:00,2020-05-02,1965,70,269,69,2304
205463,75945,27967,2020-05-01 22:00:00,2020-05-01,1872,69,285,68,4693
203591,71252,27682,2020-04-30 22:00:00,2020-04-30,2086,68,323,67,2311
201505,68941,27359,2020-04-29 22:00:00,2020-04-29,2091,67,382,66,2317
199414,66624,26977,2020-04-28 22:00:00,2020-04-28,1739,66,333,65,1696
197675,64928,26644,2020-04-27 22:00:00,2020-04-27,2324,65,260,64,1808
195351,63120,26384,2020-04-26 22:00:00,2020-04-26,2357,64,415,63,2622
192994,60498,25969,2020-04-25 22:00:00,2020-04-25,3021,63,420,62,2922
189973,57576,25549,2020-04-24 22:00:00,2020-04-24,2646,62,464,61,3033
187327,54543,25085,2020-04-23 22:00:00,2020-04-23,3370,61,437,60,2943
183957,51600,24648,2020-04-22 22:00:00,2020-04-22,2729,60,534,59,2723
181228,48877,24114,2020-04-21 22:00:00,2020-04-21,2256,59,454,58,1822
178972,47055,23660,2020-04-20 22:00:00,2020-04-20,3047,58,433,57,2128
175925,44927,23227,2020-04-19 22:00:00,2020-04-19,3491,57,482,56,2200
172434,42727,22745,2020-04-18 22:00:00,2020-04-18,3493,56,575,55,2563
168941,40164,22170,2020-04-17 22:00:00,2020-04-17,3786,55,525,54,2072
165155,38092,21645,2020-04-16 22:00:00,2020-04-16,2667,54,578,53,962
162488,37130,21067,2020-04-15 22:00:00,2020-04-15,2972,53,602,52,1695
159516,35435,20465,2020-04-14 22:00:00,2020-04-14,3153,52,566,51,1224
156363,34211,19899,2020-04-13 22:00:00,2020-04-13,4092,51,431,50,1677
152271,32534,19468,2020-04-12 22:00:00,2020-04-12,4694,50,619,49,2079
147577,30455,18849,2020-04-11 22:00:00,2020-04-11,3951,49,570,48,1985
143626,28470,18279,2020-04-10 22:00:00,2020-04-10,4204,48,610,47,1979
139422,26491,17669,2020-04-09 22:00:00,2020-04-09,3836,47,542,46,2099
135586,24392,17127,2020-04-08 22:00:00,2020-04-08,3039,46,604,45,1555
132547,22837,16523,2020-04-07 22:00:00,2020-04-07,3599,45,636,44,1022
128948,21815,15887,2020-04-06 22:00:00,2020-04-06,4316,44,525,43,819
124632,20996,15362,2020-04-05 22:00:00,2020-04-05,4805,43,681,42,1238
119827,19758,14681,2020-04-04 21:00:00,2020-04-04,4585,42,766,41,1480
115242,18278,13915,2020-04-03 21:00:00,2020-04-03,4668,41,760,40,1431
110574,16847,13155,2020-04-02 21:00:00,2020-04-02,4782,40,727,39,1118
105792,15729,12428,2020-04-01 21:00:00,2020-04-01,4053,39,837,38,1109
101739,14620,11591,2020-03-31 21:00:00,2020-03-31,4050,38,812,37,1590
97689,13030,10779,2020-03-30 21:00:00,2020-03-30,5217,37,756,36,646
92472,12384,10023,2020-03-29 21:00:00,2020-03-29,5974,36,889,35,1434
86498,10950,9134,2020-03-28 21:00:00,2020-03-28,5909,35,919,34,589
80589,10361,8215,2020-03-27 21:10:00,2020-03-27,6203,34,712,33,999
74386,9362,7503,2020-03-26 22:20:00,2020-03-26,5210,33,683,32,1036
69176,8326,6820,2020-03-25 23:20:00,2020-03-25,5249,32,743,31,894
63927,7432,6077,2020-03-24 21:20:00,2020-03-24,4789,31,601,30,408
59138,7024,5476,2020-03-23 21:40:00,2020-03-23,5560,30,651,29,952
53578,6072,4825,2020-03-22 21:00:00,2020-03-22,6557,29,793,28,943
47021,5129,4032,2020-03-21 21:00:00,2020-03-21,5986,28,627,27,689
41035,4440,3405,2020-03-20 21:20:00,2020-03-20,5322,27,427,26,415
35713,4025,2978,2020-03-19 21:30:00,2020-03-19,4207,26,475,25,1084
31506,2941,2503,2020-03-18 22:00:00,2020-03-18,3526,25,345,24,192
27980,2749,2158,2020-03-17 21:00:00,2020-03-17,3233,24,349,23,414
24747,2335,1809,2020-03-16 21:00:00,2020-03-16,3590,23,368,22,369
21157,1966,1441,2020-03-15 21:00:00,2020-03-15,3497,22,175,21,527
17660,1439,1266,2020-03-14 21:00:00,2020-03-14,2547,21,250,20,181
15113,1258,1016,2020-03-13 21:00:00,2020-03-13,2651,20,189,19,213
12462,1045,827,2020-03-12 21:00:00,2020-03-12,2313,19,196,18,41
10149,1004,631,2020-03-11 21:00:00,2020-03-11,977,18,168,17,280
9172,724,463,2020-03-10 21:00:00,2020-03-10,1797,17,97,16,102
7375,622,366,2020-03-09 21:00:00,2020-03-09,1492,16,133,15,33
5883,589,233,2020-03-08 21:00:00,2020-03-08,1247,15,36,14,66
4636,523,197,2020-03-07 21:00:00,2020-03-07,778,14,49,13,109
3858,414,148,2020-03-06 21:00:00,2020-03-06,769,13,41,12,138
3089,276,107,2020-03-05 21:00:00,2020-03-05,587,12,28,11,116
2502,160,79,2020-03-04 21:00:00,2020-03-04,466,11,27,10,11
2036,149,52,2020-03-03 21:00:00,2020-03-03,332,10,11,9,66
1704,83,41,2020-03-02 21:00:00,2020-03-02,576,9,12,8,33
1128,50,29,2020-03-01 21:00:00,2020-03-01,239,8,8,7,4
889,46,21,2020-02-29 21:00:00,2020-02-29,234,7,4,6,1
655,45,17,2020-02-28 21:00:00,2020-02-28,185,6,5,5,42
470,3,12,2020-02-27 21:00:00,2020-02-27,113,5,1,4,1
357,2,11,2020-02-26 21:00:00,2020-02-26,87,4,4,3,1
270,1,7,2020-02-25 21:00:00,2020-02-25,55,3,3,2,0
215,1,4,2020-02-24 21:00:00,2020-02-24,98,2,2,1,0
117,1,2,2020-02-23 21:00:00,2020-02-23,83,1,0,0,0
34,1,2,2020-02-22 21:00:00,2020-02-22,28,0,2,0,1
6,0,0,2020-02-21 21:00:00,2020-02-21,3,0,0,0,0
3,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
3,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
3,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
3,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
3,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
3,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
3,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
3,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
3,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
3,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
3,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
3,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
3,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
3,0,0,2020-02-07 21:00:00,2020-02-07,1,0,0,0,0
2,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
2,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
2,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
2,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
2,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
2,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
2,0,0,2020-01-31 12:30:00,2020-01-31,2,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
