Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
3995,2045,38,2020-06-10 22:00:00,2020-06-10,114,75,0,66,176
3881,1869,38,2020-06-09 22:00:00,2020-06-09,142,74,2,65,51
3739,1818,36,2020-06-08 22:00:00,2020-06-08,182,73,0,64,68
3557,1750,36,2020-06-07 22:00:00,2020-06-07,126,72,0,63,146
3431,1604,36,2020-06-06 22:00:00,2020-06-06,169,71,1,62,20
3262,1584,35,2020-06-05 22:00:00,2020-06-05,152,70,0,61,54
3110,1530,35,2020-06-04 22:00:00,2020-06-04,86,69,2,60,29
3024,1501,33,2020-06-03 22:00:00,2020-06-03,73,68,0,59,34
2951,1467,33,2020-06-02 22:00:00,2020-06-02,118,67,0,58,32
2833,1435,33,2020-06-01 22:00:00,2020-06-01,34,66,0,57,50
2799,1385,33,2020-05-31 22:00:00,2020-05-31,49,65,1,56,15
2750,1370,32,2020-05-30 22:00:00,2020-05-30,109,64,0,55,44
2641,1326,32,2020-05-29 22:00:00,2020-05-29,85,63,1,54,24
2556,1302,31,2020-05-28 22:00:00,2020-05-28,79,62,1,53,16
2477,1286,30,2020-05-27 22:00:00,2020-05-27,54,61,0,52,29
2423,1257,30,2020-05-26 22:00:00,2020-05-26,47,60,0,51,38
2376,1219,30,2020-05-25 22:00:00,2020-05-25,10,59,0,50,31
2366,1188,30,2020-05-24 22:00:00,2020-05-24,25,58,1,49,42
2341,1146,29,2020-05-23 22:00:00,2020-05-23,40,57,0,48,46
2301,1100,29,2020-05-22 22:00:00,2020-05-22,70,56,0,47,17
2231,1083,29,2020-05-21 22:00:00,2020-05-21,78,55,1,46,33
2153,1050,28,2020-05-20 22:00:00,2020-05-20,34,54,0,45,10
2119,1040,28,2020-05-19 22:00:00,2020-05-19,10,53,1,44,36
2109,1004,27,2020-05-18 22:00:00,2020-05-18,48,52,2,43,17
2061,987,25,2020-05-17 22:00:00,2020-05-17,44,51,1,42,45
2017,942,24,2020-05-16 22:00:00,2020-05-16,46,50,0,41,12
1971,930,24,2020-05-15 22:00:00,2020-05-15,59,49,0,40,28
1912,902,24,2020-05-14 22:00:00,2020-05-14,55,48,3,39,82
1857,820,21,2020-05-13 22:00:00,2020-05-13,127,47,0,38,2
1730,818,21,2020-05-12 22:00:00,2020-05-12,30,46,0,37,24
1700,794,21,2020-05-11 22:00:00,2020-05-11,33,45,0,36,25
1667,769,21,2020-05-10 22:00:00,2020-05-10,65,44,1,35,15
1602,754,20,2020-05-09 22:00:00,2020-05-09,31,43,0,34,12
1571,742,20,2020-05-08 22:00:00,2020-05-08,55,42,2,33,21
1516,721,18,2020-05-07 22:00:00,2020-05-07,52,41,0,32,20
1464,701,18,2020-05-06 22:00:00,2020-05-06,32,40,1,31,8
