Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
837,711,10,2020-07-26 22:00:00,2020-07-26,6,103,0,116,0
831,711,10,2020-07-25 22:00:00,2020-07-25,10,102,0,115,0
821,711,10,2020-07-24 22:00:00,2020-07-24,5,101,0,114,1
816,710,10,2020-07-23 22:00:00,2020-07-23,6,100,0,113,1
810,709,10,2020-07-22 22:00:00,2020-07-22,1,99,0,112,3
809,706,10,2020-07-21 22:00:00,2020-07-21,19,98,0,111,13
790,693,10,2020-07-20 22:00:00,2020-07-20,16,97,0,110,14
774,679,10,2020-07-19 22:00:00,2020-07-19,6,96,0,109,1
768,678,10,2020-07-18 22:00:00,2020-07-18,3,95,0,108,31
765,647,10,2020-07-17 22:00:00,2020-07-17,2,94,0,107,0
763,647,10,2020-07-16 22:00:00,2020-07-16,1,93,0,106,4
762,643,10,2020-07-15 22:00:00,2020-07-15,3,92,0,105,15
759,628,10,2020-07-14 22:00:00,2020-07-14,1,91,0,104,8
758,620,10,2020-07-13 22:00:00,2020-07-13,0,90,0,103,5
758,615,10,2020-07-12 22:00:00,2020-07-12,5,89,0,102,10
753,605,10,2020-07-11 22:00:00,2020-07-11,0,88,0,101,2
753,603,10,2020-07-10 22:00:00,2020-07-10,2,87,0,100,3
751,600,10,2020-07-09 22:00:00,2020-07-09,6,86,0,99,1
745,599,10,2020-07-08 22:00:00,2020-07-08,8,85,0,98,8
737,591,10,2020-07-07 22:00:00,2020-07-07,5,84,0,97,7
732,584,10,2020-07-06 22:00:00,2020-07-06,4,83,0,96,15
728,569,10,2020-07-05 22:00:00,2020-07-05,7,82,0,95,4
721,565,10,2020-07-04 22:00:00,2020-07-04,6,81,0,94,5
715,560,10,2020-07-03 22:00:00,2020-07-03,8,80,0,93,5
707,555,10,2020-07-02 22:00:00,2020-07-02,5,79,0,92,2
702,553,10,2020-07-01 22:00:00,2020-07-01,4,78,0,91,0
698,553,10,2020-06-30 22:00:00,2020-06-30,2,77,0,90,1
696,552,10,2020-06-29 22:00:00,2020-06-29,6,76,0,89,0
690,552,10,2020-06-28 22:00:00,2020-06-28,4,75,0,88,13
686,539,10,2020-06-27 22:00:00,2020-06-27,2,74,0,87,13
684,526,10,2020-06-26 22:00:00,2020-06-26,6,73,0,86,5
678,521,10,2020-06-25 22:00:00,2020-06-25,8,72,0,85,3
670,518,10,2020-06-24 22:00:00,2020-06-24,5,71,0,84,2
665,516,10,2020-06-23 22:00:00,2020-06-23,6,70,0,83,0
659,516,10,2020-06-22 22:00:00,2020-06-22,2,69,0,82,54
657,462,10,2020-06-21 22:00:00,2020-06-21,5,68,0,81,4
652,458,10,2020-06-20 22:00:00,2020-06-20,14,67,0,80,0
638,458,10,2020-06-19 22:00:00,2020-06-19,12,66,0,79,7
626,451,10,2020-06-18 22:00:00,2020-06-18,5,65,0,78,2
621,449,10,2020-06-17 22:00:00,2020-06-17,0,64,0,77,19
621,430,10,2020-06-16 22:00:00,2020-06-16,4,63,0,76,10
617,420,10,2020-06-15 22:00:00,2020-06-15,2,62,0,75,0
615,420,10,2020-06-14 22:00:00,2020-06-14,1,61,0,74,3
614,417,10,2020-06-13 22:00:00,2020-06-13,3,60,0,73,9
611,408,10,2020-06-12 22:00:00,2020-06-12,6,59,0,72,1
605,407,10,2020-06-11 22:00:00,2020-06-11,0,58,0,71,2
605,405,10,2020-06-10 22:00:00,2020-06-10,6,57,0,70,0
599,405,10,2020-06-09 22:00:00,2020-06-09,1,56,0,69,0
598,405,10,2020-06-08 22:00:00,2020-06-08,2,55,0,68,1
596,404,10,2020-06-07 22:00:00,2020-06-07,1,54,0,67,19
595,385,10,2020-06-06 22:00:00,2020-06-06,4,53,0,66,17
591,368,10,2020-06-05 22:00:00,2020-06-05,0,52,0,65,7
591,361,10,2020-06-04 22:00:00,2020-06-04,1,51,1,64,5
