Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,New_recover
4969,1241,104,2020-04-08 18:00:00,2020-04-08,351,59,1,30
4618,1211,103,2020-04-07 22:00:00,2020-04-07,252,58,7,17
4366,1194,96,2020-04-06 22:00:00,2020-04-06,515,57,8,61
3851,1133,88,2020-04-05 22:00:00,2020-04-05,204,56,8,0
3647,1133,80,2020-04-04 21:00:00,2020-04-04,318,55,6,0
3329,1133,74,2020-04-03 21:00:00,2020-04-03,233,54,6,42
3096,1091,68,2020-04-02 21:00:00,2020-04-02,206,53,0,16
2890,1075,68,2020-04-01 21:00:00,2020-04-01,225,52,2,48
2665,1027,66,2020-03-31 21:00:00,2020-03-31,87,51,2,0
2578,1027,64,2020-03-30 21:00:00,2020-03-30,173,50,2,26
2405,1001,62,2020-03-29 21:00:00,2020-03-29,194,49,3,32
2211,969,59,2020-03-28 21:00:00,2020-03-28,112,48,2,13
2099,956,57,2020-03-27 21:10:00,2020-03-27,80,47,2,49
2019,907,55,2020-03-26 22:20:00,2020-03-26,114,46,2,35
1905,872,53,2020-03-25 23:20:00,2020-03-25,53,45,1,0
1852,872,52,2020-03-24 21:20:00,2020-03-24,39,44,3,70
1813,802,49,2020-03-23 21:40:00,2020-03-23,47,43,5,20
1766,782,44,2020-03-22 21:00:00,2020-03-22,47,42,1,0
1719,782,43,2020-03-21 21:00:00,2020-03-21,44,41,3,40
1675,742,40,2020-03-20 21:20:00,2020-03-20,40,40,1,24
1635,718,39,2020-03-19 21:30:00,2020-03-19,34,39,3,118
1601,600,36,2020-03-18 22:00:00,2020-03-18,53,38,1,0
1548,600,35,2020-03-17 21:00:00,2020-03-17,7,37,3,0
1541,600,32,2020-03-16 21:00:00,2020-03-16,40,36,3,0
1501,600,29,2020-03-15 21:00:00,2020-03-15,67,35,1,157
1434,443,28,2020-03-14 21:00:00,2020-03-14,37,34,2,0
1397,443,26,2020-03-13 21:00:00,2020-03-13,58,33,3,0
1339,443,23,2020-03-12 21:00:00,2020-03-12,56,32,4,16
1283,427,19,2020-03-11 21:00:00,2020-03-11,44,31,2,96
1239,331,17,2020-03-10 21:00:00,2020-03-10,41,30,3,10
1198,321,14,2020-03-09 21:00:00,2020-03-09,41,29,2,0
1157,321,12,2020-03-08 21:00:00,2020-03-08,26,28,0,60
1131,261,12,2020-03-07 21:00:00,2020-03-07,54,27,0,6
1077,255,12,2020-03-06 21:00:00,2020-03-06,50,26,0,0
1027,255,12,2020-03-05 21:00:00,2020-03-05,32,25,0,112
995,143,12,2020-03-04 21:00:00,2020-03-04,16,24,0,0
979,143,12,2020-03-03 21:00:00,2020-03-03,27,23,0,91
952,52,12,2020-03-02 21:00:00,2020-03-02,15,22,0,10
937,42,12,2020-03-01 21:00:00,2020-03-01,0,21,1,0
937,42,11,2020-02-29 21:00:00,2020-02-29,15,20,2,0
922,42,9,2020-02-28 21:00:00,2020-02-28,19,19,1,0
903,42,8,2020-02-27 21:00:00,2020-02-27,40,18,2,9
863,33,6,2020-02-26 21:00:00,2020-02-26,12,17,1,0
851,33,5,2020-02-25 21:00:00,2020-02-25,14,16,1,7
837,26,4,2020-02-24 21:00:00,2020-02-24,57,15,1,1
780,25,3,2020-02-23 21:00:00,2020-02-23,36,14,0,0
744,25,3,2020-02-22 21:00:00,2020-02-22,13,13,0,2
731,23,3,2020-02-21 21:00:00,2020-02-21,19,12,0,0
712,23,3,2020-02-20 21:00:00,2020-02-20,11,11,2,0
701,23,1,2020-02-19 21:00:00,2020-02-19,93,10,0,2
608,21,1,2020-02-18 21:00:00,2020-02-18,89,9,0,4
519,17,1,2020-02-17 21:00:00,2020-02-17,105,8,0,0
414,17,1,2020-02-16 21:00:00,2020-02-16,77,7,0,6
337,11,1,2020-02-15 21:00:00,2020-02-15,84,6,0,1
253,10,1,2020-02-14 21:00:00,2020-02-14,5,5,1,0
248,10,0,2020-02-13 21:00:00,2020-02-13,45,4,0,1
203,9,0,2020-02-12 21:00:00,2020-02-12,40,3,0,0
163,9,0,2020-02-11 20:30:00,2020-02-11,2,2,0,0
161,9,0,2020-02-10 21:00:00,2020-02-10,65,1,0,5
96,4,0,2020-02-09 21:00:00,2020-02-09,7,0,0,0
89,4,0,2020-02-08 21:00:00,2020-02-08,3,0,0,3
86,1,0,2020-02-07 21:00:00,2020-02-07,51,0,0,0
35,1,0,2020-02-06 10:00:00,2020-02-06,2,0,0,0
33,1,0,2020-02-05 21:00:00,2020-02-05,13,0,0,0
20,1,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0
20,1,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0
20,1,0,2020-02-02 20:00:00,2020-02-02,3,0,0,0
17,1,0,2020-02-01 10:00:00,2020-02-01,6,0,0,0
11,1,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0
11,1,0,2020-01-30 12:00:00,2020-01-30,4,0,0,0
7,1,0,2020-01-29 14:00:00,2020-01-29,3,0,0,0
4,1,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0
4,1,0,2020-01-27 14:00:00,2020-01-27,2,0,0,1
2,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0
2,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0
2,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0
2,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0
2,0,0,2020-01-22 15:00:00,2020-01-22,1,0,0,0
1,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0
