Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
106,98,1,2020-04-23 15:00:00,2020-04-23,0,11,0,0,0
106,98,1,2020-04-22 22:00:00,2020-04-22,0,10,0,0,1
106,97,1,2020-04-21 22:00:00,2020-04-21,2,9,0,0,0
104,97,1,2020-04-20 22:00:00,2020-04-20,0,8,0,0,0
104,97,1,2020-04-19 22:00:00,2020-04-19,2,7,0,0,0
102,97,1,2020-04-18 22:00:00,2020-04-18,0,6,0,0,0
102,97,1,2020-04-17 22:00:00,2020-04-17,0,5,0,0,1
102,96,1,2020-04-16 22:00:00,2020-04-16,0,4,0,0,0
102,96,1,2020-04-15 22:00:00,2020-04-15,2,3,0,0,0
100,96,1,2020-04-14 22:00:00,2020-04-14,0,2,0,0,0
100,96,1,2020-04-13 22:00:00,2020-04-13,1,1,0,0,0
99,96,1,2020-04-12 22:00:00,2020-04-12,1,0,0,0,0
98,96,1,2020-04-11 22:00:00,2020-04-11,0,0,0,0,1
98,95,1,2020-04-10 22:00:00,2020-04-10,0,0,0,0,2
98,93,1,2020-04-09 22:00:00,2020-04-09,0,0,0,0,1
98,92,1,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
98,92,1,2020-04-07 22:00:00,2020-04-07,0,0,0,0,0
98,92,1,2020-04-06 22:00:00,2020-04-06,0,0,0,0,0
98,92,1,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
98,92,1,2020-04-04 21:00:00,2020-04-04,0,0,0,0,0
98,92,1,2020-04-03 21:00:00,2020-04-03,0,0,0,0,0
98,92,1,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
98,92,1,2020-04-01 21:00:00,2020-04-01,0,0,0,0,0
98,92,1,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
98,92,1,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
98,92,1,2020-03-29 21:00:00,2020-03-29,1,0,0,0,0
97,92,1,2020-03-28 21:00:00,2020-03-28,2,0,0,0,0
95,92,1,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
95,92,1,2020-03-26 22:20:00,2020-03-26,1,0,0,0,0
94,92,1,2020-03-25 23:20:00,2020-03-25,1,0,0,0,0
93,92,1,2020-03-24 21:20:00,2020-03-24,0,0,0,0,0
93,92,1,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
93,92,1,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
93,92,1,2020-03-21 21:00:00,2020-03-21,0,0,0,0,0
93,92,1,2020-03-20 21:20:00,2020-03-20,0,0,0,0,0
93,92,1,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
93,92,1,2020-03-18 22:00:00,2020-03-18,0,0,0,0,0
93,92,1,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
93,92,1,2020-03-16 21:00:00,2020-03-16,0,0,0,0,1
93,91,1,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
93,91,1,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
93,91,1,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
93,91,1,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
93,91,1,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
93,91,1,2020-03-10 21:00:00,2020-03-10,0,0,0,0,1
93,90,1,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
93,90,1,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
93,90,1,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
