Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
26058,15076,340,2020-07-29 22:00:00,2020-07-29,246,127,6,126,276
25812,14800,334,2020-07-28 22:00:00,2020-07-28,522,126,3,125,297
25290,14503,331,2020-07-27 22:00:00,2020-07-27,283,125,1,124,165
25007,14338,330,2020-07-26 22:00:00,2020-07-26,453,124,0,123,212
24554,14126,330,2020-07-25 22:00:00,2020-07-25,598,123,8,122,409
23956,13717,322,2020-07-24 22:00:00,2020-07-24,475,122,1,121,229
23481,13488,321,2020-07-23 22:00:00,2020-07-23,552,121,5,120,393
22929,13095,316,2020-07-22 22:00:00,2020-07-22,257,120,2,119,277
22672,12818,314,2020-07-21 22:00:00,2020-07-21,676,119,5,118,310
21996,12508,309,2020-07-20 22:00:00,2020-07-20,303,118,1,117,47
21693,12461,308,2020-07-19 22:00:00,2020-07-19,307,117,2,116,101
21386,12360,306,2020-07-18 22:00:00,2020-07-18,569,116,1,115,243
20817,12117,305,2020-07-17 22:00:00,2020-07-17,468,115,1,114,138
20349,11979,304,2020-07-16 22:00:00,2020-07-16,462,114,5,113,252
19887,11727,299,2020-07-15 22:00:00,2020-07-15,242,113,1,112,238
19645,11489,298,2020-07-14 22:00:00,2020-07-14,664,112,1,111,217
18981,11272,297,2020-07-13 22:00:00,2020-07-13,294,111,2,110,52
18687,11220,295,2020-07-12 22:00:00,2020-07-12,384,110,2,109,80
18303,11140,293,2020-07-11 22:00:00,2020-07-11,518,109,0,108,186
17785,10954,293,2020-07-10 22:00:00,2020-07-10,451,108,3,107,127
17334,10827,290,2020-07-09 22:00:00,2020-07-09,528,107,1,106,254
16806,10573,289,2020-07-08 22:00:00,2020-07-08,168,106,4,105,125
16638,10448,285,2020-07-07 22:00:00,2020-07-07,557,105,1,104,307
16081,10141,284,2020-07-06 22:00:00,2020-07-06,170,104,1,103,55
15911,10086,283,2020-07-05 22:00:00,2020-07-05,252,103,1,102,188
15659,9898,282,2020-07-04 22:00:00,2020-07-04,657,102,2,101,146
15002,9752,280,2020-07-03 22:00:00,2020-07-03,172,101,3,100,173
14830,9579,277,2020-07-02 22:00:00,2020-07-02,460,100,4,99,401
14370,9178,273,2020-07-01 22:00:00,2020-07-01,161,99,0,98,150
14209,9028,273,2020-06-30 22:00:00,2020-06-30,375,98,4,97,322
13834,8706,269,2020-06-29 22:00:00,2020-06-29,217,97,1,96,17
13617,8689,268,2020-06-28 22:00:00,2020-06-28,155,96,3,95,269
13462,8420,265,2020-06-27 22:00:00,2020-06-27,355,95,3,94,284
13107,8136,262,2020-06-26 22:00:00,2020-06-26,177,94,2,93,97
12930,8039,260,2020-06-25 22:00:00,2020-06-25,393,93,0,92,241
12537,7798,260,2020-06-24 22:00:00,2020-06-24,109,92,2,91,184
12428,7614,258,2020-06-23 22:00:00,2020-06-23,292,91,1,90,327
12136,7287,257,2020-06-22 22:00:00,2020-06-22,39,90,1,89,129
12097,7158,256,2020-06-21 22:00:00,2020-06-21,76,89,3,88,88
12021,7070,253,2020-06-20 22:00:00,2020-06-20,268,88,2,87,129
11753,6941,251,2020-06-19 22:00:00,2020-06-19,109,87,4,86,109
11644,6832,247,2020-06-18 22:00:00,2020-06-18,233,86,1,85,114
11411,6718,246,2020-06-17 22:00:00,2020-06-17,92,85,0,84,234
11319,6484,246,2020-06-16 22:00:00,2020-06-16,218,84,1,83,172
11101,6312,245,2020-06-15 22:00:00,2020-06-15,81,83,0,82,185
11020,6127,245,2020-06-14 22:00:00,2020-06-14,47,82,2,81,122
10973,6005,243,2020-06-13 22:00:00,2020-06-13,150,81,0,80,220
10823,5785,243,2020-06-12 22:00:00,2020-06-12,73,80,3,79,124
10750,5661,240,2020-06-11 22:00:00,2020-06-11,141,79,3,78,83
10609,5578,237,2020-06-10 22:00:00,2020-06-10,65,78,1,77,209
10544,5369,236,2020-06-09 22:00:00,2020-06-09,138,77,3,76,140
10406,5229,233,2020-06-08 22:00:00,2020-06-08,45,76,0,75,144
10361,5085,233,2020-06-07 22:00:00,2020-06-07,55,75,1,74,260
10306,4825,232,2020-06-06 22:00:00,2020-06-06,139,74,5,73,73
10167,4752,227,2020-06-05 22:00:00,2020-06-05,75,73,1,72,111
10092,4641,226,2020-06-04 22:00:00,2020-06-04,127,72,3,71,79
9965,4562,223,2020-06-03 22:00:00,2020-06-03,45,71,6,70,41
9920,4521,217,2020-06-02 22:00:00,2020-06-02,171,70,0,69,116
9749,4405,217,2020-06-01 22:00:00,2020-06-01,59,69,2,68,26
9690,4379,215,2020-05-31 22:00:00,2020-05-31,28,68,0,67,55
9662,4324,215,2020-05-30 22:00:00,2020-05-30,291,67,1,66,74
9371,4250,214,2020-05-29 22:00:00,2020-05-29,80,66,1,65,175
9291,4075,213,2020-05-28 22:00:00,2020-05-28,92,65,3,64,104
9199,3971,210,2020-05-27 22:00:00,2020-05-27,74,64,3,63,114
9125,3857,207,2020-05-26 22:00:00,2020-05-26,121,63,2,62,6
9004,3851,205,2020-05-25 22:00:00,2020-05-25,32,62,0,61,28
8972,3823,205,2020-05-24 22:00:00,2020-05-24,63,61,0,60,30
8909,3793,205,2020-05-23 22:00:00,2020-05-23,284,60,1,59,69
8625,3724,204,2020-05-22 22:00:00,2020-05-22,118,59,2,58,913
8507,2811,202,2020-05-21 22:00:00,2020-05-21,154,58,3,57,50
8353,2761,199,2020-05-20 22:00:00,2020-05-20,50,57,1,56,76
8303,2685,198,2020-05-19 22:00:00,2020-05-19,350,56,3,55,88
7953,2597,195,2020-05-18 22:00:00,2020-05-18,14,55,0,54,26
7939,2571,195,2020-05-17 22:00:00,2020-05-17,53,54,2,53,52
7886,2519,193,2020-05-16 22:00:00,2020-05-16,181,53,4,52,152
7705,2367,189,2020-05-15 22:00:00,2020-05-15,187,52,1,51,510
7518,1857,188,2020-05-14 22:00:00,2020-05-14,278,51,4,50,62
7240,1795,184,2020-05-13 22:00:00,2020-05-13,81,50,4,49,125
7159,1670,180,2020-05-12 22:00:00,2020-05-12,208,49,6,48,184
6951,1486,174,2020-05-11 22:00:00,2020-05-11,122,48,0,47,3
6829,1483,174,2020-05-10 22:00:00,2020-05-10,162,47,6,46,22
6667,1461,168,2020-05-09 22:00:00,2020-05-09,335,46,3,45,36
6332,1425,165,2020-05-08 22:00:00,2020-05-08,339,45,1,44,145
5993,1280,164,2020-05-07 22:00:00,2020-05-07,345,44,3,43,42
5648,1238,161,2020-05-06 22:00:00,2020-05-06,265,43,5,42,81
5383,1157,156,2020-05-05 22:00:00,2020-05-05,227,42,12,41,176
5156,981,144,2020-05-04 22:00:00,2020-05-04,271,41,2,40,37
4885,944,142,2020-05-03 22:00:00,2020-05-03,251,40,2,39,40
4634,904,140,2020-05-02 22:00:00,2020-05-02,221,39,6,38,34
4413,870,134,2020-05-01 22:00:00,2020-05-01,574,38,0,37,101
3839,769,134,2020-04-30 22:00:00,2020-04-30,187,37,7,36,34
3652,735,127,2020-04-29 22:00:00,2020-04-29,179,36,1,35,32
3473,703,126,2020-04-28 22:00:00,2020-04-28,196,35,5,34,60
3277,643,121,2020-04-27 22:00:00,2020-04-27,142,34,1,33,0
3135,643,120,2020-04-26 22:00:00,2020-04-26,176,33,2,32,39
2959,604,118,2020-04-25 22:00:00,2020-04-25,238,32,5,31,160
2721,444,113,2020-04-24 22:00:00,2020-04-24,303,31,1,30,0
2418,444,112,2020-04-23 22:00:00,2020-04-23,208,30,3,29,0
2210,444,109,2020-04-22 22:00:00,2020-04-22,145,29,7,28,0
2065,444,102,2020-04-21 22:00:00,2020-04-21,124,28,8,27,0
1941,444,94,2020-04-20 22:00:00,2020-04-20,87,27,8,26,23
1854,421,86,2020-04-19 22:00:00,2020-04-19,112,26,2,25,0
1742,421,84,2020-04-18 22:00:00,2020-04-18,125,25,4,24,30
1617,391,80,2020-04-17 22:00:00,2020-04-17,91,24,6,23,98
1526,293,74,2020-04-16 22:00:00,2020-04-16,85,23,5,22,35
1441,258,69,2020-04-15 22:00:00,2020-04-15,50,22,7,21,205
1391,53,62,2020-04-14 22:00:00,2020-04-14,54,21,6,20,0
1337,53,56,2020-04-13 22:00:00,2020-04-13,62,20,1,19,0
1275,53,55,2020-04-12 22:00:00,2020-04-12,97,19,5,18,37
1178,16,50,2020-04-11 22:00:00,2020-04-11,61,18,8,17,12
