Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
16376,4726,585,2020-07-06 22:00:00,2020-07-06,0,106,0,107,0
16376,4726,585,2020-07-05 22:00:00,2020-07-05,0,105,0,106,0
16376,4726,585,2020-07-04 22:00:00,2020-07-04,296,104,4,105,0
16080,4726,581,2020-07-03 22:00:00,2020-07-03,238,103,9,104,674
15842,4052,572,2020-07-02 22:00:00,2020-07-02,216,102,7,103,62
15626,3990,565,2020-07-01 22:00:00,2020-07-01,279,101,5,102,260
15347,3730,560,2020-06-30 22:00:00,2020-06-30,115,100,2,101,0
15232,3730,558,2020-06-29 22:00:00,2020-06-29,65,99,4,100,0
15167,3730,554,2020-06-28 22:00:00,2020-06-28,308,98,1,99,24
14859,3706,553,2020-06-27 22:00:00,2020-06-27,240,97,7,98,0
14619,3706,546,2020-06-26 22:00:00,2020-06-26,256,96,8,97,115
14363,3591,538,2020-06-25 22:00:00,2020-06-25,209,95,1,96,0
14154,3591,537,2020-06-24 22:00:00,2020-06-24,315,94,11,95,61
13839,3530,526,2020-06-23 22:00:00,2020-06-23,89,93,0,94,0
13750,3530,526,2020-06-22 22:00:00,2020-06-22,120,92,2,93,0
13630,3530,524,2020-06-21 22:00:00,2020-06-21,176,91,2,92,24
13454,3506,522,2020-06-20 22:00:00,2020-06-20,257,90,2,91,0
13197,3506,520,2020-06-19 22:00:00,2020-06-19,202,89,2,90,62
12995,3444,518,2020-06-18 22:00:00,2020-06-18,348,88,13,89,35
12647,3409,505,2020-06-17 22:00:00,2020-06-17,0,87,0,88,0
12647,3409,505,2020-06-16 22:00:00,2020-06-16,202,86,6,87,0
12445,3409,499,2020-06-15 22:00:00,2020-06-15,0,85,0,86,0
12445,3409,499,2020-06-14 22:00:00,2020-06-14,279,84,2,85,19
12166,3390,497,2020-06-13 22:00:00,2020-06-13,221,83,4,84,11
11945,3379,493,2020-06-12 22:00:00,2020-06-12,59,82,9,83,4
11886,3375,484,2020-06-11 22:00:00,2020-06-11,178,81,7,82,16
11708,3359,477,2020-06-10 22:00:00,2020-06-10,232,80,5,81,0
11476,3359,472,2020-06-09 22:00:00,2020-06-09,189,79,2,80,15
11287,3344,470,2020-06-08 22:00:00,2020-06-08,0,78,0,79,0
11287,3344,470,2020-06-07 22:00:00,2020-06-07,310,77,4,78,61
10977,3283,466,2020-06-06 22:00:00,2020-06-06,272,76,8,77,0
10705,3283,458,2020-06-05 22:00:00,2020-06-05,295,75,8,76,0
10410,3283,450,2020-06-04 22:00:00,2020-06-04,216,74,8,75,8
10194,3275,442,2020-06-03 22:00:00,2020-06-03,148,73,3,74,43
10046,3232,439,2020-06-02 22:00:00,2020-06-02,342,72,8,73,1
9704,3231,431,2020-06-01 22:00:00,2020-06-01,0,71,0,72,0
9704,3231,431,2020-05-31 22:00:00,2020-05-31,236,70,15,71,50
9468,3181,416,2020-05-30 22:00:00,2020-05-30,283,69,7,70,0
9185,3181,409,2020-05-29 22:00:00,2020-05-29,108,68,9,69,66
9077,3115,400,2020-05-28 22:00:00,2020-05-28,126,67,6,68,0
8951,3115,394,2020-05-27 22:00:00,2020-05-27,380,66,3,67,13
8571,3102,391,2020-05-26 22:00:00,2020-05-26,0,65,0,66,33
8571,3069,391,2020-05-25 22:00:00,2020-05-25,0,64,0,65,0
8571,3069,391,2020-05-24 22:00:00,2020-05-24,145,63,0,64,0
8426,3069,391,2020-05-23 22:00:00,2020-05-23,140,62,5,63,243
8286,2826,386,2020-05-22 22:00:00,2020-05-22,119,61,10,62,0
8167,2826,376,2020-05-21 22:00:00,2020-05-21,98,60,10,61,0
8069,2826,366,2020-05-20 22:00:00,2020-05-20,134,59,20,60,87
7935,2739,346,2020-05-19 22:00:00,2020-05-19,247,58,12,59,0
7688,2739,334,2020-05-18 22:00:00,2020-05-18,0,57,0,58,0
7688,2739,334,2020-05-17 22:00:00,2020-05-17,244,56,2,57,0
7444,2739,332,2020-05-16 22:00:00,2020-05-16,219,55,4,56,27
7225,2712,328,2020-05-15 22:00:00,2020-05-15,372,54,7,55,166
6853,2546,321,2020-05-14 22:00:00,2020-05-14,0,53,0,54,0
6853,2546,321,2020-05-13 22:00:00,2020-05-13,176,52,10,53,211
6677,2335,311,2020-05-12 22:00:00,2020-05-12,237,51,7,52,660
6440,1675,304,2020-05-11 22:00:00,2020-05-11,0,50,0,51,0
6440,1675,304,2020-05-10 22:00:00,2020-05-10,152,49,6,50,0
6288,1675,298,2020-05-09 22:00:00,2020-05-09,159,48,4,49,0
6129,1675,294,2020-05-08 22:00:00,2020-05-08,170,47,11,48,0
5959,1675,283,2020-05-07 22:00:00,2020-05-07,137,46,8,47,0
5822,1675,275,2020-05-06 22:00:00,2020-05-06,577,45,14,46,0
5245,1675,261,2020-05-05 22:00:00,2020-05-05,115,44,8,45,0
5130,1675,253,2020-05-04 22:00:00,2020-05-04,251,43,5,44,0
4879,1675,248,2020-05-03 22:00:00,2020-05-03,0,42,0,43,0
4879,1675,248,2020-05-02 22:00:00,2020-05-02,171,41,8,42,501
4708,1174,240,2020-05-01 22:00:00,2020-05-01,171,40,6,41,0
4537,1174,234,2020-04-30 22:00:00,2020-04-30,162,39,9,40,0
4375,1174,225,2020-04-29 22:00:00,2020-04-29,219,38,12,39,0
4156,1174,213,2020-04-28 22:00:00,2020-04-28,78,37,5,38,0
4078,1174,208,2020-04-27 22:00:00,2020-04-27,171,36,3,37,0
3907,1174,205,2020-04-26 22:00:00,2020-04-26,128,35,5,36,0
3779,1174,200,2020-04-25 22:00:00,2020-04-25,298,34,9,35,0
3481,1174,191,2020-04-24 22:00:00,2020-04-24,108,33,6,34,0
3373,1174,185,2020-04-23 22:00:00,2020-04-23,181,32,14,33,0
3192,1174,171,2020-04-22 22:00:00,2020-04-22,142,31,17,32,0
3050,1174,154,2020-04-21 22:00:00,2020-04-21,90,30,6,31,0
2960,1174,148,2020-04-20 22:00:00,2020-04-20,253,29,4,30,195
2707,979,144,2020-04-19 22:00:00,2020-04-19,185,28,7,29,23
2522,956,137,2020-04-18 22:00:00,2020-04-18,87,27,8,28,0
2435,956,129,2020-04-17 22:00:00,2020-04-17,144,26,7,27,156
2291,800,122,2020-04-16 22:00:00,2020-04-16,81,25,7,26,147
2210,653,115,2020-04-15 22:00:00,2020-04-15,162,24,9,25,347
2048,306,106,2020-04-14 22:00:00,2020-04-14,30,23,-7,24,0
2018,306,113,2020-04-13 22:00:00,2020-04-13,178,22,19,23,0
1840,306,94,2020-04-12 22:00:00,2020-04-12,147,21,4,22,0
1693,306,90,2020-04-11 22:00:00,2020-04-11,241,20,17,21,0
1452,306,73,2020-04-10 22:00:00,2020-04-10,106,19,0,20,0
1346,306,73,2020-04-09 22:00:00,2020-04-09,197,18,8,19,0
1149,306,65,2020-04-08 22:00:00,2020-04-08,141,17,5,18,0
1008,306,60,2020-04-07 22:00:00,2020-04-07,53,16,15,17,0
955,306,45,2020-04-06 22:00:00,2020-04-06,38,15,5,16,78
917,228,40,2020-04-05 22:00:00,2020-04-05,86,14,3,15,164
831,64,37,2020-04-04 21:00:00,2020-04-04,61,13,6,14,0
770,64,31,2020-04-03 21:00:00,2020-04-03,83,12,11,13,0
687,64,20,2020-04-02 21:00:00,2020-04-02,55,11,2,12,63
632,1,18,2020-04-01 21:00:00,2020-04-01,152,10,7,11,0
480,1,11,2020-03-31 21:00:00,2020-03-31,41,9,2,10,0
439,1,9,2020-03-30 21:00:00,2020-03-30,45,8,0,9,0
394,1,9,2020-03-29 21:00:00,2020-03-29,92,7,2,8,0
302,1,7,2020-03-28 21:00:00,2020-03-28,54,6,2,7,0
248,1,5,2020-03-27 21:10:00,2020-03-27,50,5,0,6,0
198,1,5,2020-03-26 22:20:00,2020-03-26,35,4,1,5,0
163,1,4,2020-03-25 23:20:00,2020-03-25,39,3,0,4,0
124,1,4,2020-03-24 21:20:00,2020-03-24,21,2,1,3,0
103,1,3,2020-03-23 21:40:00,2020-03-23,16,1,0,2,0
87,1,3,2020-03-22 21:00:00,2020-03-22,23,0,1,1,0
64,1,2,2020-03-21 21:00:00,2020-03-21,14,0,0,0,0
50,1,2,2020-03-20 21:20:00,2020-03-20,15,0,1,0,0
35,1,1,2020-03-19 21:30:00,2020-03-19,8,0,0,0,0
27,1,1,2020-03-18 22:00:00,2020-03-18,2,0,0,0,0
25,1,1,2020-03-17 21:00:00,2020-03-17,4,0,1,0,1
21,0,0,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
18,0,0,2020-03-15 21:00:00,2020-03-15,4,0,0,0,0
14,0,0,2020-03-14 21:00:00,2020-03-14,3,0,0,0,0
11,0,0,2020-03-13 21:00:00,2020-03-13,3,0,0,0,0
8,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
8,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
6,0,0,2020-03-10 21:00:00,2020-03-10,2,0,0,0,0
4,0,0,2020-03-09 21:00:00,2020-03-09,3,0,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
1,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
