Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
737,281,40,2020-05-14 22:00:00,2020-05-14,22,42,4,42,22
715,259,36,2020-05-13 22:00:00,2020-05-13,15,41,3,41,8
700,251,33,2020-05-12 22:00:00,2020-05-12,28,40,1,40,12
672,239,32,2020-05-11 22:00:00,2020-05-11,23,39,2,39,32
649,207,30,2020-05-10 22:00:00,2020-05-10,28,38,1,38,5
621,202,29,2020-05-09 22:00:00,2020-05-09,14,37,0,37,5
607,197,29,2020-05-08 22:00:00,2020-05-08,25,36,3,36,7
582,190,26,2020-05-07 22:00:00,2020-05-07,47,35,2,35,8
535,182,24,2020-05-06 22:00:00,2020-05-06,45,34,0,34,9
490,173,24,2020-05-05 22:00:00,2020-05-05,25,33,0,33,6
465,167,24,2020-05-04 22:00:00,2020-05-04,30,32,2,32,15
435,152,22,2020-05-03 22:00:00,2020-05-03,24,31,1,31,2
411,150,21,2020-05-02 22:00:00,2020-05-02,15,30,4,30,6
396,144,17,2020-05-01 22:00:00,2020-05-01,12,29,2,29,15
384,129,15,2020-04-30 22:00:00,2020-04-30,10,28,1,28,5
374,124,14,2020-04-29 22:00:00,2020-04-29,11,27,0,27,10
363,114,14,2020-04-28 22:00:00,2020-04-28,0,26,0,26,0
363,114,14,2020-04-27 22:00:00,2020-04-27,20,25,0,25,16
343,98,14,2020-04-26 22:00:00,2020-04-26,7,24,0,24,4
336,94,14,2020-04-25 22:00:00,2020-04-25,16,23,0,23,5
320,89,14,2020-04-24 22:00:00,2020-04-24,17,22,0,22,6
303,83,14,2020-04-23 22:00:00,2020-04-23,7,21,0,21,9
296,74,14,2020-04-22 22:00:00,2020-04-22,15,20,0,20,5
281,69,14,2020-04-21 22:00:00,2020-04-21,11,19,0,19,2
270,67,14,2020-04-20 22:00:00,2020-04-20,8,18,2,18,7
262,60,12,2020-04-19 22:00:00,2020-04-19,16,17,1,17,7
246,53,11,2020-04-18 22:00:00,2020-04-18,0,16,0,16,0
246,53,11,2020-04-17 22:00:00,2020-04-17,21,15,1,15,0
225,53,10,2020-04-16 22:00:00,2020-04-16,9,14,1,14,12
216,41,9,2020-04-15 22:00:00,2020-04-15,8,13,0,13,1
208,40,9,2020-04-14 22:00:00,2020-04-14,11,12,1,12,15
197,25,8,2020-04-13 22:00:00,2020-04-13,6,11,1,11,1
191,24,7,2020-04-12 22:00:00,2020-04-12,2,10,0,10,2
189,22,7,2020-04-11 22:00:00,2020-04-11,5,9,0,9,10
184,12,7,2020-04-10 22:00:00,2020-04-10,5,8,1,8,3
179,9,6,2020-04-09 22:00:00,2020-04-09,7,7,0,7,2
172,7,6,2020-04-08 22:00:00,2020-04-08,14,6,0,6,3
158,4,6,2020-04-07 22:00:00,2020-04-07,16,5,2,5,0
142,4,4,2020-04-06 22:00:00,2020-04-06,16,4,0,4,0
126,4,4,2020-04-05 22:00:00,2020-04-05,4,3,0,3,0
122,4,4,2020-04-04 21:00:00,2020-04-04,12,2,1,2,0
110,4,3,2020-04-03 21:00:00,2020-04-03,29,1,2,1,1
81,3,1,2020-04-02 21:00:00,2020-04-02,22,0,0,0,0
59,3,1,2020-04-01 21:00:00,2020-04-01,9,0,0,0,2
50,1,1,2020-03-31 21:00:00,2020-03-31,8,0,0,0,0
42,1,1,2020-03-30 21:00:00,2020-03-30,4,0,0,0,0
38,1,1,2020-03-29 21:00:00,2020-03-29,7,0,0,0,0
31,1,1,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
31,1,1,2020-03-27 21:10:00,2020-03-27,3,0,1,0,0
28,1,0,2020-03-26 22:20:00,2020-03-26,3,0,0,0,1
