Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
556,103,1,2020-04-06 18:00:00,2020-04-06,0,24,0
556,99,1,2020-04-05 22:00:00,2020-04-05,139,23,0
417,82,1,2020-04-04 21:00:00,2020-04-04,0,22,1
417,82,0,2020-04-03 21:00:00,2020-04-03,75,21,0
342,81,0,2020-04-02 21:00:00,2020-04-02,25,20,0
317,80,0,2020-04-01 21:00:00,2020-04-01,28,19,0
289,73,0,2020-03-31 21:00:00,2020-03-31,23,18,0
266,72,0,2020-03-30 21:00:00,2020-03-30,11,17,0
255,67,0,2020-03-29 21:00:00,2020-03-29,20,16,0
235,64,0,2020-03-28 21:00:00,2020-03-28,10,15,0
225,57,0,2020-03-27 21:10:00,2020-03-27,17,14,0
208,49,0,2020-03-26 22:20:00,2020-03-26,13,13,0
195,43,0,2020-03-25 23:20:00,2020-03-25,4,12,0
191,39,0,2020-03-24 21:20:00,2020-03-24,2,11,0
189,30,0,2020-03-23 21:40:00,2020-03-23,13,10,0
176,27,0,2020-03-22 21:00:00,2020-03-22,0,9,0
176,27,0,2020-03-21 21:00:00,2020-03-21,17,8,0
159,22,0,2020-03-20 21:20:00,2020-03-20,11,7,0
148,18,0,2020-03-19 21:30:00,2020-03-19,6,6,0
142,12,0,2020-03-18 22:00:00,2020-03-18,12,5,0
130,12,0,2020-03-17 21:00:00,2020-03-17,7,4,0
123,9,0,2020-03-16 21:00:00,2020-03-16,11,3,0
112,9,0,2020-03-15 21:00:00,2020-03-15,12,2,0
100,5,0,2020-03-14 21:00:00,2020-03-14,20,1,0
80,5,0,2020-03-13 21:00:00,2020-03-13,0,0,0
80,5,0,2020-03-12 21:00:00,2020-03-12,8,0,0
72,2,0,2020-03-11 21:00:00,2020-03-11,3,0,0
69,1,0,2020-03-10 21:00:00,2020-03-10,4,0,0
65,1,0,2020-03-09 21:00:00,2020-03-09,3,0,0
62,1,0,2020-03-08 21:00:00,2020-03-08,1,0,0
61,1,0,2020-03-07 21:00:00,2020-03-07,3,0,0
58,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0
58,0,0,2020-03-05 21:00:00,2020-03-05,2,0,0
56,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0
56,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0
56,0,0,2020-03-02 21:00:00,2020-03-02,11,0,0
45,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0
45,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0
45,0,0,2020-02-28 21:00:00,2020-02-28,2,0,0
43,0,0,2020-02-27 21:00:00,2020-02-27,25,0,0
18,0,0,2020-02-26 21:00:00,2020-02-26,10,0,0
8,0,0,2020-02-25 21:00:00,2020-02-25,5,0,0
3,0,0,2020-02-24 21:00:00,2020-02-24,3,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
