Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed
136,124,2,2020-03-31 09:00:00,2020-03-31,0,53
136,124,2,2020-03-30 22:00:00,2020-03-30,2,52
134,124,2,2020-03-29 22:00:00,2020-03-29,3,51
131,124,2,2020-03-28 22:00:00,2020-03-28,3,50
128,124,2,2020-03-27 22:10:00,2020-03-27,1,49
127,124,2,2020-03-26 23:20:00,2020-03-26,0,48
127,124,2,2020-03-25 23:00:00,2020-03-25,0,47
127,124,2,2020-03-24 22:20:00,2020-03-24,0,46
127,124,2,2020-03-23 22:40:00,2020-03-23,1,45
126,124,2,2020-03-22 22:00:00,2020-03-22,0,44
126,122,2,2020-03-21 22:00:00,2020-03-21,0,43
126,122,2,2020-03-20 22:20:00,2020-03-20,1,42
125,122,1,2020-03-19 22:30:00,2020-03-19,0,41
125,122,1,2020-03-18 23:00:00,2020-03-18,0,40
125,119,1,2020-03-17 22:00:00,2020-03-17,0,39
125,114,1,2020-03-16 22:00:00,2020-03-16,0,38
125,114,1,2020-03-15 22:00:00,2020-03-15,0,37
125,113,1,2020-03-14 22:00:00,2020-03-14,0,36
125,112,1,2020-03-13 22:00:00,2020-03-13,0,35
125,112,1,2020-03-12 22:00:00,2020-03-12,0,34
125,111,1,2020-03-11 22:00:00,2020-03-11,0,33
125,111,1,2020-03-10 22:00:00,2020-03-10,0,32
125,109,1,2020-03-09 22:00:00,2020-03-09,0,31
125,109,1,2020-03-08 22:00:00,2020-03-08,0,30
125,106,1,2020-03-07 22:00:00,2020-03-07,0,29
125,106,1,2020-03-06 22:00:00,2020-03-06,0,28
125,106,1,2020-03-05 22:00:00,2020-03-05,0,27
125,106,1,2020-03-04 22:00:00,2020-03-04,0,26
125,104,1,2020-03-03 22:00:00,2020-03-03,3,25
122,103,1,2020-03-02 22:00:00,2020-03-02,1,24
121,102,1,2020-03-01 22:00:00,2020-03-01,0,23
121,95,1,2020-02-29 22:00:00,2020-02-29,0,22
121,93,1,2020-02-28 22:00:00,2020-02-28,0,21
121,92,1,2020-02-27 22:00:00,2020-02-27,0,20
121,88,1,2020-02-26 22:00:00,2020-02-26,0,19
121,83,1,2020-02-25 22:00:00,2020-02-25,0,18
121,80,1,2020-02-24 22:00:00,2020-02-24,0,17
121,68,1,2020-02-23 22:00:00,2020-02-23,0,16
121,66,1,2020-02-22 22:00:00,2020-02-22,0,15
121,61,1,2020-02-21 22:00:00,2020-02-21,0,14
121,59,1,2020-02-20 22:00:00,2020-02-20,0,13
121,55,1,2020-02-19 22:00:00,2020-02-19,0,12
121,46,1,2020-02-18 22:00:00,2020-02-18,0,11
121,41,1,2020-02-17 22:00:00,2020-02-17,1,10
120,35,1,2020-02-16 22:00:00,2020-02-16,1,9
119,31,1,2020-02-15 22:00:00,2020-02-15,2,8
117,29,1,2020-02-14 22:00:00,2020-02-14,1,7
116,22,1,2020-02-13 22:00:00,2020-02-13,0,6
116,19,0,2020-02-12 22:00:00,2020-02-12,5,5
111,18,0,2020-02-11 21:30:00,2020-02-11,3,4
108,12,0,2020-02-10 22:00:00,2020-02-10,2,3
106,12,0,2020-02-09 22:00:00,2020-02-09,3,2
103,8,0,2020-02-08 22:00:00,2020-02-08,8,1
95,7,0,2020-02-07 22:00:00,2020-02-07,4,0
91,4,0,2020-02-06 22:00:00,2020-02-06,10,0
81,3,0,2020-02-05 22:00:00,2020-02-05,4,0
77,2,0,2020-02-04 21:00:00,2020-02-04,4,0
73,1,0,2020-02-03 21:00:00,2020-02-03,4,0
69,1,0,2020-02-02 21:00:00,2020-02-02,9,0
60,1,0,2020-02-01 11:00:00,2020-02-01,15,0
45,1,0,2020-01-31 13:30:00,2020-01-31,6,0
39,1,0,2020-01-30 13:00:00,2020-01-30,3,0
36,0,0,2020-01-29 15:00:00,2020-01-29,9,0
27,0,0,2020-01-28 12:30:00,2020-01-28,4,0
23,0,0,2020-01-27 15:00:00,2020-01-27,4,0
19,0,0,2020-01-26 14:00:00,2020-01-26,4,0
15,0,0,2020-01-25 16:00:00,2020-01-25,11,0
4,0,0,2020-01-24 16:00:00,2020-01-24,1,0
3,0,0,2020-01-23 16:00:00,2020-01-23,1,0
2,0,0,2020-01-22 16:00:00,2020-01-22,2,0
0,0,0,2020-01-21 16:00:00,2020-01-21,0,0
