Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
334,176,30,2020-06-06 22:00:00,2020-06-06,13,46,2,62,1
321,175,28,2020-06-05 22:00:00,2020-06-05,5,45,0,61,6
316,169,28,2020-06-04 22:00:00,2020-06-04,5,44,0,60,2
311,167,28,2020-06-03 22:00:00,2020-06-03,15,43,1,59,8
296,159,27,2020-06-02 22:00:00,2020-06-02,8,42,0,58,2
288,157,27,2020-06-01 22:00:00,2020-06-01,8,41,0,57,9
280,148,27,2020-05-31 22:00:00,2020-05-31,7,40,0,56,2
273,146,27,2020-05-30 22:00:00,2020-05-30,4,39,0,55,2
269,144,27,2020-05-29 22:00:00,2020-05-29,3,38,0,54,0
266,144,27,2020-05-28 22:00:00,2020-05-28,0,37,1,53,0
266,144,26,2020-05-27 22:00:00,2020-05-27,1,36,0,52,3
265,141,26,2020-05-26 22:00:00,2020-05-26,0,35,0,51,2
265,139,26,2020-05-25 22:00:00,2020-05-25,10,34,0,50,3
255,136,26,2020-05-24 22:00:00,2020-05-24,6,33,2,49,0
249,136,24,2020-05-23 22:00:00,2020-05-23,9,32,1,48,5
240,131,23,2020-05-22 22:00:00,2020-05-22,2,31,0,47,3
238,128,23,2020-05-21 22:00:00,2020-05-21,5,30,0,46,3
233,125,23,2020-05-20 22:00:00,2020-05-20,4,29,1,45,2
229,123,22,2020-05-19 22:00:00,2020-05-19,3,28,1,44,3
226,120,21,2020-05-18 22:00:00,2020-05-18,3,27,1,43,4
223,116,20,2020-05-17 22:00:00,2020-05-17,4,26,0,42,8
219,108,20,2020-05-16 22:00:00,2020-05-16,4,25,0,41,3
215,105,20,2020-05-15 22:00:00,2020-05-15,2,24,0,40,4
213,101,20,2020-05-14 22:00:00,2020-05-14,1,23,0,39,15
212,86,20,2020-05-13 22:00:00,2020-05-13,1,22,0,38,1
211,85,20,2020-05-12 22:00:00,2020-05-12,12,21,0,37,6
199,79,20,2020-05-11 22:00:00,2020-05-11,0,20,0,36,0
199,79,20,2020-05-10 22:00:00,2020-05-10,0,19,0,35,0
199,79,20,2020-05-09 22:00:00,2020-05-09,10,18,0,34,0
189,79,20,2020-05-08 22:00:00,2020-05-08,11,17,0,33,4
178,75,20,2020-05-07 22:00:00,2020-05-07,8,16,0,32,17
170,58,20,2020-05-06 22:00:00,2020-05-06,4,15,2,31,0
166,58,18,2020-05-05 22:00:00,2020-05-05,8,14,0,30,0
158,58,18,2020-05-04 22:00:00,2020-05-04,4,13,0,29,10
154,48,18,2020-05-03 22:00:00,2020-05-03,2,12,0,28,3
152,45,18,2020-05-02 22:00:00,2020-05-02,11,11,2,27,0
141,45,16,2020-05-01 22:00:00,2020-05-01,0,10,0,26,0
141,45,16,2020-04-30 22:00:00,2020-04-30,0,9,0,25,0
141,45,16,2020-04-29 22:00:00,2020-04-29,8,8,0,24,20
133,25,16,2020-04-28 22:00:00,2020-04-28,9,7,4,23,0
124,25,12,2020-04-27 22:00:00,2020-04-27,4,6,1,22,0
120,25,11,2020-04-26 22:00:00,2020-04-26,3,5,3,21,0
117,25,8,2020-04-25 22:00:00,2020-04-25,0,4,0,20,0
117,25,8,2020-04-24 22:00:00,2020-04-24,16,3,0,19,5
101,20,8,2020-04-23 22:00:00,2020-04-23,0,2,0,18,13
101,7,8,2020-04-22 22:00:00,2020-04-22,2,1,0,17,0
99,7,8,2020-04-21 22:00:00,2020-04-21,8,0,0,16,0
91,7,8,2020-04-20 22:00:00,2020-04-20,15,0,1,15,0
76,7,7,2020-04-19 22:00:00,2020-04-19,0,0,0,14,0
76,7,7,2020-04-18 22:00:00,2020-04-18,3,0,1,13,3
73,4,6,2020-04-17 22:00:00,2020-04-17,14,0,0,12,0
59,4,6,2020-04-16 22:00:00,2020-04-16,0,0,0,11,0
59,4,6,2020-04-15 22:00:00,2020-04-15,0,0,0,10,0
59,4,6,2020-04-14 22:00:00,2020-04-14,9,0,1,9,1
50,3,5,2020-04-13 22:00:00,2020-04-13,2,0,0,8,0
48,3,5,2020-04-12 22:00:00,2020-04-12,11,0,0,7,0
37,3,5,2020-04-11 22:00:00,2020-04-11,6,0,1,6,0
31,3,4,2020-04-10 22:00:00,2020-04-10,0,0,0,5,0
31,3,4,2020-04-09 22:00:00,2020-04-09,17,0,1,4,0
14,3,3,2020-04-08 22:00:00,2020-04-08,0,0,0,3,0
14,3,3,2020-04-07 22:00:00,2020-04-07,1,0,0,2,0
13,3,3,2020-04-06 22:00:00,2020-04-06,3,0,2,1,0
10,3,1,2020-04-05 22:00:00,2020-04-05,3,0,1,0,3
7,0,0,2020-04-04 21:00:00,2020-04-04,1,0,0,0,0
6,0,0,2020-04-03 21:00:00,2020-04-03,0,0,0,0,0
6,0,0,2020-04-02 21:00:00,2020-04-02,0,0,0,0,0
6,0,0,2020-04-01 21:00:00,2020-04-01,3,0,0,0,0
3,0,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
3,0,0,2020-03-30 21:00:00,2020-03-30,0,0,0,0,0
3,0,0,2020-03-29 21:00:00,2020-03-29,0,0,0,0,0
3,0,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
3,0,0,2020-03-27 21:10:00,2020-03-27,0,0,0,0,0
3,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
3,0,0,2020-03-25 23:20:00,2020-03-25,0,0,0,0,0
3,0,0,2020-03-24 21:20:00,2020-03-24,0,0,0,0,0
3,0,0,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
3,0,0,2020-03-22 21:00:00,2020-03-22,0,0,0,0,0
3,0,0,2020-03-21 21:00:00,2020-03-21,1,0,0,0,0
2,0,0,2020-03-20 21:20:00,2020-03-20,0,0,0,0,0
2,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
2,0,0,2020-03-18 22:00:00,2020-03-18,1,0,0,0,0
1,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
1,0,0,2020-03-16 21:00:00,2020-03-16,1,0,0,0,0
0,0,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
