Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1370,357,38,2020-04-23 15:00:00,2020-04-23,0,33,0,30,0
1370,357,38,2020-04-22 22:00:00,2020-04-22,20,32,1,29,59
1350,298,37,2020-04-21 22:00:00,2020-04-21,24,31,0,28,56
1326,242,37,2020-04-20 22:00:00,2020-04-20,28,30,3,27,0
1298,242,34,2020-04-19 22:00:00,2020-04-19,59,29,1,26,14
1239,228,33,2020-04-18 22:00:00,2020-04-18,90,28,1,25,18
1149,210,32,2020-04-17 22:00:00,2020-04-17,21,27,2,24,32
1128,178,30,2020-04-16 22:00:00,2020-04-16,37,26,1,23,40
1091,138,29,2020-04-15 22:00:00,2020-04-15,21,25,5,22,37
1070,101,24,2020-04-14 22:00:00,2020-04-14,8,24,0,21,0
1062,101,24,2020-04-13 22:00:00,2020-04-13,9,23,1,20,4
1053,97,23,2020-04-12 22:00:00,2020-04-12,27,22,0,19,43
1026,54,23,2020-04-11 22:00:00,2020-04-11,27,21,1,18,0
999,54,22,2020-04-10 22:00:00,2020-04-10,44,20,7,17,46
955,8,15,2020-04-09 22:00:00,2020-04-09,43,19,0,16,0
912,8,15,2020-04-08 22:00:00,2020-04-08,32,18,0,15,0
880,8,15,2020-04-07 22:00:00,2020-04-07,37,17,1,14,0
843,8,14,2020-04-06 22:00:00,2020-04-06,32,16,3,13,1
811,7,11,2020-04-05 22:00:00,2020-04-05,40,15,2,12,0
771,7,9,2020-04-04 21:00:00,2020-04-04,75,14,0,11,0
696,7,9,2020-04-03 21:00:00,2020-04-03,47,13,1,10,0
649,7,8,2020-04-02 21:00:00,2020-04-02,68,12,0,9,0
581,7,8,2020-04-01 21:00:00,2020-04-01,48,11,1,8,0
533,7,7,2020-03-31 21:00:00,2020-03-31,49,10,0,7,6
484,1,7,2020-03-30 21:00:00,2020-03-30,47,9,0,6,0
437,1,7,2020-03-29 21:00:00,2020-03-29,55,8,2,5,0
382,1,5,2020-03-28 21:00:00,2020-03-28,37,7,0,4,0
345,1,5,2020-03-27 21:10:00,2020-03-27,55,6,1,3,0
290,1,4,2020-03-26 22:20:00,2020-03-26,35,5,0,2,0
255,1,4,2020-03-25 23:20:00,2020-03-25,68,4,3,1,0
187,1,1,2020-03-24 21:20:00,2020-03-24,33,3,0,0,0
154,1,1,2020-03-23 21:40:00,2020-03-23,49,2,0,0,0
105,1,1,2020-03-22 21:00:00,2020-03-22,36,1,0,0,0
69,1,1,2020-03-21 21:00:00,2020-03-21,21,0,1,0,0
48,1,0,2020-03-20 21:20:00,2020-03-20,12,0,0,0,0
36,1,0,2020-03-19 21:30:00,2020-03-19,9,0,0,0,0
27,1,0,2020-03-18 22:00:00,2020-03-18,9,0,0,0,0
18,1,0,2020-03-17 21:00:00,2020-03-17,4,0,0,0,0
14,1,0,2020-03-16 21:00:00,2020-03-16,5,0,0,0,0
9,1,0,2020-03-15 21:00:00,2020-03-15,2,0,0,0,1
7,0,0,2020-03-14 21:00:00,2020-03-14,4,0,0,0,0
3,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
3,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
3,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
1,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
1,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
