Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
38802,28700,2741,2020-05-29 22:00:00,2020-05-29,305,75,18,74,0
38497,28700,2723,2020-05-28 22:00:00,2020-05-28,443,74,21,73,0
38054,28700,2702,2020-05-27 22:00:00,2020-05-27,245,73,11,72,0
37809,28700,2691,2020-05-26 22:00:00,2020-05-26,640,72,0,71,2451
37169,26249,2691,2020-05-25 22:00:00,2020-05-25,244,71,23,70,0
36925,26249,2668,2020-05-24 22:00:00,2020-05-24,0,70,0,69,0
36925,26249,2668,2020-05-23 22:00:00,2020-05-23,421,69,39,68,0
36504,26249,2629,2020-05-22 22:00:00,2020-05-22,1188,68,21,67,0
35316,26249,2608,2020-05-21 22:00:00,2020-05-21,278,67,27,66,0
35038,26249,2581,2020-05-20 22:00:00,2020-05-20,329,66,18,65,0
34709,26249,2563,2020-05-19 22:00:00,2020-05-19,277,65,72,64,3641
34432,22608,2491,2020-05-18 22:00:00,2020-05-18,315,64,12,63,0
34117,22608,2479,2020-05-17 22:00:00,2020-05-17,280,63,31,62,0
33837,22608,2448,2020-05-16 22:00:00,2020-05-16,348,62,31,61,0
33489,22608,2417,2020-05-15 22:00:00,2020-05-15,827,61,36,60,0
32662,22608,2381,2020-05-14 22:00:00,2020-05-14,612,60,34,59,0
32050,22608,2347,2020-05-13 22:00:00,2020-05-13,235,59,39,58,0
31815,22608,2308,2020-05-12 22:00:00,2020-05-12,215,58,22,57,2292
31600,20316,2286,2020-05-11 22:00:00,2020-05-11,183,57,19,56,0
31417,20316,2267,2020-05-10 22:00:00,2020-05-10,562,56,40,55,0
30855,20316,2227,2020-05-09 22:00:00,2020-05-09,203,55,19,54,0
30652,20316,2208,2020-05-08 22:00:00,2020-05-08,253,54,41,53,0
30399,20316,2167,2020-05-07 22:00:00,2020-05-07,403,53,52,52,0
29996,20316,2115,2020-05-06 22:00:00,2020-05-06,323,52,51,51,0
29673,20316,2064,2020-05-05 22:00:00,2020-05-05,333,51,52,50,3013
29340,17303,2012,2020-05-04 22:00:00,2020-05-04,200,50,19,49,0
29140,17303,1993,2020-05-03 22:00:00,2020-05-03,429,49,23,48,0
28711,17303,1970,2020-05-02 22:00:00,2020-05-02,710,48,65,47,0
28001,17303,1905,2020-05-01 22:00:00,2020-05-01,341,47,60,46,0
27660,17303,1845,2020-04-30 22:00:00,2020-04-30,374,46,44,45,0
27286,17303,1801,2020-04-29 22:00:00,2020-04-29,218,45,61,44,2376
27068,14927,1740,2020-04-28 22:00:00,2020-04-28,295,44,11,43,0
26773,14927,1729,2020-04-27 22:00:00,2020-04-27,261,43,22,42,0
26512,14927,1707,2020-04-26 22:00:00,2020-04-26,372,42,47,41,0
26140,14927,1660,2020-04-25 22:00:00,2020-04-25,401,41,61,40,14927
25739,0,1599,2020-04-24 22:00:00,2020-04-24,481,40,126,39,0
25258,0,1473,2020-04-23 22:00:00,2020-04-23,404,39,68,38,0
24854,0,1405,2020-04-22 22:00:00,2020-04-22,331,38,77,37,0
24523,0,1328,2020-04-21 22:00:00,2020-04-21,595,37,32,36,0
23928,0,1296,2020-04-20 22:00:00,2020-04-20,348,36,29,35,0
23580,0,1267,2020-04-19 22:00:00,2020-04-19,462,35,54,34,0
23118,0,1213,2020-04-18 22:00:00,2020-04-18,586,34,57,33,0
22532,0,1156,2020-04-17 22:00:00,2020-04-17,581,33,53,32,0
21951,0,1103,2020-04-16 22:00:00,2020-04-16,433,32,90,31,0
21518,0,1013,2020-04-15 22:00:00,2020-04-15,502,31,129,30,0
21016,0,884,2020-04-14 22:00:00,2020-04-14,421,30,44,29,0
20595,0,840,2020-04-13 22:00:00,2020-04-13,581,29,34,28,0
20014,0,806,2020-04-12 22:00:00,2020-04-12,761,28,51,27,0
19253,0,755,2020-04-11 22:00:00,2020-04-11,970,27,53,26,0
18283,0,702,2020-04-10 22:00:00,2020-04-10,1253,26,50,25,0
17030,0,652,2020-04-09 22:00:00,2020-04-09,746,25,70,24,0
16284,0,582,2020-04-08 22:00:00,2020-04-08,1417,24,70,23,0
14867,0,512,2020-04-07 22:00:00,2020-04-07,1857,23,35,22,0
13010,0,477,2020-04-06 22:00:00,2020-04-06,514,22,68,21,0
12496,0,409,2020-04-05 22:00:00,2020-04-05,2199,21,39,20,0
10297,0,370,2020-04-04 21:00:00,2020-04-04,1138,20,60,19,0
9159,0,310,2020-04-03 21:00:00,2020-04-03,2735,19,37,18,0
6424,0,273,2020-04-02 21:00:00,2020-04-02,1187,18,34,17,0
5237,0,239,2020-04-01 21:00:00,2020-04-01,1212,17,54,16,0
4025,0,185,2020-03-31 21:00:00,2020-03-31,485,16,34,15,0
3540,0,151,2020-03-30 21:00:00,2020-03-30,225,15,14,14,0
3315,0,137,2020-03-29 21:00:00,2020-03-29,569,14,18,13,0
2746,0,119,2020-03-28 21:00:00,2020-03-28,441,13,36,12,0
2305,0,83,2020-03-27 21:10:00,2020-03-27,510,12,18,11,0
1795,0,65,2020-03-26 22:20:00,2020-03-26,407,11,19,10,0
1388,0,46,2020-03-25 23:20:00,2020-03-25,216,10,11,9,0
1172,0,35,2020-03-24 21:20:00,2020-03-24,335,9,15,8,0
837,0,20,2020-03-23 21:40:00,2020-03-23,74,8,0,7,0
763,0,20,2020-03-22 21:00:00,2020-03-22,226,7,6,6,0
537,0,14,2020-03-21 21:00:00,2020-03-21,145,6,4,5,0
392,0,10,2020-03-20 21:20:00,2020-03-20,112,5,2,4,0
280,0,8,2020-03-19 21:30:00,2020-03-19,84,4,4,3,0
196,0,4,2020-03-18 22:00:00,2020-03-18,60,3,1,2,0
136,0,3,2020-03-17 21:00:00,2020-03-17,33,2,1,1,0
103,0,2,2020-03-16 21:00:00,2020-03-16,26,1,1,0,0
77,0,1,2020-03-15 21:00:00,2020-03-15,41,0,1,0,0
36,0,0,2020-03-14 21:00:00,2020-03-14,17,0,0,0,0
19,0,0,2020-03-13 21:00:00,2020-03-13,6,0,0,0,0
13,0,0,2020-03-12 21:00:00,2020-03-12,10,0,0,0,0
3,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,1,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
