Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
1,0,2020-03-01,1,0,0,0,0,0
1,0,2020-03-02,0,0,0,0,0,0
1,0,2020-03-03,0,0,0,0,0,0
4,0,2020-03-04,3,0,0,0,0,0
10,0,2020-03-05,6,0,0,0,0,0
18,0,2020-03-06,8,0,0,0,0,0
19,0,2020-03-07,1,0,0,0,0,0
21,0,2020-03-08,2,0,0,0,0,0
33,0,2020-03-09,12,0,0,0,0,0
49,0,2020-03-10,16,0,0,0,0,0
75,0,2020-03-11,26,0,0,0,0,0
129,0,2020-03-12,54,1,0,0,0,0
230,0,2020-03-13,101,2,0,0,0,0
253,0,2020-03-14,23,3,0,0,0,0
287,0,2020-03-15,34,4,0,0,0,0
391,0,2020-03-16,104,5,0,0,0,0
325,0,2020-03-17,-66,6,0,0,0,0
478,0,2020-03-18,153,7,0,0,0,0
669,0,2020-03-19,191,8,0,0,0,0
803,0,2020-03-20,134,9,0,0,0,0
1023,0,2020-03-21,220,10,0,0,0,0
1306,1,2020-03-22,283,11,1,0,0,0
1483,4,2020-03-23,177,12,3,1,0,0
1764,6,2020-03-24,281,13,2,2,0,0
2140,7,2020-03-25,376,14,1,3,0,0
2347,8,2020-03-26,207,15,1,4,0,0
2810,10,2020-03-27,463,16,2,5,0,0
3150,12,2020-03-28,340,17,2,6,0,0
3450,21,2020-03-29,300,18,9,7,0,0
3732,26,2020-03-30,282,19,5,8,0,0
4063,34,2020-03-31,331,20,8,9,0,0
4382,42,2020-04-01,319,21,8,10,0,0
4695,45,2020-04-02,313,22,3,11,0,0
5081,65,2020-04-03,386,23,20,12,0,0
5571,85,2020-04-04,490,24,20,13,0,0
5712,89,2020-04-05,141,25,4,14,0,0
5960,92,2020-04-06,248,26,3,15,0,0
6200,111,2020-04-07,240,27,19,16,0,0
6385,121,2020-04-08,185,28,10,17,0,0
6804,141,2020-04-09,419,29,20,18,0,0
7114,161,2020-04-10,310,30,20,19,0,0
7343,171,2020-04-11,229,31,10,20,0,0
7602,189,2020-04-12,259,32,18,21,0,0
7723,201,2020-04-13,121,33,12,22,0,0
7885,211,2020-04-14,162,34,10,23,0,0
8019,224,2020-04-15,134,35,13,24,0,0
8188,248,2020-04-16,169,36,24,25,0,0
8442,274,2020-04-17,254,37,26,26,0,0
8649,281,2020-04-18,207,38,7,27,0,0
8797,288,2020-04-19,148,39,7,28,0,0
8900,291,2020-04-20,103,40,3,29,0,0
9098,306,2020-04-21,198,41,15,30,0,0
9236,328,2020-04-22,138,42,22,31,0,0
9391,340,2020-04-23,155,43,12,32,0,0
9544,364,2020-04-24,153,44,24,33,0,0
9691,377,2020-04-25,147,45,13,34,0,0
9785,384,2020-04-26,94,46,7,35,0,0
9847,391,2020-04-27,62,47,7,36,0,0
9926,394,2020-04-28,79,48,3,37,0,0
9972,406,2020-04-29,46,49,12,38,0,0
10067,416,2020-04-30,95,50,10,39,0,0
10141,429,2020-05-01,74,51,13,40,0,0
10246,451,2020-05-02,105,52,22,41,0,0
10283,453,2020-05-03,37,53,2,42,0,0
10325,456,2020-05-04,42,54,3,43,0,0
10380,463,2020-05-05,55,55,7,44,0,0
10453,470,2020-05-06,73,56,7,45,0,0
10564,478,2020-05-07,111,57,8,46,0,0
10686,493,2020-05-08,122,58,15,47,0,0
10803,496,2020-05-09,117,59,3,48,0,0
10827,498,2020-05-10,24,60,2,49,0,0
10854,498,2020-05-11,27,61,0,50,0,0
10895,507,2020-05-12,41,62,9,51,0,0
10903,508,2020-05-13,8,63,1,52,0,0
11003,524,2020-05-14,100,64,16,53,0,0
11087,534,2020-05-15,84,65,10,54,0,0
11092,535,2020-05-16,5,66,1,55,0,0
11155,544,2020-05-17,63,67,9,56,0,0
11167,545,2020-05-18,12,68,1,57,0,0
11207,548,2020-05-19,40,69,3,58,0,0
11288,557,2020-05-20,81,70,9,59,0,0
11362,566,2020-05-21,74,71,9,60,0,0
11420,568,2020-05-22,58,72,2,61,0,0
11521,571,2020-05-23,101,73,3,62,0,0
11578,572,2020-05-24,57,74,1,63,0,0
11578,572,2020-05-25,0,75,0,64,0,0
11646,574,2020-05-26,68,76,2,65,0,0
11678,578,2020-05-27,32,77,4,66,0,0
11750,583,2020-05-28,72,78,5,67,0,0
11832,585,2020-05-29,82,79,2,68,0,0
11958,593,2020-05-30,126,80,8,69,0,0
11992,593,2020-05-31,34,81,0,70,0,0
12043,593,2020-06-01,51,82,0,71,0,0
12065,594,2020-06-02,22,83,1,72,0,0
12114,596,2020-06-03,49,84,2,73,0,0
12182,601,2020-06-04,68,85,5,74,0,0
12277,604,2020-06-05,95,86,3,75,0,0
12399,605,2020-06-06,122,87,1,76,0,0
12466,605,2020-06-07,67,88,0,77,0,0
12509,605,2020-06-08,43,89,0,78,0,0
12601,606,2020-06-09,92,90,1,79,0,0
12626,607,2020-06-10,25,91,1,80,0,0
12727,610,2020-06-11,101,92,3,81,0,0
12777,610,2020-06-12,50,93,0,82,0,0
12822,613,2020-06-13,45,94,3,83,0,0
12874,614,2020-06-14,52,95,1,84,0,0
12909,614,2020-06-15,35,96,0,85,0,0
12950,614,2020-06-16,41,97,0,86,0,0
12968,615,2020-06-17,18,98,1,87,0,0
13063,618,2020-06-18,95,99,3,88,0,0
13097,618,2020-06-19,34,100,0,89,0,0
13136,618,2020-06-20,39,101,0,90,0,0
13136,618,2020-06-21,0,102,0,91,0,0
13283,618,2020-06-22,147,103,0,92,0,0
13312,619,2020-06-23,29,104,1,93,0,0
13327,622,2020-06-24,15,105,3,94,0,0
13378,623,2020-06-25,51,106,1,95,0,0
13422,625,2020-06-26,44,107,2,96,0,0
13456,627,2020-06-27,34,108,2,97,0,0
13478,628,2020-06-28,22,109,1,98,0,0
13502,628,2020-06-29,24,110,0,99,0,0
13535,628,2020-06-30,33,111,0,100,0,0
13577,629,2020-07-01,42,112,1,101,0,0
13605,632,2020-07-02,28,113,3,102,0,0
13632,633,2020-07-03,27,114,1,103,0,0
13647,635,2020-07-04,15,115,2,104,0,0
13664,635,2020-07-05,17,116,0,105,0,0
13672,635,2020-07-06,8,117,0,106,0,0
13731,637,2020-07-07,59,118,2,107,0,0
13748,639,2020-07-08,17,119,2,108,0,0
13754,640,2020-07-09,6,120,1,109,0,0
13791,641,2020-07-10,37,121,1,110,0,0
13799,641,2020-07-11,8,122,0,111,0,0
13804,642,2020-07-12,5,123,1,112,0,0
13806,642,2020-07-13,2,124,0,113,0,0
13823,642,2020-07-14,17,125,0,114,0,0
13848,642,2020-07-15,25,126,0,115,0,0
13887,643,2020-07-16,39,127,1,116,0,0
13905,644,2020-07-17,18,128,1,117,0,0
