Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
4105,3951,110,2020-06-21 22:00:00,2020-06-21,6,97,0,95,7
4099,3944,110,2020-06-20 22:00:00,2020-06-20,8,96,0,94,4
4091,3940,110,2020-06-19 22:00:00,2020-06-19,6,95,0,93,5
4085,3935,110,2020-06-18 22:00:00,2020-06-18,10,94,0,92,2
4075,3933,110,2020-06-17 22:00:00,2020-06-17,3,93,0,91,2
4072,3931,110,2020-06-16 22:00:00,2020-06-16,2,92,0,90,2
4070,3929,110,2020-06-15 22:00:00,2020-06-15,7,91,0,89,7
4063,3922,110,2020-06-14 22:00:00,2020-06-14,8,90,0,88,4
4055,3918,110,2020-06-13 22:00:00,2020-06-13,3,89,0,87,8
4052,3910,110,2020-06-12 22:00:00,2020-06-12,3,88,0,86,6
4049,3904,110,2020-06-11 22:00:00,2020-06-11,3,87,0,85,2
4046,3902,110,2020-06-10 22:00:00,2020-06-10,6,86,0,84,1
4040,3901,110,2020-06-09 22:00:00,2020-06-09,1,85,0,83,2
4039,3899,110,2020-06-08 22:00:00,2020-06-08,4,84,0,82,11
4035,3888,110,2020-06-07 22:00:00,2020-06-07,3,83,0,81,3
4032,3885,110,2020-06-06 22:00:00,2020-06-06,5,82,0,80,11
4027,3874,110,2020-06-05 22:00:00,2020-06-05,3,81,0,79,13
4024,3861,110,2020-06-04 22:00:00,2020-06-04,4,80,0,78,13
4020,3848,110,2020-06-03 22:00:00,2020-06-03,1,79,0,77,3
4019,3845,110,2020-06-02 22:00:00,2020-06-02,1,78,0,76,12
4018,3833,110,2020-06-01 22:00:00,2020-06-01,2,77,0,75,18
4016,3815,110,2020-05-31 22:00:00,2020-05-31,4,76,0,74,0
4012,3815,110,2020-05-30 22:00:00,2020-05-30,4,75,0,73,12
4008,3803,110,2020-05-29 22:00:00,2020-05-29,7,74,0,72,12
4001,3791,110,2020-05-28 22:00:00,2020-05-28,6,73,0,71,8
3995,3783,110,2020-05-27 22:00:00,2020-05-27,2,72,0,70,2
3993,3781,110,2020-05-26 22:00:00,2020-05-26,1,71,0,69,14
3992,3767,110,2020-05-25 22:00:00,2020-05-25,2,70,1,68,9
3990,3758,109,2020-05-24 22:00:00,2020-05-24,9,69,0,67,10
3981,3748,109,2020-05-23 22:00:00,2020-05-23,1,68,0,66,7
3980,3741,109,2020-05-22 22:00:00,2020-05-22,9,67,0,65,13
3971,3728,109,2020-05-21 22:00:00,2020-05-21,13,66,0,64,10
3958,3718,109,2020-05-20 22:00:00,2020-05-20,11,65,2,63,3
3947,3715,107,2020-05-19 22:00:00,2020-05-19,2,64,0,62,13
3945,3702,107,2020-05-18 22:00:00,2020-05-18,15,63,3,61,3
3930,3699,104,2020-05-17 22:00:00,2020-05-17,7,62,0,60,17
3923,3682,104,2020-05-16 22:00:00,2020-05-16,8,61,1,59,17
3915,3665,103,2020-05-15 22:00:00,2020-05-15,11,60,0,58,36
3904,3629,103,2020-05-14 22:00:00,2020-05-14,10,59,1,57,19
3894,3610,102,2020-05-13 22:00:00,2020-05-13,6,58,1,56,8
3888,3602,101,2020-05-12 22:00:00,2020-05-12,2,57,0,55,16
3886,3586,101,2020-05-11 22:00:00,2020-05-11,9,56,0,54,36
3877,3550,101,2020-05-10 22:00:00,2020-05-10,6,55,1,53,24
3871,3526,100,2020-05-09 22:00:00,2020-05-09,12,54,0,52,21
3859,3505,100,2020-05-08 22:00:00,2020-05-08,8,53,2,51,53
3851,3452,98,2020-05-07 22:00:00,2020-05-07,11,52,2,50,40
3840,3412,96,2020-05-06 22:00:00,2020-05-06,12,51,0,49,7
3828,3405,96,2020-05-05 22:00:00,2020-05-05,4,50,0,48,26
3824,3379,96,2020-05-04 22:00:00,2020-05-04,12,49,4,47,61
3812,3318,92,2020-05-03 22:00:00,2020-05-03,10,48,0,46,105
3802,3213,92,2020-05-02 22:00:00,2020-05-02,18,47,2,45,0
3784,3213,90,2020-05-01 22:00:00,2020-05-01,15,46,1,44,79
3769,3134,89,2020-04-30 22:00:00,2020-04-30,28,45,0,43,11
3741,3123,89,2020-04-29 22:00:00,2020-04-29,12,44,1,42,0
3729,3123,88,2020-04-28 22:00:00,2020-04-28,6,43,0,41,19
3723,3104,88,2020-04-27 22:00:00,2020-04-27,12,42,3,40,16
3711,3088,85,2020-04-26 22:00:00,2020-04-26,16,41,0,39,81
3695,3007,85,2020-04-25 22:00:00,2020-04-25,30,40,2,38,2279
3665,728,83,2020-04-24 22:00:00,2020-04-24,11,39,3,37,17
3654,711,80,2020-04-23 22:00:00,2020-04-23,36,38,2,36,41
3618,670,78,2020-04-22 22:00:00,2020-04-22,60,37,3,35,33
3558,637,75,2020-04-21 22:00:00,2020-04-21,8,36,2,34,10
3550,627,73,2020-04-20 22:00:00,2020-04-20,13,35,1,33,26
3537,601,72,2020-04-19 22:00:00,2020-04-19,57,34,0,32,22
3480,579,72,2020-04-18 22:00:00,2020-04-18,36,33,3,31,27
3444,552,69,2020-04-17 22:00:00,2020-04-17,71,32,0,30,26
3373,526,69,2020-04-16 22:00:00,2020-04-16,66,31,2,29,26
3307,500,67,2020-04-15 22:00:00,2020-04-15,15,30,-2,28,0
3292,500,69,2020-04-14 22:00:00,2020-04-14,11,29,3,27,0
3281,500,66,2020-04-13 22:00:00,2020-04-13,11,28,4,26,0
3270,500,62,2020-04-12 22:00:00,2020-04-12,47,27,8,25,0
3223,500,54,2020-04-11 22:00:00,2020-04-11,108,26,2,24,0
3115,500,52,2020-04-10 22:00:00,2020-04-10,81,25,6,23,0
3034,500,46,2020-04-09 22:00:00,2020-04-09,64,24,2,22,0
2970,500,44,2020-04-08 22:00:00,2020-04-08,127,23,3,21,0
2843,500,41,2020-04-07 22:00:00,2020-04-07,39,22,5,20,0
2804,500,36,2020-04-06 22:00:00,2020-04-06,75,21,5,19,0
2729,500,31,2020-04-05 22:00:00,2020-04-05,117,20,0,18,0
2612,500,31,2020-04-04 21:00:00,2020-04-04,125,19,1,17,420
2487,80,30,2020-04-03 21:00:00,2020-04-03,168,18,1,16,0
2319,80,29,2020-04-02 21:00:00,2020-04-02,141,17,6,15,0
2178,80,23,2020-04-01 21:00:00,2020-04-01,190,16,1,14,0
1988,80,22,2020-03-31 21:00:00,2020-03-31,38,15,1,13,40
1950,40,21,2020-03-30 21:00:00,2020-03-30,119,14,3,12,0
1831,40,18,2020-03-29 21:00:00,2020-03-29,226,13,3,11,0
1605,40,15,2020-03-28 21:00:00,2020-03-28,152,12,6,10,34
1453,6,9,2020-03-27 21:10:00,2020-03-27,120,11,1,9,0
1333,6,8,2020-03-26 22:20:00,2020-03-26,234,10,0,8,0
1099,6,8,2020-03-25 23:20:00,2020-03-25,224,9,0,7,0
875,6,8,2020-03-24 21:20:00,2020-03-24,77,8,0,6,0
798,6,8,2020-03-23 21:40:00,2020-03-23,128,7,0,5,0
670,6,8,2020-03-22 21:00:00,2020-03-22,186,6,3,4,0
484,6,5,2020-03-21 21:00:00,2020-03-21,0,5,1,3,0
484,6,4,2020-03-20 21:20:00,2020-03-20,149,4,0,2,6
335,0,4,2020-03-19 21:30:00,2020-03-19,132,3,2,1,0
203,0,2,2020-03-18 22:00:00,2020-03-18,63,2,1,0,0
140,0,1,2020-03-17 21:00:00,2020-03-17,63,1,0,0,0
77,0,1,2020-03-16 21:00:00,2020-03-16,18,0,0,0,0
59,0,1,2020-03-15 21:00:00,2020-03-15,21,0,0,0,0
38,0,1,2020-03-14 21:00:00,2020-03-14,12,0,1,0,0
26,0,0,2020-03-13 21:00:00,2020-03-13,7,0,0,0,0
19,0,0,2020-03-12 21:00:00,2020-03-12,12,0,0,0,0
7,0,0,2020-03-11 21:00:00,2020-03-11,2,0,0,0,0
5,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
5,0,0,2020-03-09 21:00:00,2020-03-09,2,0,0,0,0
3,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
3,0,0,2020-03-07 21:00:00,2020-03-07,1,0,0,0,0
2,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
1,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
1,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
1,0,0,2020-03-01 21:00:00,2020-03-01,1,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
