Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1290,384,10,2020-06-15 22:00:00,2020-06-15,18,65,0,18,17
1272,367,10,2020-06-14 22:00:00,2020-06-14,20,64,0,17,5
1252,362,10,2020-06-13 22:00:00,2020-06-13,12,63,0,16,18
1240,344,10,2020-06-12 22:00:00,2020-06-12,37,62,0,15,32
1203,312,10,2020-06-11 22:00:00,2020-06-11,41,61,0,14,16
1162,296,10,2020-06-10 22:00:00,2020-06-10,24,60,1,13,22
1138,274,9,2020-06-09 22:00:00,2020-06-09,44,59,0,12,20
1094,254,9,2020-06-08 22:00:00,2020-06-08,42,58,0,11,21
1052,233,9,2020-06-07 22:00:00,2020-06-07,26,57,1,10,21
1026,212,8,2020-06-06 22:00:00,2020-06-06,51,56,1,9,11
975,201,7,2020-06-05 22:00:00,2020-06-05,18,55,0,8,1
957,200,7,2020-06-04 22:00:00,2020-06-04,49,54,1,7,5
908,195,6,2020-06-03 22:00:00,2020-06-03,82,53,0,6,21
826,174,6,2020-06-02 22:00:00,2020-06-02,0,52,0,5,0
826,174,6,2020-06-01 22:00:00,2020-06-01,68,51,0,4,9
758,165,6,2020-05-31 22:00:00,2020-05-31,0,50,0,3,0
758,165,6,2020-05-30 22:00:00,2020-05-30,60,49,1,2,1
698,164,5,2020-05-29 22:00:00,2020-05-29,42,48,3,1,10
656,154,2,2020-05-28 22:00:00,2020-05-28,44,47,0,0,3
612,151,2,2020-05-27 22:00:00,2020-05-27,70,46,0,0,4
542,147,2,2020-05-26 22:00:00,2020-05-26,0,45,0,0,0
542,147,2,2020-05-25 22:00:00,2020-05-25,54,44,0,0,9
488,138,2,2020-05-24 22:00:00,2020-05-24,0,43,0,0,0
488,138,2,2020-05-23 22:00:00,2020-05-23,40,42,0,0,3
448,135,2,2020-05-22 22:00:00,2020-05-22,43,41,0,0,4
405,131,2,2020-05-21 22:00:00,2020-05-21,34,40,0,0,0
371,131,2,2020-05-20 22:00:00,2020-05-20,45,39,0,0,12
326,119,2,2020-05-19 22:00:00,2020-05-19,22,38,1,0,5
304,114,1,2020-05-18 22:00:00,2020-05-18,21,37,1,0,0
283,114,0,2020-05-17 22:00:00,2020-05-17,45,36,0,0,2
238,112,0,2020-05-16 22:00:00,2020-05-16,8,35,0,0,4
230,108,0,2020-05-15 22:00:00,2020-05-15,18,34,0,0,1
212,107,0,2020-05-14 22:00:00,2020-05-14,26,33,0,0,6
186,101,0,2020-05-13 22:00:00,2020-05-13,0,32,0,0,0
186,101,0,2020-05-12 22:00:00,2020-05-12,-7,31,0,0,0
193,101,0,2020-05-11 22:00:00,2020-05-11,0,30,0,0,0
193,101,0,2020-05-10 22:00:00,2020-05-10,0,29,0,0,0
193,101,0,2020-05-09 22:00:00,2020-05-09,0,28,0,0,0
193,101,0,2020-05-08 22:00:00,2020-05-08,35,27,0,0,0
158,101,0,2020-05-07 22:00:00,2020-05-07,7,26,0,0,0
151,101,0,2020-05-06 22:00:00,2020-05-06,2,25,0,0,2
149,99,0,2020-05-05 22:00:00,2020-05-05,0,24,0,0,0
149,99,0,2020-05-04 22:00:00,2020-05-04,0,23,0,0,1
149,98,0,2020-05-03 22:00:00,2020-05-03,14,22,0,0,1
135,97,0,2020-05-02 22:00:00,2020-05-02,7,21,0,0,5
128,92,0,2020-05-01 22:00:00,2020-05-01,0,20,0,0,0
128,92,0,2020-04-30 22:00:00,2020-04-30,0,19,0,0,2
128,90,0,2020-04-29 22:00:00,2020-04-29,0,18,0,0,15
128,75,0,2020-04-28 22:00:00,2020-04-28,4,17,0,0,4
124,71,0,2020-04-27 22:00:00,2020-04-27,1,16,0,0,9
123,62,0,2020-04-26 22:00:00,2020-04-26,1,15,0,0,1
