Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2482,1797,98,2020-06-06 22:00:00,2020-06-06,36,75,3,69,58
2446,1739,95,2020-06-05 22:00:00,2020-06-05,28,74,0,68,40
2418,1699,95,2020-06-04 22:00:00,2020-06-04,41,73,1,67,53
2377,1646,94,2020-06-03 22:00:00,2020-06-03,28,72,5,66,60
2349,1586,89,2020-06-02 22:00:00,2020-06-02,24,71,0,65,34
2325,1552,89,2020-06-01 22:00:00,2020-06-01,43,70,0,64,47
2282,1505,89,2020-05-31 22:00:00,2020-05-31,56,69,4,63,46
2226,1459,85,2020-05-30 22:00:00,2020-05-30,37,68,1,62,57
2189,1402,84,2020-05-29 22:00:00,2020-05-29,52,67,3,61,45
2137,1357,81,2020-05-28 22:00:00,2020-05-28,28,66,2,60,39
2109,1318,79,2020-05-27 22:00:00,2020-05-27,35,65,1,59,28
2074,1290,78,2020-05-26 22:00:00,2020-05-26,19,64,0,58,27
2055,1263,78,2020-05-25 22:00:00,2020-05-25,42,63,1,57,31
2013,1232,77,2020-05-24 22:00:00,2020-05-24,65,62,2,56,40
1948,1192,75,2020-05-23 22:00:00,2020-05-23,71,61,2,55,47
1877,1145,73,2020-05-22 22:00:00,2020-05-22,58,60,0,54,35
1819,1110,73,2020-05-21 22:00:00,2020-05-21,78,59,0,53,22
1741,1088,73,2020-05-20 22:00:00,2020-05-20,28,58,2,52,35
1713,1053,71,2020-05-19 22:00:00,2020-05-19,26,57,1,51,25
1687,1028,70,2020-05-18 22:00:00,2020-05-18,39,56,0,50,16
1648,1012,70,2020-05-17 22:00:00,2020-05-17,45,55,1,49,19
1603,993,69,2020-05-16 22:00:00,2020-05-16,38,54,0,48,35
1565,958,69,2020-05-15 22:00:00,2020-05-15,50,53,3,47,15
1515,943,66,2020-05-14 22:00:00,2020-05-14,38,52,1,46,30
1477,913,65,2020-05-13 22:00:00,2020-05-13,15,51,0,45,41
1462,872,65,2020-05-12 22:00:00,2020-05-12,26,50,1,44,11
1436,861,64,2020-05-11 22:00:00,2020-05-11,28,49,0,43,4
1408,857,64,2020-05-10 22:00:00,2020-05-10,34,48,1,42,21
1374,836,63,2020-05-09 22:00:00,2020-05-09,44,47,1,41,49
1330,787,62,2020-05-08 22:00:00,2020-05-08,76,46,0,40,21
1254,766,62,2020-05-07 22:00:00,2020-05-07,28,45,1,39,25
1226,741,61,2020-05-06 22:00:00,2020-05-06,21,44,4,38,21
1205,720,57,2020-05-05 22:00:00,2020-05-05,20,43,0,37,14
1185,706,57,2020-05-04 22:00:00,2020-05-04,32,42,1,36,17
1153,689,56,2020-05-03 22:00:00,2020-05-03,30,41,1,35,32
1123,657,55,2020-05-02 22:00:00,2020-05-02,28,40,2,34,26
1095,631,53,2020-05-01 22:00:00,2020-05-01,39,39,1,33,16
1056,615,52,2020-04-30 22:00:00,2020-04-30,16,38,1,32,30
1040,585,51,2020-04-29 22:00:00,2020-04-29,17,37,0,31,36
1023,549,51,2020-04-28 22:00:00,2020-04-28,8,36,1,30,30
1015,519,50,2020-04-27 22:00:00,2020-04-27,25,35,0,29,0
990,519,50,2020-04-26 22:00:00,2020-04-26,25,34,3,28,20
965,499,47,2020-04-25 22:00:00,2020-04-25,28,33,3,27,14
937,485,44,2020-04-24 22:00:00,2020-04-24,30,32,5,26,30
907,455,39,2020-04-23 22:00:00,2020-04-23,19,31,3,25,12
888,443,36,2020-04-22 22:00:00,2020-04-22,13,30,1,24,8
875,435,35,2020-04-21 22:00:00,2020-04-21,8,29,1,23,42
867,393,34,2020-04-20 22:00:00,2020-04-20,20,28,2,22,11
847,382,32,2020-04-19 22:00:00,2020-04-19,20,27,3,21,30
827,352,29,2020-04-18 22:00:00,2020-04-18,31,26,2,20,19
796,333,27,2020-04-17 22:00:00,2020-04-17,26,25,3,19,28
770,305,24,2020-04-16 22:00:00,2020-04-16,36,24,3,18,13
734,292,21,2020-04-15 22:00:00,2020-04-15,36,23,2,17,19
698,273,19,2020-04-14 22:00:00,2020-04-14,65,22,0,16,7
633,266,19,2020-04-13 22:00:00,2020-04-13,17,21,0,15,10
616,256,19,2020-04-12 22:00:00,2020-04-12,30,20,2,14,10
586,246,17,2020-04-11 22:00:00,2020-04-11,26,19,1,13,44
560,202,16,2020-04-10 22:00:00,2020-04-10,23,18,2,12,15
537,187,14,2020-04-09 22:00:00,2020-04-09,18,17,2,11,11
519,176,12,2020-04-08 22:00:00,2020-04-08,20,16,2,10,18
499,158,10,2020-04-07 22:00:00,2020-04-07,29,15,0,9,18
470,140,10,2020-04-06 22:00:00,2020-04-06,14,14,0,8,0
456,140,10,2020-04-05 22:00:00,2020-04-05,24,13,1,7,27
432,113,9,2020-04-04 21:00:00,2020-04-04,56,12,2,6,19
376,94,7,2020-04-03 21:00:00,2020-04-03,32,11,0,5,26
344,68,7,2020-04-02 21:00:00,2020-04-02,41,10,2,4,68
303,0,5,2020-04-01 21:00:00,2020-04-01,28,9,2,3,0
275,0,3,2020-03-31 21:00:00,2020-03-31,22,8,0,2,0
253,0,3,2020-03-30 21:00:00,2020-03-30,42,7,2,1,0
211,0,1,2020-03-29 21:00:00,2020-03-29,43,6,0,0,0
168,0,1,2020-03-28 21:00:00,2020-03-28,13,5,1,0,0
155,0,0,2020-03-27 21:10:00,2020-03-27,13,4,0,0,0
142,0,0,2020-03-26 22:20:00,2020-03-26,24,3,0,0,0
118,0,0,2020-03-25 23:20:00,2020-03-25,11,2,0,0,0
107,0,0,2020-03-24 21:20:00,2020-03-24,18,1,0,0,0
89,0,0,2020-03-23 21:40:00,2020-03-23,19,0,0,0,0
70,0,0,2020-03-22 21:00:00,2020-03-22,14,0,0,0,0
56,0,0,2020-03-21 21:00:00,2020-03-21,4,0,0,0,0
52,0,0,2020-03-20 21:20:00,2020-03-20,10,0,0,0,0
42,0,0,2020-03-19 21:30:00,2020-03-19,10,0,0,0,0
32,0,0,2020-03-18 22:00:00,2020-03-18,15,0,0,0,0
17,0,0,2020-03-17 21:00:00,2020-03-17,5,0,0,0,0
12,0,0,2020-03-16 21:00:00,2020-03-16,6,0,0,0,0
6,0,0,2020-03-15 21:00:00,2020-03-15,3,0,0,0,0
3,0,0,2020-03-14 21:00:00,2020-03-14,2,0,0,0,0
1,0,0,2020-03-13 21:00:00,2020-03-13,1,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
