Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
325,314,7,2020-07-12 22:00:00,2020-07-12,0,103,0,96,0
325,314,7,2020-07-11 22:00:00,2020-07-11,0,102,0,95,0
325,314,7,2020-07-10 22:00:00,2020-07-10,0,101,0,94,2
325,312,7,2020-07-09 22:00:00,2020-07-09,0,100,0,93,5
325,307,7,2020-07-08 22:00:00,2020-07-08,0,99,0,92,3
325,304,7,2020-07-07 22:00:00,2020-07-07,0,98,0,91,2
325,302,7,2020-07-06 22:00:00,2020-07-06,0,97,0,90,0
325,302,7,2020-07-05 22:00:00,2020-07-05,0,96,0,89,0
325,302,7,2020-07-04 22:00:00,2020-07-04,0,95,0,88,0
325,302,7,2020-07-03 22:00:00,2020-07-03,0,94,0,87,2
325,300,7,2020-07-02 22:00:00,2020-07-02,0,93,0,86,0
325,300,7,2020-07-01 22:00:00,2020-07-01,1,92,0,85,0
324,300,7,2020-06-30 22:00:00,2020-06-30,2,91,0,84,0
322,300,7,2020-06-29 22:00:00,2020-06-29,0,90,0,83,0
322,300,7,2020-06-28 22:00:00,2020-06-28,4,89,0,82,0
318,300,7,2020-06-27 22:00:00,2020-06-27,2,88,0,81,6
316,294,7,2020-06-26 22:00:00,2020-06-26,1,87,0,80,1
315,293,7,2020-06-25 22:00:00,2020-06-25,1,86,0,79,0
314,293,7,2020-06-24 22:00:00,2020-06-24,0,85,0,78,0
314,293,7,2020-06-23 22:00:00,2020-06-23,1,84,0,77,0
313,293,7,2020-06-22 22:00:00,2020-06-22,0,83,0,76,0
313,293,7,2020-06-21 22:00:00,2020-06-21,2,82,0,75,0
311,293,7,2020-06-20 22:00:00,2020-06-20,3,81,0,74,0
308,293,7,2020-06-19 22:00:00,2020-06-19,2,80,0,73,0
306,293,7,2020-06-18 22:00:00,2020-06-18,2,79,0,72,1
304,292,7,2020-06-17 22:00:00,2020-06-17,0,78,0,71,0
304,292,7,2020-06-16 22:00:00,2020-06-16,0,77,0,70,3
304,289,7,2020-06-15 22:00:00,2020-06-15,1,76,0,69,0
303,289,7,2020-06-14 22:00:00,2020-06-14,2,75,0,68,0
301,289,7,2020-06-13 22:00:00,2020-06-13,1,74,0,67,3
300,286,7,2020-06-12 22:00:00,2020-06-12,0,73,0,66,1
300,285,7,2020-06-11 22:00:00,2020-06-11,0,72,0,65,0
300,285,7,2020-06-10 22:00:00,2020-06-10,0,71,0,64,1
300,284,7,2020-06-09 22:00:00,2020-06-09,0,70,0,63,0
300,284,7,2020-06-08 22:00:00,2020-06-08,0,69,0,62,0
300,284,7,2020-06-07 22:00:00,2020-06-07,0,68,0,61,0
300,284,7,2020-06-06 22:00:00,2020-06-06,2,67,0,60,0
298,284,7,2020-06-05 22:00:00,2020-06-05,0,66,0,59,2
298,282,7,2020-06-04 22:00:00,2020-06-04,1,65,0,58,4
297,278,7,2020-06-03 22:00:00,2020-06-03,2,64,0,57,0
295,278,7,2020-06-02 22:00:00,2020-06-02,0,63,0,56,0
295,278,7,2020-06-01 22:00:00,2020-06-01,1,62,0,55,0
294,278,7,2020-05-31 22:00:00,2020-05-31,0,61,0,54,5
294,273,7,2020-05-30 22:00:00,2020-05-30,0,60,0,53,0
294,273,7,2020-05-29 22:00:00,2020-05-29,2,59,0,52,2
292,271,7,2020-05-28 22:00:00,2020-05-28,0,58,0,51,2
292,269,7,2020-05-27 22:00:00,2020-05-27,0,57,0,50,1
292,268,7,2020-05-26 22:00:00,2020-05-26,0,56,0,49,0
292,268,7,2020-05-25 22:00:00,2020-05-25,0,55,0,48,0
292,268,7,2020-05-24 22:00:00,2020-05-24,0,54,0,47,1
292,267,7,2020-05-23 22:00:00,2020-05-23,2,53,0,46,2
290,265,7,2020-05-22 22:00:00,2020-05-22,0,52,0,45,5
290,260,7,2020-05-21 22:00:00,2020-05-21,0,51,0,44,3
290,257,7,2020-05-20 22:00:00,2020-05-20,0,50,0,43,0
