Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
108070,91404,8013,2020-06-27 22:00:00,2020-06-27,233,107,75,97,2679
107837,88725,7938,2020-06-26 22:00:00,2020-06-26,226,106,0,96,0
107611,88725,7938,2020-06-25 22:00:00,2020-06-25,172,105,64,95,0
107439,88725,7874,2020-06-24 22:00:00,2020-06-24,229,104,0,94,0
107210,88725,7874,2020-06-23 22:00:00,2020-06-23,149,103,16,93,0
107061,88725,7858,2020-06-22 22:00:00,2020-06-22,125,102,30,92,0
106936,88725,7828,2020-06-21 22:00:00,2020-06-21,286,101,28,91,0
106650,88725,7800,2020-06-20 22:00:00,2020-06-20,228,100,30,90,0
106422,88725,7770,2020-06-19 22:00:00,2020-06-19,271,99,36,89,4104
106151,84621,7734,2020-06-18 22:00:00,2020-06-18,266,98,69,88,0
105885,84621,7665,2020-06-17 22:00:00,2020-06-17,195,97,18,87,0
105690,84621,7647,2020-06-16 22:00:00,2020-06-16,87,96,23,86,0
105603,84621,7624,2020-06-15 22:00:00,2020-06-15,208,95,48,85,0
105395,84621,7576,2020-06-14 22:00:00,2020-06-14,336,94,38,84,0
105059,84621,7538,2020-06-13 22:00:00,2020-06-13,392,93,46,83,0
104667,84621,7492,2020-06-12 22:00:00,2020-06-12,511,92,38,82,6513
104156,78108,7454,2020-06-11 22:00:00,2020-06-11,265,91,46,81,0
103891,78108,7408,2020-06-10 22:00:00,2020-06-10,265,90,55,80,47671
103626,30437,7353,2020-06-09 22:00:00,2020-06-09,190,89,37,79,0
103436,30437,7316,2020-06-08 22:00:00,2020-06-08,304,88,27,78,0
103132,30437,7289,2020-06-07 22:00:00,2020-06-07,575,87,54,77,60
102557,30377,7235,2020-06-06 22:00:00,2020-06-06,494,86,34,76,3078
102063,27299,7201,2020-06-05 22:00:00,2020-06-05,471,85,49,75,0
101592,27299,7152,2020-06-04 22:00:00,2020-06-04,429,84,67,74,0
101163,27299,7085,2020-06-03 22:00:00,2020-06-03,358,83,50,73,0
100805,27299,7035,2020-06-02 22:00:00,2020-06-02,3840,82,189,72,2506
96965,24793,6846,2020-06-01 22:00:00,2020-06-01,664,81,78,71,0
96301,24793,6768,2020-05-31 22:00:00,2020-05-31,789,80,50,70,0
95512,24793,6718,2020-05-30 22:00:00,2020-05-30,617,79,78,69,703
94895,24090,6640,2020-05-29 22:00:00,2020-05-29,675,78,93,68,0
94220,24090,6547,2020-05-28 22:00:00,2020-05-28,527,77,74,67,0
93693,24090,6473,2020-05-27 22:00:00,2020-05-27,422,76,57,66,1176
93271,22914,6416,2020-05-26 22:00:00,2020-05-26,596,75,44,65,0
92675,22914,6372,2020-05-25 22:00:00,2020-05-25,1013,74,68,64,3202
91662,19712,6304,2020-05-24 22:00:00,2020-05-24,773,73,76,63,0
90889,19712,6228,2020-05-23 22:00:00,2020-05-23,805,72,80,62,3204
90084,16508,6148,2020-05-22 22:00:00,2020-05-22,1114,71,82,61,0
88970,16508,6066,2020-05-21 22:00:00,2020-05-21,1045,70,128,60,78
87925,16430,5938,2020-05-20 22:00:00,2020-05-20,873,69,76,59,1387
87052,15043,5862,2020-05-19 22:00:00,2020-05-19,1042,68,65,58,0
86010,15043,5797,2020-05-18 22:00:00,2020-05-18,1077,67,92,57,922
84933,14121,5705,2020-05-17 22:00:00,2020-05-17,1512,66,113,56,767
83421,13354,5592,2020-05-16 22:00:00,2020-05-16,1239,65,110,55,512
82182,12842,5482,2020-05-15 22:00:00,2020-05-15,1685,64,167,54,273
80497,12569,5315,2020-05-14 22:00:00,2020-05-14,1165,63,174,53,1281
79332,11288,5141,2020-05-13 22:00:00,2020-05-13,870,62,33,52,679
78462,10609,5108,2020-05-12 22:00:00,2020-05-12,669,61,129,51,2661
77793,7948,4979,2020-05-11 22:00:00,2020-05-11,1050,60,139,50,219
76743,7729,4840,2020-05-10 22:00:00,2020-05-10,1410,59,138,49,28
