Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
2,0,2020-03-16,2,0,0,0,0,0
4,0,2020-03-17,2,0,0,0,0,0
7,0,2020-03-18,3,0,0,0,0,0
7,0,2020-03-19,0,0,0,0,0,0
9,0,2020-03-20,2,0,0,0,0,0
16,0,2020-03-21,7,0,0,0,0,0
21,0,2020-03-22,5,0,0,0,0,0
21,0,2020-03-23,0,0,0,0,0,0
23,0,2020-03-24,2,0,0,0,0,0
24,0,2020-03-25,1,0,0,0,0,0
25,0,2020-03-26,1,0,0,0,0,0
28,0,2020-03-27,3,0,0,0,0,0
31,0,2020-03-28,3,0,0,0,0,0
36,0,2020-03-29,5,0,0,0,0,0
44,0,2020-03-30,8,0,0,0,0,0
48,1,2020-03-31,4,0,1,0,0,0
51,1,2020-04-01,3,0,0,0,0,0
53,1,2020-04-02,2,0,0,0,0,0
60,1,2020-04-03,7,0,0,0,0,0
62,1,2020-04-04,2,0,0,0,0,0
65,1,2020-04-05,3,0,0,0,0,0
66,1,2020-04-06,1,0,0,0,0,0
80,2,2020-04-07,14,0,1,0,0,0
85,2,2020-04-08,5,0,0,0,0,0
89,2,2020-04-09,4,0,0,0,0,0
97,2,2020-04-10,8,0,0,0,0,0
100,2,2020-04-11,3,1,0,0,0,0
101,2,2020-04-12,1,2,0,0,0,0
113,4,2020-04-13,12,3,2,1,0,0
115,4,2020-04-14,2,4,0,2,0,0
121,4,2020-04-15,6,5,0,3,0,0
131,5,2020-04-16,10,6,1,4,0,0
143,5,2020-04-17,12,7,0,5,0,0
161,5,2020-04-18,18,8,0,6,0,0
168,5,2020-04-19,7,9,0,7,0,0
171,5,2020-04-20,3,10,0,8,0,0
173,6,2020-04-21,2,11,1,9,0,0
175,6,2020-04-22,2,12,0,10,0,0
186,7,2020-04-23,11,13,1,11,0,0
213,7,2020-04-24,27,14,0,12,0,0
217,7,2020-04-25,4,15,0,13,0,0
234,7,2020-04-26,17,16,0,14,0,0
238,9,2020-04-27,4,17,2,15,0,0
240,9,2020-04-28,2,18,0,16,0,0
249,9,2020-04-29,9,19,0,17,0,0
255,9,2020-04-30,6,20,0,18,0,0
255,9,2020-05-01,0,21,0,19,0,0
