Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
988,492,11,2020-05-10 22:00:00,2020-05-10,134,39,1,29,140
854,352,10,2020-05-09 22:00:00,2020-05-09,0,38,0,28,0
854,352,10,2020-05-08 22:00:00,2020-05-08,115,37,1,27,0
739,352,9,2020-05-07 22:00:00,2020-05-07,0,36,0,26,0
739,352,9,2020-05-06 22:00:00,2020-05-06,53,35,3,25,0
686,352,6,2020-05-05 22:00:00,2020-05-05,36,34,0,24,117
650,235,6,2020-05-04 22:00:00,2020-05-04,111,33,2,23,0
539,235,4,2020-05-03 22:00:00,2020-05-03,0,32,0,22,0
539,235,4,2020-05-02 22:00:00,2020-05-02,0,31,0,21,0
539,235,4,2020-05-01 22:00:00,2020-05-01,0,30,0,20,0
539,235,4,2020-04-30 22:00:00,2020-04-30,79,29,0,19,0
460,235,4,2020-04-29 22:00:00,2020-04-29,59,28,0,18,91
401,144,4,2020-04-28 22:00:00,2020-04-28,0,27,0,17,0
401,144,4,2020-04-27 22:00:00,2020-04-27,0,26,0,16,0
401,144,4,2020-04-26 22:00:00,2020-04-26,47,25,0,15,0
354,144,4,2020-04-25 22:00:00,2020-04-25,0,24,0,14,0
354,144,4,2020-04-24 22:00:00,2020-04-24,28,23,0,13,19
326,125,4,2020-04-23 22:00:00,2020-04-23,15,22,0,12,8
311,117,4,2020-04-22 22:00:00,2020-04-22,27,21,0,11,0
284,117,4,2020-04-21 22:00:00,2020-04-21,13,20,0,10,0
271,117,4,2020-04-20 22:00:00,2020-04-20,17,19,0,9,0
254,117,4,2020-04-19 22:00:00,2020-04-19,9,18,0,8,0
245,117,4,2020-04-18 22:00:00,2020-04-18,0,17,0,7,0
245,117,4,2020-04-17 22:00:00,2020-04-17,28,16,1,6,48
217,69,3,2020-04-16 22:00:00,2020-04-16,0,15,0,5,0
217,69,3,2020-04-15 22:00:00,2020-04-15,10,14,0,4,10
207,59,3,2020-04-14 22:00:00,2020-04-14,11,13,0,3,0
196,59,3,2020-04-13 22:00:00,2020-04-13,0,12,0,2,0
196,59,3,2020-04-12 22:00:00,2020-04-12,5,11,1,1,9
191,50,2,2020-04-11 22:00:00,2020-04-11,5,10,0,0,24
186,26,2,2020-04-10 22:00:00,2020-04-10,2,9,0,0,4
184,22,2,2020-04-09 22:00:00,2020-04-09,13,8,0,0,0
171,22,2,2020-04-08 22:00:00,2020-04-08,7,7,0,0,7
164,15,2,2020-04-07 22:00:00,2020-04-07,17,6,0,0,1
147,14,2,2020-04-06 22:00:00,2020-04-06,13,5,0,0,0
134,14,2,2020-04-05 22:00:00,2020-04-05,6,4,0,0,4
128,10,2,2020-04-04 21:00:00,2020-04-04,12,3,1,0,0
116,10,1,2020-04-03 21:00:00,2020-04-03,0,2,0,0,0
116,10,1,2020-04-02 21:00:00,2020-04-02,22,1,0,0,0
94,10,1,2020-04-01 21:00:00,2020-04-01,12,0,1,0,0
82,10,0,2020-03-31 21:00:00,2020-03-31,0,0,0,0,0
82,10,0,2020-03-30 21:00:00,2020-03-30,19,0,0,0,10
63,0,0,2020-03-29 21:00:00,2020-03-29,13,0,0,0,0
50,0,0,2020-03-28 21:00:00,2020-03-28,0,0,0,0,0
50,0,0,2020-03-27 21:10:00,2020-03-27,14,0,0,0,0
36,0,0,2020-03-26 22:20:00,2020-03-26,0,0,0,0,0
36,0,0,2020-03-25 23:20:00,2020-03-25,0,0,0,0,0
36,0,0,2020-03-24 21:20:00,2020-03-24,15,0,0,0,0
21,0,0,2020-03-23 21:40:00,2020-03-23,10,0,0,0,0
11,0,0,2020-03-22 21:00:00,2020-03-22,4,0,0,0,0
7,0,0,2020-03-21 21:00:00,2020-03-21,3,0,0,0,0
4,0,0,2020-03-20 21:20:00,2020-03-20,1,0,0,0,0
3,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
3,0,0,2020-03-18 22:00:00,2020-03-18,2,0,0,0,0
1,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
1,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
1,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
