Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
3,0,2020-03-04,3,0,0,0,0,0
4,0,2020-03-05,1,0,0,0,0,0
5,0,2020-03-06,1,0,0,0,0,0
5,0,2020-03-07,0,0,0,0,0,0
7,0,2020-03-08,2,0,0,0,0,0
8,0,2020-03-09,1,0,0,0,0,0
13,0,2020-03-10,5,0,0,0,0,0
17,0,2020-03-11,4,0,0,0,0,0
23,0,2020-03-12,6,0,0,0,0,0
33,0,2020-03-13,10,0,0,0,0,0
45,0,2020-03-14,12,0,0,0,0,0
50,0,2020-03-15,5,0,0,0,0,0
51,0,2020-03-16,1,0,0,0,0,0
45,0,2020-03-17,-6,0,0,0,0,0
56,0,2020-03-18,11,0,0,0,0,0
98,0,2020-03-19,42,0,0,0,0,0
131,0,2020-03-20,33,1,0,0,0,0
165,0,2020-03-21,34,2,0,0,0,0
172,0,2020-03-22,7,3,0,0,0,0
172,0,2020-03-23,0,4,0,0,0,0
199,0,2020-03-24,27,5,0,0,0,0
218,0,2020-03-25,19,6,0,0,0,0
244,0,2020-03-26,26,7,0,0,0,0
259,0,2020-03-27,15,8,0,0,0,0
308,0,2020-03-28,49,9,0,0,0,0
348,1,2020-03-29,40,10,1,0,0,0
356,1,2020-03-30,8,11,0,0,0,0
366,1,2020-03-31,10,12,0,0,0,0
406,3,2020-04-01,40,13,2,1,0,0
438,3,2020-04-02,32,14,0,2,0,0
468,4,2020-04-03,30,15,1,3,0,0
501,5,2020-04-04,33,16,1,4,0,0
523,5,2020-04-05,22,17,0,5,0,0
528,6,2020-04-06,5,18,1,6,0,0
531,8,2020-04-07,3,19,2,7,0,0
555,11,2020-04-08,24,20,3,8,0,0
572,11,2020-04-09,17,21,0,9,0,0
586,11,2020-04-10,14,22,0,10,0,0
601,11,2020-04-11,15,23,0,11,0,0
605,11,2020-04-12,4,24,0,12,0,0
618,11,2020-04-13,13,25,0,13,0,0
619,11,2020-04-14,1,26,0,14,0,0
624,11,2020-04-15,5,27,0,15,0,0
634,13,2020-04-16,10,28,2,16,0,0
634,13,2020-04-17,0,29,0,17,0,0
645,14,2020-04-18,11,30,1,18,0,0
651,15,2020-04-19,6,31,1,19,0,0
653,15,2020-04-20,2,32,0,20,0,0
655,15,2020-04-21,2,33,0,21,0,0
656,15,2020-04-22,1,34,0,22,0,0
659,15,2020-04-23,3,35,0,23,0,0
661,16,2020-04-24,2,36,1,24,0,0
667,16,2020-04-25,6,37,0,25,0,0
673,16,2020-04-26,6,38,0,26,0,0
674,16,2020-04-27,1,39,0,27,0,0
675,17,2020-04-28,1,40,1,28,0,0
687,17,2020-04-29,12,41,0,29,0,0
690,17,2020-04-30,3,42,0,30,0,0
693,18,2020-05-01,3,43,1,31,0,0
695,18,2020-05-02,2,44,0,32,0,0
698,18,2020-05-03,3,45,0,33,0,0
699,18,2020-05-04,1,46,0,34,0,0
703,19,2020-05-05,4,47,1,35,0,0
711,19,2020-05-06,8,48,0,36,0,0
715,19,2020-05-07,4,49,0,37,0,0
718,19,2020-05-08,3,50,0,38,0,0
722,19,2020-05-09,4,51,0,39,0,0
726,19,2020-05-10,4,52,0,40,0,0
728,19,2020-05-11,2,53,0,41,0,0
729,20,2020-05-12,1,54,1,42,0,0
736,20,2020-05-13,7,55,0,43,0,0
739,20,2020-05-14,3,56,0,44,0,0
740,20,2020-05-15,1,57,0,45,0,0
746,20,2020-05-16,6,58,0,46,0,0
748,20,2020-05-17,2,59,0,47,0,0
752,20,2020-05-18,4,60,0,48,0,0
752,20,2020-05-19,0,61,0,49,0,0
755,20,2020-05-20,3,62,0,50,0,0
762,20,2020-05-21,7,63,0,51,0,0
763,20,2020-05-22,1,64,0,52,0,0
763,20,2020-05-23,0,65,0,53,0,0
760,20,2020-05-24,-3,66,0,54,0,0
760,20,2020-05-25,0,67,0,55,0,0
760,20,2020-05-26,0,68,0,56,0,0
760,20,2020-05-27,0,69,0,57,0,0
760,20,2020-05-28,0,70,0,58,0,0
759,20,2020-05-29,-1,71,0,59,0,0
760,20,2020-05-30,1,72,0,60,0,0
761,20,2020-05-31,1,73,0,61,0,0
761,20,2020-06-01,0,74,0,62,0,0
761,20,2020-06-02,0,75,0,63,0,0
761,20,2020-06-03,0,76,0,64,0,0
763,20,2020-06-04,2,77,0,65,0,0
764,20,2020-06-05,1,78,0,66,0,0
766,20,2020-06-06,2,79,0,67,0,0
773,20,2020-06-07,7,80,0,68,0,0
774,20,2020-06-08,1,81,0,69,0,0
780,20,2020-06-09,6,82,0,70,0,0
777,20,2020-06-10,-3,83,0,71,0,0
778,20,2020-06-11,1,84,0,72,0,0
780,20,2020-06-12,2,85,0,73,0,0
781,20,2020-06-13,1,86,0,74,0,0
782,20,2020-06-14,1,87,0,75,0,0
782,20,2020-06-15,0,88,0,76,0,0
784,20,2020-06-16,2,89,0,77,0,0
786,20,2020-06-17,2,90,0,78,0,0
787,20,2020-06-18,1,91,0,79,0,0
791,20,2020-06-19,4,92,0,80,0,0
791,20,2020-06-20,0,93,0,81,0,0
792,20,2020-06-21,1,94,0,82,0,0
792,20,2020-06-22,0,95,0,83,0,0
792,20,2020-06-23,0,96,0,84,0,0
794,20,2020-06-24,2,97,0,85,0,0
796,20,2020-06-25,2,98,0,86,0,0
797,20,2020-06-26,1,99,0,87,0,0
798,20,2020-06-27,1,100,0,88,0,0
801,20,2020-06-28,3,101,0,89,0,0
801,20,2020-06-29,0,102,0,90,0,0
802,20,2020-06-30,1,103,0,91,0,0
803,20,2020-07-01,1,104,0,92,0,0
803,20,2020-07-02,0,105,0,93,0,0
803,20,2020-07-03,0,106,0,94,0,0
804,20,2020-07-04,1,107,0,95,0,0
804,20,2020-07-05,0,108,0,96,0,0
804,20,2020-07-06,0,109,0,97,0,0
805,20,2020-07-07,1,110,0,98,0,0
805,20,2020-07-08,0,111,0,99,0,0
805,20,2020-07-09,0,112,0,100,0,0
803,20,2020-07-10,-2,113,0,101,0,0
804,20,2020-07-11,1,114,0,102,0,0
804,20,2020-07-12,0,115,0,103,0,0
804,20,2020-07-13,0,116,0,104,0,0
804,20,2020-07-14,0,117,0,105,0,0
804,20,2020-07-15,0,118,0,106,0,0
805,20,2020-07-16,1,119,0,107,0,0
