Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
231770,138319,28510,2020-07-02 22:00:00,2020-07-02,5681,106,741,101,3362
226089,134957,27769,2020-07-01 22:00:00,2020-07-01,5432,105,648,100,3693
220657,131264,27121,2020-06-30 22:00:00,2020-06-30,3805,104,473,99,4421
216852,126843,26648,2020-06-29 22:00:00,2020-06-29,4050,103,267,98,3046
212802,123797,26381,2020-06-28 22:00:00,2020-06-28,4410,102,602,97,3235
208392,120562,25779,2020-06-27 22:00:00,2020-06-27,5441,101,719,96,3700
202951,116862,25060,2020-06-26 22:00:00,2020-06-26,6104,100,736,95,-32456
196847,149318,24324,2020-06-25 22:00:00,2020-06-25,5437,99,947,94,4870
191410,144448,23377,2020-06-24 22:00:00,2020-06-24,6288,98,793,93,4330
185122,140118,22584,2020-06-23 22:00:00,2020-06-23,4577,97,759,92,4839
180545,135279,21825,2020-06-22 22:00:00,2020-06-22,5343,96,1044,91,3593
175202,131686,20781,2020-06-21 22:00:00,2020-06-21,4717,95,387,90,4354
170485,127332,20394,2020-06-20 22:00:00,2020-06-20,5030,94,647,89,4237
165455,123095,19747,2020-06-19 22:00:00,2020-06-19,5662,93,667,88,3740
159793,119355,19080,2020-06-18 22:00:00,2020-06-18,4930,92,770,87,3177
154863,116178,18310,2020-06-17 22:00:00,2020-06-17,4599,91,730,86,3172
150264,113006,17580,2020-06-16 22:00:00,2020-06-16,3427,90,439,85,4896
146837,108110,17141,2020-06-15 22:00:00,2020-06-15,4147,89,269,84,3135
142690,104975,16872,2020-06-14 22:00:00,2020-06-14,3494,88,424,83,3208
139196,101767,16448,2020-06-13 22:00:00,2020-06-13,5222,87,504,82,3703
133974,98064,15944,2020-06-12 22:00:00,2020-06-12,4790,86,587,81,4134
129184,93930,15357,2020-06-11 22:00:00,2020-06-11,4883,85,708,80,3182
124301,90748,14649,2020-06-10 22:00:00,2020-06-10,4199,84,596,79,3115
120102,87633,14053,2020-06-09 22:00:00,2020-06-09,2999,83,354,78,3214
117103,84419,13699,2020-06-08 22:00:00,2020-06-08,3484,82,188,77,2875
113619,81544,13511,2020-06-07 22:00:00,2020-06-07,3593,81,341,76,2954
110026,78590,13170,2020-06-06 22:00:00,2020-06-06,4346,80,625,75,3142
105680,75448,12545,2020-06-05 22:00:00,2020-06-05,4442,79,816,74,2177
101238,73271,11729,2020-06-04 22:00:00,2020-06-04,3912,78,1092,73,2963
97326,70308,10637,2020-06-03 22:00:00,2020-06-03,3891,77,470,72,2817
93435,67491,10167,2020-06-02 22:00:00,2020-06-02,2771,76,237,71,3165
90664,64326,9930,2020-06-01 22:00:00,2020-06-01,3152,75,151,70,2455
87512,61871,9779,2020-05-31 22:00:00,2020-05-31,2885,74,364,69,2261
84627,59610,9415,2020-05-30 22:00:00,2020-05-30,3227,73,371,68,2972
81400,56638,9044,2020-05-29 22:00:00,2020-05-29,3377,72,447,67,2255
78023,54383,8597,2020-05-28 22:00:00,2020-05-28,3463,71,463,66,2164
74560,52219,8134,2020-05-27 22:00:00,2020-05-27,3455,70,501,65,2329
71105,49890,7633,2020-05-26 22:00:00,2020-05-26,2485,69,239,64,2466
68620,47424,7394,2020-05-25 22:00:00,2020-05-25,2764,68,215,63,2505
65856,44919,7179,2020-05-24 22:00:00,2020-05-24,3329,67,190,62,2194
62527,42725,6989,2020-05-23 22:00:00,2020-05-23,2960,66,479,61,2068
59567,40657,6510,2020-05-22 22:00:00,2020-05-22,2973,65,420,60,1781
56594,38876,6090,2020-05-21 22:00:00,2020-05-21,2248,64,424,59,1551
54346,37325,5666,2020-05-20 22:00:00,2020-05-20,2713,63,334,58,1937
51633,35388,5332,2020-05-19 22:00:00,2020-05-19,2414,62,155,57,2059
49219,33329,5177,2020-05-18 22:00:00,2020-05-18,2075,61,132,56,1481
47144,31848,5045,2020-05-17 22:00:00,2020-05-17,2112,60,278,55,1397
45032,30451,4767,2020-05-16 22:00:00,2020-05-16,2437,59,290,54,1976
42595,28475,4477,2020-05-15 22:00:00,2020-05-15,2409,58,257,53,1485
40186,26990,4220,2020-05-14 22:00:00,2020-05-14,1862,57,294,52,1055
38324,25935,3926,2020-05-13 22:00:00,2020-05-13,1997,56,353,51,2835
36327,23100,3573,2020-05-12 22:00:00,2020-05-12,1305,55,108,50,0
35022,23100,3465,2020-05-11 22:00:00,2020-05-11,1562,54,112,49,1276
33460,21824,3353,2020-05-10 22:00:00,2020-05-10,1938,53,193,48,1510
31522,20314,3160,2020-05-09 22:00:00,2020-05-09,1906,52,199,47,2533
29616,17781,2961,2020-05-08 22:00:00,2020-05-08,1982,51,257,46,0
27634,17781,2704,2020-05-07 22:00:00,2020-05-07,1609,50,197,45,971
26025,16810,2507,2020-05-06 22:00:00,2020-05-06,1120,49,236,44,872
24905,15938,2271,2020-05-05 22:00:00,2020-05-05,1434,48,117,43,2491
23471,13447,2154,2020-05-04 22:00:00,2020-05-04,1383,47,93,42,0
22088,13447,2061,2020-05-03 22:00:00,2020-05-03,1349,46,89,41,1070
