Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
1,0,2020-03-08,1,0,0,0,0,0
1,0,2020-03-09,0,0,0,0,0,0
1,0,2020-03-10,0,0,0,0,0,0
1,0,2020-03-11,0,0,0,0,0,0
1,0,2020-03-12,0,0,0,0,0,0
2,0,2020-03-13,1,0,0,0,0,0
2,0,2020-03-14,0,0,0,0,0,0
2,0,2020-03-15,0,0,0,0,0,0
5,0,2020-03-16,3,0,0,0,0,0
7,0,2020-03-17,2,0,0,0,0,0
15,0,2020-03-18,8,0,0,0,0,0
29,0,2020-03-19,14,0,0,0,0,0
35,0,2020-03-20,6,0,0,0,0,0
38,0,2020-03-21,3,0,0,0,0,0
83,0,2020-03-22,45,0,0,0,0,0
128,0,2020-03-23,45,1,0,0,0,0
130,0,2020-03-24,2,2,0,0,0,0
133,0,2020-03-25,3,3,0,0,0,0
153,0,2020-03-26,20,4,0,0,0,0
189,0,2020-03-27,36,5,0,0,0,0
205,0,2020-03-28,16,6,0,0,0,0
231,0,2020-03-29,26,7,0,0,0,0
261,1,2020-03-30,30,8,1,0,0,0
275,2,2020-03-31,14,9,1,0,0,0
314,3,2020-04-01,39,10,1,1,0,0
370,4,2020-04-02,56,11,1,2,0,0
397,6,2020-04-03,27,12,2,3,0,0
430,6,2020-04-04,33,13,0,4,0,0
498,6,2020-04-05,68,14,0,5,0,0
525,9,2020-04-06,27,15,3,6,0,0
559,11,2020-04-07,34,16,2,7,0,0
614,14,2020-04-08,55,17,3,8,0,0
655,15,2020-04-09,41,18,1,9,0,0
698,17,2020-04-10,43,19,2,10,0,0
750,17,2020-04-11,52,20,0,11,0,0
806,20,2020-04-12,56,21,3,12,0,0
815,23,2020-04-13,9,22,3,13,0,0
884,27,2020-04-14,69,23,4,14,0,0
903,30,2020-04-15,19,24,3,15,0,0
958,33,2020-04-16,55,25,3,16,0,0
1021,35,2020-04-17,63,26,2,17,0,0
1077,39,2020-04-18,56,27,4,18,0,0
1154,39,2020-04-19,77,28,0,19,0,0
1189,41,2020-04-20,35,29,2,20,0,0
1230,44,2020-04-21,41,30,3,21,0,0
1283,47,2020-04-22,53,31,3,22,0,0
1308,51,2020-04-23,25,32,4,23,0,0
1419,54,2020-04-24,111,33,3,24,0,0
1481,58,2020-04-25,62,34,4,25,0,0
1548,61,2020-04-26,67,35,3,26,0,0
1586,62,2020-04-27,38,36,1,27,0,0
1649,71,2020-04-28,63,37,9,28,0,0
1758,80,2020-04-29,109,38,9,29,0,0
1827,82,2020-04-30,69,39,2,30,0,0
1935,88,2020-05-01,108,40,6,31,0,0
2023,88,2020-05-02,88,41,0,32,0,0
2118,89,2020-05-03,95,42,1,33,0,0
2347,90,2020-05-04,229,43,1,34,0,0
2452,94,2020-05-05,105,44,4,35,0,0
2605,97,2020-05-06,153,45,3,36,0,0
2770,106,2020-05-07,165,46,9,37,0,0
2943,111,2020-05-08,173,47,5,38,0,0
3123,118,2020-05-09,180,48,7,39,0,0
3237,119,2020-05-10,114,49,1,40,0,0
3320,121,2020-05-11,83,50,2,41,0,0
3435,127,2020-05-12,115,51,6,42,0,0
3733,135,2020-05-13,298,52,8,43,0,0
3950,139,2020-05-14,217,53,4,44,0,0
4196,146,2020-05-15,246,54,7,45,0,0
4474,150,2020-05-16,278,55,4,46,0,0
4611,156,2020-05-17,137,56,6,47,0,0
4695,161,2020-05-18,84,57,5,48,0,0
4977,167,2020-05-19,282,58,6,49,0,0
5286,177,2020-05-20,309,59,10,50,0,0
5596,191,2020-05-21,310,60,14,51,0,0
5995,201,2020-05-22,399,61,10,52,0,0
6338,217,2020-05-23,343,62,16,53,0,0
6668,226,2020-05-24,330,63,9,54,0,0
6962,230,2020-05-25,294,64,4,55,0,0
7516,234,2020-05-26,554,65,4,56,0,0
8011,240,2020-05-27,495,66,6,57,0,0
8686,255,2020-05-28,675,67,15,58,0,0
9232,257,2020-05-29,546,68,2,59,0,0
9630,263,2020-05-30,398,69,6,60,0,0
10464,271,2020-05-31,834,70,8,61,0,0
10670,278,2020-06-01,206,71,7,62,0,0
10939,289,2020-06-02,269,72,11,63,0,0
12010,306,2020-06-03,1071,73,17,64,0,0
13034,323,2020-06-04,1024,74,17,65,0,0
13995,344,2020-06-05,961,75,21,66,0,0
14939,368,2020-06-06,944,76,24,67,0,0
15712,376,2020-06-07,773,77,8,68,0,0
15883,380,2020-06-08,171,78,4,69,0,0
16102,399,2020-06-09,219,79,19,70,0,0
17501,409,2020-06-10,1399,80,10,71,0,0
18448,431,2020-06-11,947,81,22,72,0,0
20106,446,2020-06-12,1658,82,15,73,0,0
20614,454,2020-06-13,508,83,8,74,0,0
21381,475,2020-06-14,767,84,21,75,0,0
21728,481,2020-06-15,347,85,6,76,0,0
22024,502,2020-06-16,296,86,21,77,0,0
23347,537,2020-06-17,1323,87,35,78,0,0
24906,570,2020-06-18,1559,88,33,79,0,0
26052,600,2020-06-19,1146,89,30,80,0,0
27305,636,2020-06-20,1253,90,36,81,0,0
27641,661,2020-06-21,336,91,25,82,0,0
28918,688,2020-06-22,1277,92,27,83,0,0
29897,720,2020-06-23,979,93,32,84,0,0
31343,771,2020-06-24,1446,94,51,85,0,0
32769,806,2020-06-25,1426,95,35,86,0,0
38891,833,2020-06-26,6122,96,27,87,0,0
40966,882,2020-06-27,2075,97,49,88,0,0
42741,899,2020-06-28,1775,98,17,89,0,0
43864,940,2020-06-29,1123,99,41,90,0,0
45001,965,2020-06-30,1137,100,25,91,0,0
47584,1007,2020-07-01,2583,101,42,92,0,0
50707,1059,2020-07-02,3123,102,52,93,0,0
53351,1110,2020-07-03,2644,103,51,94,0,0
55958,1183,2020-07-04,2607,104,73,95,0,0
58283,1201,2020-07-05,2325,105,18,96,0,0
59626,1230,2020-07-06,1343,106,29,97,0,0
60897,1282,2020-07-07,1271,107,52,98,0,0
64035,1355,2020-07-08,3138,108,73,99,0,0
66864,1445,2020-07-09,2829,109,90,100,0,0
70086,1504,2020-07-10,3222,110,59,101,0,0
73813,1550,2020-07-11,3727,111,46,102,0,0
75851,1576,2020-07-12,2038,112,26,103,0,0
76822,1615,2020-07-13,971,113,39,104,0,0
78643,1688,2020-07-14,1821,114,73,105,0,0
82010,1752,2020-07-15,3367,115,64,106,0,0
84470,1834,2020-07-16,2460,116,82,107,0,0
87271,1904,2020-07-17,2801,117,70,108,0,0
90875,1964,2020-07-18,3604,118,60,109,0,0
92972,1982,2020-07-19,2097,119,18,110,0,0
94132,2004,2020-07-20,1160,120,22,111,0,0
95566,2071,2020-07-21,1434,121,67,112,0,0
98741,2166,2020-07-22,3175,122,95,113,0,0
102568,2238,2020-07-23,3827,123,72,114,0,0
106812,2315,2020-07-24,4244,124,77,115,0,0
110093,2404,2020-07-25,3281,125,89,116,0,0
112571,2429,2020-07-26,2478,126,25,117,0,0
113718,2461,2020-07-27,1147,127,32,118,0,0
116645,2551,2020-07-28,2927,128,90,119,0,0
119394,2608,2020-07-29,2749,129,57,120,0,0
123415,2692,2020-07-30,4021,130,84,121,0,0
127106,2769,2020-07-31,3691,131,77,122,0,0
129985,2861,2020-08-01,2879,132,92,123,0,0
132801,2891,2020-08-02,2816,133,30,124,0,0
133743,2894,2020-08-03,942,134,3,125,0,0
133743,2894,2020-08-04,0,135,0,126,0,0
