Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
11967,6268,570,2020-05-21 22:00:00,2020-05-21,263,61,16,57,0
11704,6268,554,2020-05-20 22:00:00,2020-05-20,265,60,27,56,0
11439,6268,527,2020-05-19 22:00:00,2020-05-19,143,59,6,55,0
11296,6268,521,2020-05-18 22:00:00,2020-05-18,173,58,11,54,0
11123,6268,510,2020-05-17 22:00:00,2020-05-17,322,57,17,53,1847
10801,4421,493,2020-05-16 22:00:00,2020-05-16,318,56,13,52,0
10483,4421,480,2020-05-15 22:00:00,2020-05-15,393,55,15,51,0
10090,4421,465,2020-05-14 22:00:00,2020-05-14,182,54,8,50,0
9908,4421,457,2020-05-13 22:00:00,2020-05-13,234,53,22,49,0
9674,4421,435,2020-05-12 22:00:00,2020-05-12,173,52,5,48,0
9501,4421,430,2020-05-11 22:00:00,2020-05-11,123,51,9,47,0
9378,4421,421,2020-05-10 22:00:00,2020-05-10,288,50,12,46,0
9090,4421,409,2020-05-09 22:00:00,2020-05-09,404,49,13,45,0
8686,4421,396,2020-05-08 22:00:00,2020-05-08,246,48,22,44,0
8440,4421,374,2020-05-07 22:00:00,2020-05-07,233,47,32,43,0
8207,4421,342,2020-05-06 22:00:00,2020-05-06,330,46,32,42,1008
7877,3413,310,2020-05-05 22:00:00,2020-05-05,324,45,7,41,0
7553,3413,303,2020-05-04 22:00:00,2020-05-04,112,44,12,40,0
7441,3413,291,2020-05-03 22:00:00,2020-05-03,229,43,10,39,3413
7212,0,281,2020-05-02 22:00:00,2020-05-02,397,42,20,38,0
6815,0,261,2020-05-01 22:00:00,2020-05-01,246,41,11,37,0
6569,0,250,2020-04-30 22:00:00,2020-04-30,227,40,11,36,0
6342,0,239,2020-04-29 22:00:00,2020-04-29,248,39,10,35,0
6094,0,229,2020-04-28 22:00:00,2020-04-28,183,38,2,34,0
5911,0,227,2020-04-27 22:00:00,2020-04-27,193,37,6,33,0
5718,0,221,2020-04-26 22:00:00,2020-04-26,284,36,12,32,0
5434,0,209,2020-04-25 22:00:00,2020-04-25,281,35,8,31,0
5153,0,201,2020-04-24 22:00:00,2020-04-24,259,34,8,30,0
4894,0,193,2020-04-23 22:00:00,2020-04-23,178,33,10,29,0
4716,0,183,2020-04-22 22:00:00,2020-04-22,204,32,14,28,0
4512,0,169,2020-04-21 22:00:00,2020-04-21,238,31,10,27,0
4274,0,159,2020-04-20 22:00:00,2020-04-20,300,30,7,26,0
3974,0,152,2020-04-19 22:00:00,2020-04-19,181,29,12,25,0
3793,0,140,2020-04-18 22:00:00,2020-04-18,169,28,11,24,0
3624,0,129,2020-04-17 22:00:00,2020-04-17,264,27,7,23,0
3360,0,122,2020-04-16 22:00:00,2020-04-16,273,26,11,22,0
3087,0,111,2020-04-15 22:00:00,2020-04-15,145,25,13,21,0
2942,0,98,2020-04-14 22:00:00,2020-04-14,161,24,2,20,0
2781,0,96,2020-04-13 22:00:00,2020-04-13,139,23,3,19,0
2642,0,93,2020-04-12 22:00:00,2020-04-12,173,22,11,18,0
2469,0,82,2020-04-11 22:00:00,2020-04-11,209,21,6,17,0
2260,0,76,2020-04-10 22:00:00,2020-04-10,257,20,9,16,0
2003,0,67,2020-04-09 22:00:00,2020-04-09,88,19,7,15,0
1915,0,60,2020-04-08 22:00:00,2020-04-08,177,18,9,14,0
1738,0,51,2020-04-07 22:00:00,2020-04-07,100,17,8,13,0
1638,0,43,2020-04-06 22:00:00,2020-04-06,183,16,8,12,0
1455,0,35,2020-04-05 22:00:00,2020-04-05,97,15,6,11,0
1358,0,29,2020-04-04 21:00:00,2020-04-04,181,14,3,10,0
1177,0,26,2020-04-03 21:00:00,2020-04-03,104,13,4,9,0
1073,0,22,2020-04-02 21:00:00,2020-04-02,136,12,2,8,0
937,0,20,2020-04-01 21:00:00,2020-04-01,90,11,4,7,0
847,0,16,2020-03-31 21:00:00,2020-03-31,88,10,2,6,0
759,0,14,2020-03-30 21:00:00,2020-03-30,96,9,1,5,0
663,0,13,2020-03-29 21:00:00,2020-03-29,84,8,5,4,0
579,0,8,2020-03-28 21:00:00,2020-03-28,94,7,2,3,0
485,0,6,2020-03-27 21:10:00,2020-03-27,108,6,1,2,0
377,0,5,2020-03-26 22:20:00,2020-03-26,57,5,4,1,0
320,0,1,2020-03-25 23:20:00,2020-03-25,71,4,0,0,0
249,0,1,2020-03-24 21:20:00,2020-03-24,42,3,0,0,0
207,0,1,2020-03-23 21:40:00,2020-03-23,67,2,0,0,0
140,0,1,2020-03-22 21:00:00,2020-03-22,60,1,0,0,0
80,0,1,2020-03-21 21:00:00,2020-03-21,28,0,0,0,0
52,0,1,2020-03-20 21:20:00,2020-03-20,18,0,1,0,0
34,0,0,2020-03-19 21:30:00,2020-03-19,13,0,0,0,0
21,0,0,2020-03-18 22:00:00,2020-03-18,9,0,0,0,0
12,0,0,2020-03-17 21:00:00,2020-03-17,2,0,0,0,0
10,0,0,2020-03-16 21:00:00,2020-03-16,4,0,0,0,0
6,0,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
6,0,0,2020-03-14 21:00:00,2020-03-14,5,0,0,0,0
1,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
1,0,0,2020-03-12 21:00:00,2020-03-12,1,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
