Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
10068,2523,503,2020-05-11 22:00:00,2020-05-11,166,50,10,52,0
9902,2523,493,2020-05-10 22:00:00,2020-05-10,169,49,10,51,253
9733,2270,483,2020-05-09 22:00:00,2020-05-09,152,48,34,50,147
9581,2123,449,2020-05-08 22:00:00,2020-05-08,258,47,21,49,60
9323,2063,428,2020-05-07 22:00:00,2020-05-07,202,46,19,48,10
9121,2053,409,2020-05-06 22:00:00,2020-05-06,175,45,23,47,66
8946,1987,386,2020-05-05 22:00:00,2020-05-05,328,44,5,46,28
8618,1959,381,2020-05-04 22:00:00,2020-05-04,262,43,5,45,3
8356,1956,376,2020-05-03 22:00:00,2020-05-03,278,42,16,44,38
8078,1918,360,2020-05-02 22:00:00,2020-05-02,253,41,9,43,78
7825,1840,351,2020-05-01 22:00:00,2020-05-01,165,40,13,42,111
7660,1729,338,2020-04-30 22:00:00,2020-04-30,210,39,8,41,12
7450,1717,330,2020-04-29 22:00:00,2020-04-29,143,38,27,40,34
7307,1683,303,2020-04-28 22:00:00,2020-04-28,187,37,20,39,119
7120,1564,283,2020-04-27 22:00:00,2020-04-27,185,36,0,38,1
6935,1563,283,2020-04-26 22:00:00,2020-04-26,147,35,11,37,19
6788,1544,272,2020-04-25 22:00:00,2020-04-25,282,34,20,36,14
6506,1530,252,2020-04-24 22:00:00,2020-04-24,200,33,10,35,273
6306,1257,242,2020-04-23 22:00:00,2020-04-23,164,32,13,34,17
6142,1240,229,2020-04-22 22:00:00,2020-04-22,179,31,14,33,23
5963,1217,215,2020-04-21 22:00:00,2020-04-21,156,30,16,32,672
5807,545,199,2020-04-20 22:00:00,2020-04-20,211,29,1,31,34
5596,511,198,2020-04-19 22:00:00,2020-04-19,150,28,9,30,9
5446,502,189,2020-04-18 22:00:00,2020-04-18,207,27,14,29,30
5239,472,175,2020-04-17 22:00:00,2020-04-17,235,26,9,28,29
5004,443,166,2020-04-16 22:00:00,2020-04-16,220,25,13,27,127
4784,316,153,2020-04-15 22:00:00,2020-04-15,253,24,16,26,97
4531,219,137,2020-04-14 22:00:00,2020-04-14,259,23,19,25,28
4272,191,118,2020-04-13 22:00:00,2020-04-13,111,22,2,24,7
4161,184,116,2020-04-12 22:00:00,2020-04-12,204,21,11,23,17
3957,167,105,2020-04-11 22:00:00,2020-04-11,333,20,13,22,59
3624,108,92,2020-04-10 22:00:00,2020-04-10,192,19,-1,21,12
3432,96,93,2020-04-09 22:00:00,2020-04-09,223,18,7,20,22
3209,74,86,2020-04-08 22:00:00,2020-04-08,341,17,21,19,5
2868,69,65,2020-04-07 22:00:00,2020-04-07,404,16,18,18,1
2464,68,47,2020-04-06 22:00:00,2020-04-06,119,15,4,17,19
2345,49,43,2020-04-05 22:00:00,2020-04-05,187,14,10,16,16
2158,33,33,2020-04-04 21:00:00,2020-04-04,298,13,11,15,5
1860,28,22,2020-04-03 21:00:00,2020-04-03,188,12,0,14,0
1672,28,22,2020-04-02 21:00:00,2020-04-02,265,11,7,13,28
1407,0,15,2020-04-01 21:00:00,2020-04-01,285,10,2,12,0
1122,0,13,2020-03-31 21:00:00,2020-03-31,196,9,0,11,0
926,0,13,2020-03-30 21:00:00,2020-03-30,79,8,2,10,0
847,0,11,2020-03-29 21:00:00,2020-03-29,138,7,2,9,0
709,0,9,2020-03-28 21:00:00,2020-03-28,179,6,0,8,0
530,0,9,2020-03-27 21:10:00,2020-03-27,149,5,1,7,0
381,0,8,2020-03-26 22:20:00,2020-03-26,103,4,0,6,0
278,0,8,2020-03-25 23:20:00,2020-03-25,62,3,3,5,0
216,0,5,2020-03-24 21:20:00,2020-03-24,66,2,2,4,0
150,0,3,2020-03-23 21:40:00,2020-03-23,64,1,0,3,0
86,0,3,2020-03-22 21:00:00,2020-03-22,13,0,0,2,0
73,0,3,2020-03-21 21:00:00,2020-03-21,32,0,2,1,0
41,0,1,2020-03-20 21:20:00,2020-03-20,17,0,0,0,0
24,0,1,2020-03-19 21:30:00,2020-03-19,8,0,1,0,0
16,0,0,2020-03-18 22:00:00,2020-03-18,7,0,0,0,0
9,0,0,2020-03-17 21:00:00,2020-03-17,4,0,0,0,0
5,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
5,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
4,0,0,2020-03-14 21:00:00,2020-03-14,2,0,0,0,0
2,0,0,2020-03-13 21:00:00,2020-03-13,1,0,0,0,0
1,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
1,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
1,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
