Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
19382,12793,642,2020-07-13 22:00:00,2020-07-13,174,112,1,104,126
19208,12667,641,2020-07-12 22:00:00,2020-07-12,284,111,6,103,211
18924,12456,635,2020-07-11 22:00:00,2020-07-11,258,110,8,102,268
18666,12188,627,2020-07-10 22:00:00,2020-07-10,195,109,13,101,639
18471,11549,614,2020-07-09 22:00:00,2020-07-09,330,108,11,100,308
18141,11241,603,2020-07-08 22:00:00,2020-07-08,235,107,5,99,0
17906,11241,598,2020-07-07 22:00:00,2020-07-07,92,106,13,98,523
17814,10718,585,2020-07-06 22:00:00,2020-07-06,142,105,3,97,0
17672,10718,582,2020-07-05 22:00:00,2020-07-05,227,104,6,96,625
17445,10093,576,2020-07-04 22:00:00,2020-07-04,295,103,16,95,247
17150,9846,560,2020-07-03 22:00:00,2020-07-03,252,102,11,94,252
16898,9594,549,2020-07-02 22:00:00,2020-07-02,285,101,4,93,212
16613,9382,545,2020-07-01 22:00:00,2020-07-01,256,100,4,92,0
16357,9382,541,2020-06-30 22:00:00,2020-06-30,107,99,11,91,301
16250,9081,530,2020-06-29 22:00:00,2020-06-29,170,98,4,90,0
16080,9081,526,2020-06-28 22:00:00,2020-06-28,304,97,11,89,316
15776,8765,515,2020-06-27 22:00:00,2020-06-27,323,96,13,88,166
15453,8599,502,2020-06-26 22:00:00,2020-06-26,375,95,0,87,0
15078,8599,502,2020-06-25 22:00:00,2020-06-25,364,94,12,86,387
14714,8212,490,2020-06-24 22:00:00,2020-06-24,351,93,6,85,193
14363,8019,484,2020-06-23 22:00:00,2020-06-23,163,92,9,84,0
14200,8019,475,2020-06-22 22:00:00,2020-06-22,247,91,11,83,274
13953,7745,464,2020-06-21 22:00:00,2020-06-21,397,90,6,82,0
13556,7745,458,2020-06-20 22:00:00,2020-06-20,450,89,9,81,220
13106,7525,449,2020-06-19 22:00:00,2020-06-19,374,88,11,80,273
12732,7252,438,2020-06-18 22:00:00,2020-06-18,478,87,11,79,175
12254,7077,427,2020-06-17 22:00:00,2020-06-17,375,86,10,78,176
11879,6901,417,2020-06-16 22:00:00,2020-06-16,139,85,11,77,278
11740,6623,406,2020-06-15 22:00:00,2020-06-15,281,84,8,76,202
11459,6421,398,2020-06-14 22:00:00,2020-06-14,366,83,3,75,0
11093,6421,395,2020-06-13 22:00:00,2020-06-13,366,82,13,74,192
10727,6229,382,2020-06-12 22:00:00,2020-06-12,406,81,11,73,157
10321,6072,371,2020-06-11 22:00:00,2020-06-11,296,80,4,72,142
10025,5930,367,2020-06-10 22:00:00,2020-06-10,218,79,8,71,133
9807,5797,359,2020-06-09 22:00:00,2020-06-09,107,78,13,70,59
9700,5738,346,2020-06-08 22:00:00,2020-06-08,189,77,11,69,100
9511,5638,335,2020-06-07 22:00:00,2020-06-07,264,76,9,68,188
9247,5450,326,2020-06-06 22:00:00,2020-06-06,229,75,9,67,210
9018,5240,317,2020-06-05 22:00:00,2020-06-05,223,74,3,66,231
8795,5009,314,2020-06-04 22:00:00,2020-06-04,247,73,5,65,146
8548,4863,309,2020-06-03 22:00:00,2020-06-03,188,72,2,64,125
8360,4738,307,2020-06-02 22:00:00,2020-06-02,109,71,12,63,157
8251,4581,295,2020-06-01 22:00:00,2020-06-01,153,70,1,62,0
