Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
548,475,18,2020-06-09 22:00:00,2020-06-09,3,74,0,71,0
545,475,18,2020-06-08 22:00:00,2020-06-08,4,73,0,70,3
541,472,18,2020-06-07 22:00:00,2020-06-07,0,72,0,69,2
541,470,18,2020-06-06 22:00:00,2020-06-06,2,71,1,68,3
539,467,17,2020-06-05 22:00:00,2020-06-05,14,70,0,67,3
525,464,17,2020-06-04 22:00:00,2020-06-04,2,69,0,66,2
523,462,17,2020-06-03 22:00:00,2020-06-03,4,68,0,65,1
519,461,17,2020-06-02 22:00:00,2020-06-02,4,67,0,64,5
515,456,17,2020-06-01 22:00:00,2020-06-01,10,66,0,63,8
505,448,17,2020-05-31 22:00:00,2020-05-31,12,65,0,62,0
493,448,17,2020-05-30 22:00:00,2020-05-30,8,64,0,61,3
485,445,17,2020-05-29 22:00:00,2020-05-29,4,63,0,60,1
481,444,17,2020-05-28 22:00:00,2020-05-28,2,62,0,59,3
479,441,17,2020-05-27 22:00:00,2020-05-27,0,61,1,58,0
479,441,16,2020-05-26 22:00:00,2020-05-26,0,60,0,57,1
479,440,16,2020-05-25 22:00:00,2020-05-25,0,59,0,56,0
479,440,16,2020-05-24 22:00:00,2020-05-24,0,58,0,55,0
479,440,16,2020-05-23 22:00:00,2020-05-23,0,57,0,54,0
479,440,16,2020-05-22 22:00:00,2020-05-22,1,56,0,53,0
478,440,16,2020-05-21 22:00:00,2020-05-21,7,55,0,52,3
471,437,16,2020-05-20 22:00:00,2020-05-20,1,54,0,51,6
470,431,16,2020-05-19 22:00:00,2020-05-19,2,53,0,50,0
468,431,16,2020-05-18 22:00:00,2020-05-18,0,52,0,49,0
468,431,16,2020-05-17 22:00:00,2020-05-17,2,51,0,48,0
466,431,16,2020-05-16 22:00:00,2020-05-16,4,50,0,47,1
462,430,16,2020-05-15 22:00:00,2020-05-15,0,49,0,46,0
462,430,16,2020-05-14 22:00:00,2020-05-14,1,48,0,45,5
461,425,16,2020-05-13 22:00:00,2020-05-13,2,47,0,44,2
459,423,16,2020-05-12 22:00:00,2020-05-12,1,46,0,43,1
458,422,16,2020-05-11 22:00:00,2020-05-11,0,45,0,42,0
458,422,16,2020-05-10 22:00:00,2020-05-10,0,44,0,41,2
458,420,16,2020-05-09 22:00:00,2020-05-09,1,43,0,40,10
457,410,16,2020-05-08 22:00:00,2020-05-08,0,42,0,39,0
457,410,16,2020-05-07 22:00:00,2020-05-07,0,41,0,38,0
457,410,16,2020-05-06 22:00:00,2020-05-06,0,40,0,37,6
457,404,16,2020-05-05 22:00:00,2020-05-05,2,39,0,36,0
455,404,16,2020-05-04 22:00:00,2020-05-04,0,38,0,35,0
455,404,16,2020-05-03 22:00:00,2020-05-03,2,37,0,34,7
453,397,16,2020-05-02 22:00:00,2020-05-02,0,36,0,33,5
453,392,16,2020-05-01 22:00:00,2020-05-01,2,35,0,32,10
451,382,16,2020-04-30 22:00:00,2020-04-30,0,34,1,31,30
451,352,15,2020-04-29 22:00:00,2020-04-29,2,33,1,30,0
449,352,14,2020-04-28 22:00:00,2020-04-28,1,32,0,29,13
448,339,14,2020-04-27 22:00:00,2020-04-27,3,31,0,28,0
445,339,14,2020-04-26 22:00:00,2020-04-26,1,30,0,27,14
444,325,14,2020-04-25 22:00:00,2020-04-25,2,29,0,26,19
442,306,14,2020-04-24 22:00:00,2020-04-24,3,28,0,25,10
439,296,14,2020-04-23 22:00:00,2020-04-23,2,27,2,24,23
437,273,12,2020-04-22 22:00:00,2020-04-22,4,26,2,23,30
433,243,10,2020-04-21 22:00:00,2020-04-21,0,25,0,22,0
433,243,10,2020-04-20 22:00:00,2020-04-20,7,24,0,21,0
426,243,10,2020-04-19 22:00:00,2020-04-19,4,23,0,20,10
422,233,10,2020-04-18 22:00:00,2020-04-18,7,22,3,19,15
415,218,7,2020-04-17 22:00:00,2020-04-17,11,21,0,18,9
404,209,7,2020-04-16 22:00:00,2020-04-16,5,20,0,17,12
399,197,7,2020-04-15 22:00:00,2020-04-15,5,19,0,16,26
394,171,7,2020-04-14 22:00:00,2020-04-14,7,18,1,15,2
387,169,6,2020-04-13 22:00:00,2020-04-13,10,17,0,14,4
377,165,6,2020-04-12 22:00:00,2020-04-12,12,16,0,13,0
365,165,6,2020-04-11 22:00:00,2020-04-11,11,15,0,12,8
354,157,6,2020-04-10 22:00:00,2020-04-10,22,14,0,11,125
332,32,6,2020-04-09 22:00:00,2020-04-09,13,13,0,10,0
319,32,6,2020-04-08 22:00:00,2020-04-08,0,12,0,9,0
319,32,6,2020-04-07 22:00:00,2020-04-07,21,11,0,8,0
298,32,6,2020-04-06 22:00:00,2020-04-06,17,10,0,7,0
281,32,6,2020-04-05 22:00:00,2020-04-05,19,9,1,6,0
262,32,5,2020-04-04 21:00:00,2020-04-04,21,8,0,5,0
241,32,5,2020-04-03 21:00:00,2020-04-03,24,7,-1,4,32
217,0,6,2020-04-02 21:00:00,2020-04-02,19,6,1,3,0
198,0,5,2020-04-01 21:00:00,2020-04-01,21,5,0,2,0
177,0,5,2020-03-31 21:00:00,2020-03-31,16,4,3,1,0
161,0,2,2020-03-30 21:00:00,2020-03-30,14,3,1,0,0
147,0,1,2020-03-29 21:00:00,2020-03-29,26,2,0,0,0
121,0,1,2020-03-28 21:00:00,2020-03-28,31,1,0,0,0
90,0,1,2020-03-27 21:10:00,2020-03-27,23,0,1,0,0
67,0,0,2020-03-26 22:20:00,2020-03-26,16,0,0,0,0
51,0,0,2020-03-25 23:20:00,2020-03-25,5,0,0,0,0
46,0,0,2020-03-24 21:20:00,2020-03-24,12,0,0,0,0
34,0,0,2020-03-23 21:40:00,2020-03-23,4,0,0,0,0
30,0,0,2020-03-22 21:00:00,2020-03-22,10,0,0,0,0
20,0,0,2020-03-21 21:00:00,2020-03-21,5,0,0,0,0
15,0,0,2020-03-20 21:20:00,2020-03-20,4,0,0,0,0
11,0,0,2020-03-19 21:30:00,2020-03-19,1,0,0,0,0
10,0,0,2020-03-18 22:00:00,2020-03-18,1,0,0,0,0
9,0,0,2020-03-17 21:00:00,2020-03-17,2,0,0,0,0
7,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
7,0,0,2020-03-15 21:00:00,2020-03-15,2,0,0,0,0
5,0,0,2020-03-14 21:00:00,2020-03-14,4,0,0,0,0
1,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
1,0,0,2020-03-12 21:00:00,2020-03-12,1,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0,0,0
