Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
2540,556,12,2020-08-06 22:00:00,2020-08-06,70,42,0,18,345
2470,211,12,2020-08-05 22:00:00,2020-08-05,64,41,0,17,24
2406,187,12,2020-08-04 22:00:00,2020-08-04,112,40,1,16,0
2294,187,11,2020-08-03 22:00:00,2020-08-03,70,39,0,15,16
2224,171,11,2020-08-02 22:00:00,2020-08-02,95,38,1,14,5
2129,166,10,2020-08-01 22:00:00,2020-08-01,77,37,0,13,2
2052,164,10,2020-07-31 22:00:00,2020-07-31,66,36,1,12,60
1986,104,9,2020-07-30 22:00:00,2020-07-30,69,35,1,11,0
1917,104,8,2020-07-29 22:00:00,2020-07-29,74,34,0,10,3
1843,101,8,2020-07-28 22:00:00,2020-07-28,68,33,0,9,26
1775,75,8,2020-07-27 22:00:00,2020-07-27,88,32,1,8,3
1687,72,7,2020-07-26 22:00:00,2020-07-26,69,31,0,7,0
1618,72,7,2020-07-25 22:00:00,2020-07-25,96,30,0,6,3
1522,69,7,2020-07-24 22:00:00,2020-07-24,120,29,0,5,5
1402,64,7,2020-07-23 22:00:00,2020-07-23,36,28,0,4,7
1366,57,7,2020-07-22 22:00:00,2020-07-22,22,27,3,3,15
1344,42,4,2020-07-21 22:00:00,2020-07-21,97,26,1,2,7
1247,35,3,2020-07-20 22:00:00,2020-07-20,44,25,1,1,3
1203,32,2,2020-07-19 22:00:00,2020-07-19,125,24,0,0,0
1078,32,2,2020-07-18 22:00:00,2020-07-18,46,23,0,0,1
1032,31,2,2020-07-17 22:00:00,2020-07-17,0,22,0,0,0
1032,31,2,2020-07-16 22:00:00,2020-07-16,168,21,0,0,2
864,29,2,2020-07-15 22:00:00,2020-07-15,3,20,1,0,1
861,28,1,2020-07-14 22:00:00,2020-07-14,76,19,0,0,2
785,26,1,2020-07-13 22:00:00,2020-07-13,117,18,0,0,1
668,25,1,2020-07-12 22:00:00,2020-07-12,0,17,0,0,0
668,25,1,2020-07-11 22:00:00,2020-07-11,1,16,0,0,0
667,25,1,2020-07-10 22:00:00,2020-07-10,52,15,1,0,0
615,25,0,2020-07-09 22:00:00,2020-07-09,22,14,0,0,0
593,25,0,2020-07-08 22:00:00,2020-07-08,54,13,0,0,0
539,25,0,2020-07-07 22:00:00,2020-07-07,54,12,0,0,0
485,25,0,2020-07-06 22:00:00,2020-07-06,110,11,0,0,0
375,25,0,2020-07-05 22:00:00,2020-07-05,25,10,0,0,0
350,25,0,2020-07-04 22:00:00,2020-07-04,15,9,0,0,0
335,25,0,2020-07-03 22:00:00,2020-07-03,42,8,0,0,1
293,24,0,2020-07-02 22:00:00,2020-07-02,36,7,0,0,0
257,24,0,2020-07-01 22:00:00,2020-07-01,54,6,0,0,0
203,24,0,2020-06-30 22:00:00,2020-06-30,20,5,0,0,0
183,24,0,2020-06-29 22:00:00,2020-06-29,33,4,0,0,2
150,22,0,2020-06-28 22:00:00,2020-06-28,29,3,0,0,0
121,22,0,2020-06-27 22:00:00,2020-06-27,16,2,0,0,1
105,21,0,2020-06-26 22:00:00,2020-06-26,15,1,0,0,0
90,21,0,2020-06-25 22:00:00,2020-06-25,14,0,0,0,0
76,21,0,2020-06-24 22:00:00,2020-06-24,9,0,0,0,0
67,21,0,2020-06-23 22:00:00,2020-06-23,4,0,0,0,0
63,21,0,2020-06-22 22:00:00,2020-06-22,8,0,0,0,2
55,19,0,2020-06-21 22:00:00,2020-06-21,9,0,0,0,0
46,19,0,2020-06-20 22:00:00,2020-06-20,6,0,0,0,0
40,19,0,2020-06-19 22:00:00,2020-06-19,1,0,0,0,0
39,19,0,2020-06-18 22:00:00,2020-06-18,5,0,0,0,1
34,18,0,2020-06-17 22:00:00,2020-06-17,0,0,0,0,0
34,18,0,2020-06-16 22:00:00,2020-06-16,2,0,0,0,1
32,17,0,2020-06-15 22:00:00,2020-06-15,0,0,0,0,0
32,17,0,2020-06-14 22:00:00,2020-06-14,0,0,0,0,0
32,17,0,2020-06-13 22:00:00,2020-06-13,1,0,0,0,0
31,17,0,2020-06-12 22:00:00,2020-06-12,0,0,0,0,0
31,17,0,2020-06-11 22:00:00,2020-06-11,0,0,0,0,0
31,17,0,2020-06-10 22:00:00,2020-06-10,0,0,0,0,1
31,16,0,2020-06-09 22:00:00,2020-06-09,0,0,0,0,0
31,16,0,2020-06-08 22:00:00,2020-06-08,2,0,0,0,0
29,16,0,2020-06-07 22:00:00,2020-06-07,0,0,0,0,0
29,16,0,2020-06-06 22:00:00,2020-06-06,4,0,0,0,0
25,16,0,2020-06-05 22:00:00,2020-06-05,0,0,0,0,0
25,16,0,2020-06-04 22:00:00,2020-06-04,0,0,0,0,0
25,16,0,2020-06-03 22:00:00,2020-06-03,0,0,0,0,0
25,16,0,2020-06-02 22:00:00,2020-06-02,0,0,0,0,0
25,16,0,2020-06-01 22:00:00,2020-06-01,2,0,0,0,2
23,14,0,2020-05-31 22:00:00,2020-05-31,0,0,0,0,0
23,14,0,2020-05-30 22:00:00,2020-05-30,0,0,0,0,0
23,14,0,2020-05-29 22:00:00,2020-05-29,1,0,0,0,0
22,14,0,2020-05-28 22:00:00,2020-05-28,0,0,0,0,0
22,14,0,2020-05-27 22:00:00,2020-05-27,1,0,0,0,0
21,14,0,2020-05-26 22:00:00,2020-05-26,0,0,0,0,0
21,14,0,2020-05-25 22:00:00,2020-05-25,0,0,0,0,0
