Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
10728,2338,24,2020-06-24 22:00:00,2020-06-24,629,48,0,35,114
10099,2224,24,2020-06-23 22:00:00,2020-06-23,538,47,1,34,82
9561,2142,23,2020-06-22 22:00:00,2020-06-22,535,46,0,33,370
9026,1772,23,2020-06-21 22:00:00,2020-06-21,421,45,1,32,194
8605,1578,22,2020-06-20 22:00:00,2020-06-20,331,44,0,31,176
8274,1402,22,2020-06-19 22:00:00,2020-06-19,1097,43,2,30,235
7177,1167,20,2020-06-18 22:00:00,2020-06-18,0,42,0,29,0
7177,1167,20,2020-06-17 22:00:00,2020-06-17,586,41,1,28,9
6591,1158,19,2020-06-16 22:00:00,2020-06-16,380,40,0,27,117
6211,1041,19,2020-06-15 22:00:00,2020-06-15,451,39,0,26,67
5760,974,19,2020-06-14 22:00:00,2020-06-14,698,38,3,25,97
5062,877,16,2020-06-13 22:00:00,2020-06-13,0,37,0,24,0
5062,877,16,2020-06-12 22:00:00,2020-06-12,448,36,1,23,16
4614,861,15,2020-06-11 22:00:00,2020-06-11,250,35,0,22,187
4364,674,15,2020-06-10 22:00:00,2020-06-10,278,34,0,21,90
4086,584,15,2020-06-09 22:00:00,2020-06-09,324,33,1,20,96
3762,488,14,2020-06-08 22:00:00,2020-06-08,314,32,1,19,21
3448,467,13,2020-06-07 22:00:00,2020-06-07,213,31,0,18,102
3235,365,13,2020-06-06 22:00:00,2020-06-06,323,30,2,17,32
2912,333,11,2020-06-05 22:00:00,2020-06-05,278,29,1,16,43
2634,290,10,2020-06-04 22:00:00,2020-06-04,334,28,1,15,12
2300,278,9,2020-06-03 22:00:00,2020-06-03,201,27,1,14,12
2099,266,8,2020-06-02 22:00:00,2020-06-02,301,26,0,13,45
1798,221,8,2020-06-01 22:00:00,2020-06-01,231,25,0,12,1
1567,220,8,2020-05-31 22:00:00,2020-05-31,166,24,2,11,1
1401,219,6,2020-05-30 22:00:00,2020-05-30,189,23,0,10,13
1212,206,6,2020-05-29 22:00:00,2020-05-29,170,22,1,9,19
1042,187,5,2020-05-28 22:00:00,2020-05-28,156,21,1,8,4
886,183,4,2020-05-27 22:00:00,2020-05-27,114,20,0,7,28
772,155,4,2020-05-26 22:00:00,2020-05-26,90,19,0,6,43
682,112,4,2020-05-25 22:00:00,2020-05-25,79,18,1,5,25
603,87,3,2020-05-24 22:00:00,2020-05-24,19,17,0,4,17
584,70,3,2020-05-23 22:00:00,2020-05-23,77,16,0,3,0
507,70,3,2020-05-22 22:00:00,2020-05-22,54,15,0,2,21
453,49,3,2020-05-21 22:00:00,2020-05-21,26,14,1,1,4
427,45,2,2020-05-20 22:00:00,2020-05-20,25,13,0,0,8
402,37,2,2020-05-19 22:00:00,2020-05-19,45,12,0,0,1
357,36,2,2020-05-18 22:00:00,2020-05-18,65,11,0,0,0
292,36,2,2020-05-17 22:00:00,2020-05-17,14,10,2,0,0
278,36,0,2020-05-16 22:00:00,2020-05-16,20,9,0,0,0
258,36,0,2020-05-15 22:00:00,2020-05-15,12,8,0,0,1
246,35,0,2020-05-14 22:00:00,2020-05-14,27,7,0,0,0
219,35,0,2020-05-13 22:00:00,2020-05-13,28,6,0,0,2
191,33,0,2020-05-12 22:00:00,2020-05-12,70,5,0,0,0
121,33,0,2020-05-11 22:00:00,2020-05-11,11,4,0,0,2
110,31,0,2020-05-10 22:00:00,2020-05-10,1,3,0,0,0
109,31,0,2020-05-09 22:00:00,2020-05-09,7,2,0,0,1
102,30,0,2020-05-08 22:00:00,2020-05-08,3,1,0,0,8
99,22,0,2020-05-07 22:00:00,2020-05-07,0,0,0,0,0
99,22,0,2020-05-06 22:00:00,2020-05-06,17,0,0,0,6
82,16,0,2020-05-05 22:00:00,2020-05-05,7,0,0,0,0
75,16,0,2020-05-04 22:00:00,2020-05-04,6,0,0,0,0
69,16,0,2020-05-03 22:00:00,2020-05-03,10,0,0,0,0
59,16,0,2020-05-02 22:00:00,2020-05-02,0,0,0,0,0
59,16,0,2020-05-01 22:00:00,2020-05-01,2,0,0,0,0
57,16,0,2020-04-30 22:00:00,2020-04-30,0,0,0,0,0
57,16,0,2020-04-29 22:00:00,2020-04-29,3,0,0,0,0
54,16,0,2020-04-28 22:00:00,2020-04-28,2,0,0,0,0
52,16,0,2020-04-27 22:00:00,2020-04-27,1,0,0,0,0
51,16,0,2020-04-26 22:00:00,2020-04-26,2,0,0,0,4
49,12,0,2020-04-25 22:00:00,2020-04-25,1,0,0,0,2
48,10,0,2020-04-24 22:00:00,2020-04-24,1,0,0,0,1
47,9,0,2020-04-23 22:00:00,2020-04-23,2,0,0,0,2
45,7,0,2020-04-22 22:00:00,2020-04-22,13,0,0,0,3
32,4,0,2020-04-21 22:00:00,2020-04-21,1,0,0,0,0
31,4,0,2020-04-20 22:00:00,2020-04-20,0,0,0,0,0
31,4,0,2020-04-19 22:00:00,2020-04-19,1,0,0,0,2
30,2,0,2020-04-18 22:00:00,2020-04-18,14,0,0,0,0
16,2,0,2020-04-17 22:00:00,2020-04-17,0,0,0,0,1
16,1,0,2020-04-16 22:00:00,2020-04-16,0,0,0,0,0
16,1,0,2020-04-15 22:00:00,2020-04-15,0,0,0,0,0
16,1,0,2020-04-14 22:00:00,2020-04-14,2,0,0,0,0
14,1,0,2020-04-13 22:00:00,2020-04-13,2,0,0,0,0
12,1,0,2020-04-12 22:00:00,2020-04-12,3,0,0,0,0
9,1,0,2020-04-11 22:00:00,2020-04-11,0,0,0,0,0
9,1,0,2020-04-10 22:00:00,2020-04-10,0,0,0,0,0
9,1,0,2020-04-09 22:00:00,2020-04-09,0,0,0,0,0
9,1,0,2020-04-08 22:00:00,2020-04-08,0,0,0,0,0
9,1,0,2020-04-07 22:00:00,2020-04-07,0,0,0,0,0
9,1,0,2020-04-06 22:00:00,2020-04-06,0,0,0,0,0
9,1,0,2020-04-05 22:00:00,2020-04-05,0,0,0,0,0
