Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death
19580,250,2101,2020-04-08 09:00:00,2020-04-08,777,33,234
18803,250,1867,2020-04-07 22:00:00,2020-04-07,952,32,101
17851,250,1766,2020-04-06 22:00:00,2020-04-06,1224,31,115
16627,250,1651,2020-04-05 22:00:00,2020-04-05,904,30,164
15723,250,1487,2020-04-04 21:00:00,2020-04-04,1026,29,148
14697,250,1339,2020-04-03 21:00:00,2020-04-03,1083,28,166
13614,250,1173,2020-04-02 21:00:00,2020-04-02,1019,27,134
12595,250,1039,2020-04-01 21:00:00,2020-04-01,845,26,175
11750,250,864,2020-03-31 21:00:00,2020-03-31,884,25,93
10866,250,771,2020-03-30 21:00:00,2020-03-30,1104,24,132
9762,3,639,2020-03-29 21:00:00,2020-03-29,1159,23,93
8603,3,546,2020-03-28 21:00:00,2020-03-28,1172,22,112
7431,3,434,2020-03-27 21:10:00,2020-03-27,1019,21,78
6412,3,356,2020-03-26 22:20:00,2020-03-26,852,20,80
5560,2,276,2020-03-25 23:20:00,2020-03-25,811,19,63
4749,2,213,2020-03-24 21:20:00,2020-03-24,545,18,34
4204,2,179,2020-03-23 21:40:00,2020-03-23,573,17,43
3631,2,136,2020-03-22 21:00:00,2020-03-22,637,16,30
2994,2,106,2020-03-21 21:00:00,2020-03-21,534,15,30
2460,2,76,2020-03-20 21:20:00,2020-03-20,409,14,18
2051,2,58,2020-03-19 21:30:00,2020-03-19,346,13,15
1705,2,43,2020-03-18 22:00:00,2020-03-18,292,12,19
1413,2,24,2020-03-17 21:00:00,2020-03-17,278,11,4
1135,2,20,2020-03-16 21:00:00,2020-03-16,176,10,8
959,2,12,2020-03-15 21:00:00,2020-03-15,155,9,2
804,2,10,2020-03-14 21:00:00,2020-03-14,190,8,5
614,2,5,2020-03-13 21:00:00,2020-03-13,111,7,0
503,2,5,2020-03-12 21:00:00,2020-03-12,121,6,1
382,0,4,2020-03-11 21:00:00,2020-03-11,61,5,0
321,0,4,2020-03-10 21:00:00,2020-03-10,56,4,1
265,0,3,2020-03-09 21:00:00,2020-03-09,77,3,2
188,0,1,2020-03-08 21:00:00,2020-03-08,60,2,0
128,0,1,2020-03-07 21:00:00,2020-03-07,46,1,0
82,0,1,2020-03-06 21:00:00,2020-03-06,44,0,1
38,0,0,2020-03-05 21:00:00,2020-03-05,15,0,0
23,0,0,2020-03-04 21:00:00,2020-03-04,5,0,0
18,0,0,2020-03-03 21:00:00,2020-03-03,8,0,0
10,0,0,2020-03-02 21:00:00,2020-03-02,3,0,0
7,0,0,2020-03-01 21:00:00,2020-03-01,5,0,0
2,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0
2,0,0,2020-02-28 21:00:00,2020-02-28,2,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0
0,0,0,2020-01-31 12:30:00,2020-01-31,0,0,0
0,0,0,2020-01-30 12:00:00,2020-01-30,0,0,0
0,0,0,2020-01-29 14:00:00,2020-01-29,0,0,0
0,0,0,2020-01-28 11:30:00,2020-01-28,0,0,0
0,0,0,2020-01-27 14:00:00,2020-01-27,0,0,0
0,0,0,2020-01-26 13:00:00,2020-01-26,0,0,0
0,0,0,2020-01-25 15:00:00,2020-01-25,0,0,0
0,0,0,2020-01-24 15:00:00,2020-01-24,0,0,0
0,0,0,2020-01-23 15:00:00,2020-01-23,0,0,0
0,0,0,2020-01-22 15:00:00,2020-01-22,0,0,0
0,0,0,2020-01-21 15:00:00,2020-01-21,0,0,0
