Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
985,239,23,2020-04-13 21:00:00,2020-04-13,56,21,0,15,5
929,234,23,2020-04-12 22:00:00,2020-04-12,44,20,1,14,0
885,234,22,2020-04-11 22:00:00,2020-04-11,66,19,1,13,7
819,227,21,2020-04-10 22:00:00,2020-04-10,31,18,3,12,0
788,227,18,2020-04-09 22:00:00,2020-04-09,41,17,5,11,76
747,151,13,2020-04-08 22:00:00,2020-04-08,32,16,4,10,0
715,151,9,2020-04-07 22:00:00,2020-04-07,46,15,0,9,4
669,147,9,2020-04-06 22:00:00,2020-04-06,48,14,0,8,1
621,146,9,2020-04-05 22:00:00,2020-04-05,81,13,2,7,2
540,144,7,2020-04-04 21:00:00,2020-04-04,61,12,2,6,43
479,101,5,2020-04-03 21:00:00,2020-04-03,64,11,1,5,45
415,56,4,2020-04-02 21:00:00,2020-04-02,48,10,1,4,56
367,0,3,2020-04-01 21:00:00,2020-04-01,53,9,0,3,0
314,0,3,2020-03-31 21:00:00,2020-03-31,56,8,0,2,0
258,0,3,2020-03-30 21:00:00,2020-03-30,44,7,1,1,0
214,0,2,2020-03-29 21:00:00,2020-03-29,27,6,0,0,0
187,0,2,2020-03-28 21:00:00,2020-03-28,33,5,1,0,0
154,0,1,2020-03-27 21:10:00,2020-03-27,17,4,0,0,0
137,0,1,2020-03-26 22:20:00,2020-03-26,29,3,0,0,0
108,0,1,2020-03-25 23:20:00,2020-03-25,7,2,0,0,0
101,0,1,2020-03-24 21:20:00,2020-03-24,23,1,1,0,0
78,0,0,2020-03-23 21:40:00,2020-03-23,13,0,0,0,0
65,0,0,2020-03-22 21:00:00,2020-03-22,10,0,0,0,0
55,0,0,2020-03-21 21:00:00,2020-03-21,11,0,0,0,0
44,0,0,2020-03-20 21:20:00,2020-03-20,5,0,0,0,0
39,0,0,2020-03-19 21:30:00,2020-03-19,13,0,0,0,0
26,0,0,2020-03-18 22:00:00,2020-03-18,9,0,0,0,0
