Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
168834,3903,12924,2020-06-21 22:00:00,2020-06-21,338,98,22,97,6
168496,3897,12902,2020-06-20 22:00:00,2020-06-20,389,97,33,96,4
168107,3893,12869,2020-06-19 22:00:00,2020-06-19,404,96,34,95,6
167703,3887,12835,2020-06-18 22:00:00,2020-06-18,277,95,43,94,8
167426,3879,12792,2020-06-17 22:00:00,2020-06-17,323,94,84,93,0
167103,3879,12708,2020-06-16 22:00:00,2020-06-16,222,93,49,92,0
166881,3879,12659,2020-06-15 22:00:00,2020-06-15,276,92,38,91,0
166605,3879,12621,2020-06-14 22:00:00,2020-06-14,441,91,132,90,12
166164,3867,12489,2020-06-13 22:00:00,2020-06-13,348,90,46,89,0
165816,3867,12443,2020-06-12 22:00:00,2020-06-12,470,89,66,88,0
165346,3867,12377,2020-06-11 22:00:00,2020-06-11,550,88,74,87,11
164796,3856,12303,2020-06-10 22:00:00,2020-06-10,299,87,89,86,0
164497,3856,12214,2020-06-09 22:00:00,2020-06-09,333,86,38,85,3
164164,3853,12176,2020-06-08 22:00:00,2020-06-08,271,85,70,84,0
163893,3853,12106,2020-06-07 22:00:00,2020-06-07,557,84,57,83,6
163336,3847,12049,2020-06-06 22:00:00,2020-06-06,806,83,79,82,25
162530,3822,11970,2020-06-05 22:00:00,2020-06-05,462,82,90,81,0
162068,3822,11880,2020-06-04 22:00:00,2020-06-04,523,81,109,80,0
161545,3822,11771,2020-06-03 22:00:00,2020-06-03,627,80,48,79,41
160918,3781,11723,2020-06-02 22:00:00,2020-06-02,473,79,25,78,0
160445,3781,11698,2020-06-01 22:00:00,2020-06-01,837,78,64,77,0
159608,3781,11634,2020-05-31 22:00:00,2020-05-31,764,77,103,76,0
158844,3781,11531,2020-05-30 22:00:00,2020-05-30,1659,76,122,75,0
157185,3781,11409,2020-05-29 22:00:00,2020-05-29,557,75,70,74,11
156628,3770,11339,2020-05-28 22:00:00,2020-05-28,864,74,145,73,0
155764,3770,11194,2020-05-27 22:00:00,2020-05-27,672,73,47,72,0
155092,3770,11147,2020-05-26 22:00:00,2020-05-26,938,72,9,71,0
154154,3770,11138,2020-05-25 22:00:00,2020-05-25,1014,71,56,70,0
153140,3770,11082,2020-05-24 22:00:00,2020-05-24,561,70,97,69,34
152579,3736,10985,2020-05-23 22:00:00,2020-05-23,993,69,139,68,0
151586,3736,10846,2020-05-22 22:00:00,2020-05-22,810,68,97,67,0
150776,3736,10749,2020-05-21 22:00:00,2020-05-21,1420,67,162,66,14
149356,3722,10587,2020-05-20 22:00:00,2020-05-20,1116,66,148,65,0
148240,3722,10439,2020-05-19 22:00:00,2020-05-19,1736,65,76,64,0
146504,3722,10363,2020-05-18 22:00:00,2020-05-18,1415,64,102,63,427
145089,3295,10261,2020-05-17 22:00:00,2020-05-17,1105,63,113,62,21
143984,3274,10148,2020-05-16 22:00:00,2020-05-16,1280,62,202,61,37
142704,3237,9946,2020-05-15 22:00:00,2020-05-15,1144,61,232,60,6
141560,3231,9714,2020-05-14 22:00:00,2020-05-14,643,60,183,59,3
140917,3228,9531,2020-05-13 22:00:00,2020-05-13,711,59,191,58,14
140206,3214,9340,2020-05-12 22:00:00,2020-05-12,1452,58,84,57,0
138754,3214,9256,2020-05-11 22:00:00,2020-05-11,1357,57,140,56,2484
137397,730,9116,2020-05-10 22:00:00,2020-05-10,1557,56,156,55,0
135840,730,8960,2020-05-09 22:00:00,2020-05-09,1849,55,153,54,0
133991,730,8807,2020-05-08 22:00:00,2020-05-08,2101,54,258,53,0
131890,730,8549,2020-05-07 22:00:00,2020-05-07,1297,53,305,52,0
130593,730,8244,2020-05-06 22:00:00,2020-05-06,2324,52,334,51,0
128269,730,7910,2020-05-05 22:00:00,2020-05-05,1525,51,39,50,0
126744,730,7871,2020-05-04 22:00:00,2020-05-04,3027,50,129,49,0
123717,730,7742,2020-05-03 22:00:00,2020-05-03,2527,49,204,48,0
121190,730,7538,2020-05-02 22:00:00,2020-05-02,2538,48,310,47,0
118652,730,7228,2020-05-01 22:00:00,2020-05-01,2287,47,457,46,0
116365,730,6771,2020-04-30 22:00:00,2020-04-30,2509,46,329,45,0
113856,730,6442,2020-04-29 22:00:00,2020-04-29,2668,45,398,44,0
111188,730,6044,2020-04-28 22:00:00,2020-04-28,2150,44,106,43,0
109038,730,5938,2020-04-27 22:00:00,2020-04-27,3515,43,0,42,0
105523,730,5938,2020-04-26 22:00:00,2020-04-26,3327,42,255,41,0
102196,730,5683,2020-04-25 22:00:00,2020-04-25,2171,41,257,40,0
100025,730,5426,2020-04-24 22:00:00,2020-04-24,4111,40,276,39,0
