Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
161807,16234,7067,2020-04-10 22:00:00,2020-04-10,10728,33,798,26,307
151079,15927,6269,2020-04-09 22:00:00,2020-04-09,10693,32,780,25,335
140386,15592,5489,2020-04-08 22:00:00,2020-04-08,8556,31,731,24,1356
131830,14236,4758,2020-04-07 22:00:00,2020-04-07,8670,30,599,23,1259
123160,12977,4159,2020-04-06 22:00:00,2020-04-06,8986,29,594,22,1814
114174,11163,3565,2020-04-05 22:00:00,2020-04-05,11005,28,630,21,4501
103169,6662,2935,2020-04-04 21:00:00,2020-04-04,10426,27,467,20,155
92743,6507,2468,2020-04-03 21:00:00,2020-04-03,8697,26,248,19,98
84046,6409,2220,2020-04-02 21:00:00,2020-04-02,7997,25,506,18,6409
76049,0,1714,2020-04-01 21:00:00,2020-04-01,8665,24,372,17,0
67384,0,1342,2020-03-31 21:00:00,2020-03-31,7638,23,376,16,0
59746,0,966,2020-03-30 21:00:00,2020-03-30,6226,22,132,15,0
53520,0,834,2020-03-29 21:00:00,2020-03-29,7426,21,229,14,0
46094,0,605,2020-03-28 21:00:00,2020-03-28,6954,20,144,13,0
39140,0,461,2020-03-27 21:10:00,2020-03-27,6107,19,95,12,0
33033,0,366,2020-03-26 22:20:00,2020-03-26,6657,18,95,11,0
26376,0,271,2020-03-25 23:20:00,2020-03-25,3146,17,83,10,0
23230,0,188,2020-03-24 21:20:00,2020-03-24,6314,16,35,9,0
16916,0,153,2020-03-23 21:40:00,2020-03-23,4594,15,77,8,0
12322,0,76,2020-03-22 21:00:00,2020-03-22,3807,14,20,7,0
8515,0,56,2020-03-21 21:00:00,2020-03-21,2803,13,18,6,0
5712,0,38,2020-03-20 21:20:00,2020-03-20,2626,12,18,5,0
3086,0,20,2020-03-19 21:30:00,2020-03-19,1378,11,4,4,0
1708,0,16,2020-03-18 22:00:00,2020-03-18,739,10,6,3,0
969,0,10,2020-03-17 21:00:00,2020-03-17,223,9,4,2,0
746,0,6,2020-03-16 21:00:00,2020-03-16,133,8,4,1,0
613,0,2,2020-03-15 21:00:00,2020-03-15,191,7,2,0,0
422,0,0,2020-03-14 21:00:00,2020-03-14,97,6,0,0,0
325,0,0,2020-03-13 21:00:00,2020-03-13,106,5,0,0,0
219,0,0,2020-03-12 21:00:00,2020-03-12,43,4,0,0,0
176,0,0,2020-03-11 21:00:00,2020-03-11,33,3,0,0,0
143,0,0,2020-03-10 21:00:00,2020-03-10,38,2,0,0,0
