Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
260,254,3,2020-05-24 22:00:00,2020-05-24,0,58,0,45,1
260,253,3,2020-05-23 22:00:00,2020-05-23,0,57,0,44,0
260,253,3,2020-05-22 22:00:00,2020-05-22,0,56,0,43,0
260,253,3,2020-05-21 22:00:00,2020-05-21,0,55,0,42,3
260,250,3,2020-05-20 22:00:00,2020-05-20,0,54,0,41,1
260,249,3,2020-05-19 22:00:00,2020-05-19,0,53,0,40,0
260,249,3,2020-05-18 22:00:00,2020-05-18,0,52,0,39,0
260,249,3,2020-05-17 22:00:00,2020-05-17,0,51,0,38,1
260,248,3,2020-05-16 22:00:00,2020-05-16,0,50,0,37,0
260,248,3,2020-05-15 22:00:00,2020-05-15,0,49,0,36,1
260,247,3,2020-05-14 22:00:00,2020-05-14,0,48,0,35,0
260,247,3,2020-05-13 22:00:00,2020-05-13,0,47,0,34,3
260,244,3,2020-05-12 22:00:00,2020-05-12,0,46,0,33,0
260,244,3,2020-05-11 22:00:00,2020-05-11,0,45,0,32,0
260,244,3,2020-05-10 22:00:00,2020-05-10,0,44,0,31,0
260,244,3,2020-05-09 22:00:00,2020-05-09,0,43,0,30,0
260,244,3,2020-05-08 22:00:00,2020-05-08,1,42,0,29,0
259,244,3,2020-05-07 22:00:00,2020-05-07,0,41,0,28,3
259,241,3,2020-05-06 22:00:00,2020-05-06,0,40,0,27,8
259,233,3,2020-05-05 22:00:00,2020-05-05,0,39,0,26,1
259,232,3,2020-05-04 22:00:00,2020-05-04,0,38,0,25,1
259,231,3,2020-05-03 22:00:00,2020-05-03,0,37,0,24,1
259,230,3,2020-05-02 22:00:00,2020-05-02,1,36,0,23,5
258,225,3,2020-05-01 22:00:00,2020-05-01,0,35,0,22,0
258,225,3,2020-04-30 22:00:00,2020-04-30,0,34,0,21,3
258,222,3,2020-04-29 22:00:00,2020-04-29,0,33,0,20,1
258,221,3,2020-04-28 22:00:00,2020-04-28,0,32,0,19,2
258,219,3,2020-04-27 22:00:00,2020-04-27,1,31,0,18,11
257,208,3,2020-04-26 22:00:00,2020-04-26,1,30,0,17,1
256,207,3,2020-04-25 22:00:00,2020-04-25,0,29,0,16,2
256,205,3,2020-04-24 22:00:00,2020-04-24,0,28,0,15,6
256,199,3,2020-04-23 22:00:00,2020-04-23,-1,27,0,14,5
257,194,3,2020-04-22 22:00:00,2020-04-22,0,26,0,13,3
257,191,3,2020-04-21 22:00:00,2020-04-21,0,25,0,12,0
257,191,3,2020-04-20 22:00:00,2020-04-20,0,24,0,11,2
257,189,3,2020-04-19 22:00:00,2020-04-19,1,23,0,10,13
256,176,3,2020-04-18 22:00:00,2020-04-18,4,22,0,9,6
252,170,3,2020-04-17 22:00:00,2020-04-17,5,21,0,8,11
247,159,3,2020-04-16 22:00:00,2020-04-16,3,20,0,7,10
244,149,3,2020-04-15 22:00:00,2020-04-15,0,19,0,6,16
244,133,3,2020-04-14 22:00:00,2020-04-14,2,18,0,5,4
242,129,3,2020-04-13 22:00:00,2020-04-13,1,17,0,4,9
241,120,3,2020-04-12 22:00:00,2020-04-12,2,16,0,3,17
239,103,3,2020-04-11 22:00:00,2020-04-11,3,15,0,2,7
236,96,3,2020-04-10 22:00:00,2020-04-10,4,14,1,1,22
232,74,2,2020-04-09 22:00:00,2020-04-09,4,13,1,0,25
228,49,1,2020-04-08 22:00:00,2020-04-08,2,12,0,0,17
226,32,1,2020-04-07 22:00:00,2020-04-07,9,11,0,0,22
217,10,1,2020-04-06 22:00:00,2020-04-06,14,10,0,0,0
203,10,1,2020-04-05 22:00:00,2020-04-05,8,9,0,0,0
195,10,1,2020-04-04 21:00:00,2020-04-04,12,8,0,0,0
183,10,1,2020-04-03 21:00:00,2020-04-03,8,7,0,0,0
175,10,1,2020-04-02 21:00:00,2020-04-02,23,6,0,0,10
152,0,1,2020-04-01 21:00:00,2020-04-01,4,5,0,0,0
148,0,1,2020-03-31 21:00:00,2020-03-31,13,4,1,0,0
135,0,0,2020-03-30 21:00:00,2020-03-30,15,3,0,0,0
120,0,0,2020-03-29 21:00:00,2020-03-29,18,2,0,0,0
102,0,0,2020-03-28 21:00:00,2020-03-28,20,1,0,0,0
82,0,0,2020-03-27 21:10:00,2020-03-27,15,0,0,0,0
67,0,0,2020-03-26 22:20:00,2020-03-26,32,0,0,0,0
35,0,0,2020-03-25 23:20:00,2020-03-25,11,0,0,0,0
24,0,0,2020-03-24 21:20:00,2020-03-24,15,0,0,0,0
9,0,0,2020-03-23 21:40:00,2020-03-23,3,0,0,0,0
6,0,0,2020-03-22 21:00:00,2020-03-22,2,0,0,0,0
4,0,0,2020-03-21 21:00:00,2020-03-21,1,0,0,0,0
3,0,0,2020-03-20 21:20:00,2020-03-20,3,0,0,0,0
0,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
0,0,0,2020-03-18 22:00:00,2020-03-18,0,0,0,0,0
0,0,0,2020-03-17 21:00:00,2020-03-17,0,0,0,0,0
0,0,0,2020-03-16 21:00:00,2020-03-16,0,0,0,0,0
