Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
1036,911,67,2020-06-22 22:00:00,2020-06-22,1,80,0,85,0
1035,911,67,2020-06-21 22:00:00,2020-06-21,15,79,0,84,10
1020,901,67,2020-06-20 22:00:00,2020-06-20,0,78,0,83,0
1020,901,67,2020-06-19 22:00:00,2020-06-19,0,77,0,82,8
1020,893,67,2020-06-18 22:00:00,2020-06-18,4,76,1,81,8
1016,885,66,2020-06-17 22:00:00,2020-06-17,36,75,0,80,0
980,885,66,2020-06-16 22:00:00,2020-06-16,0,74,0,79,0
980,885,66,2020-06-15 22:00:00,2020-06-15,0,73,0,78,4
980,881,66,2020-06-14 22:00:00,2020-06-14,2,72,1,77,0
978,881,65,2020-06-13 22:00:00,2020-06-13,4,71,0,76,3
974,878,65,2020-06-12 22:00:00,2020-06-12,0,70,0,75,2
974,876,65,2020-06-11 22:00:00,2020-06-11,0,69,0,74,5
974,871,65,2020-06-10 22:00:00,2020-06-10,1,68,0,73,2
973,869,65,2020-06-09 22:00:00,2020-06-09,0,67,0,72,2
973,867,65,2020-06-08 22:00:00,2020-06-08,3,66,0,71,0
970,867,65,2020-06-07 22:00:00,2020-06-07,4,65,0,70,4
966,863,65,2020-06-06 22:00:00,2020-06-06,3,64,0,69,3
963,860,65,2020-06-05 22:00:00,2020-06-05,2,63,0,68,3
961,857,65,2020-06-04 22:00:00,2020-06-04,1,62,0,67,9
960,848,65,2020-06-03 22:00:00,2020-06-03,2,61,0,66,4
958,844,65,2020-06-02 22:00:00,2020-06-02,0,60,1,65,5
958,839,64,2020-06-01 22:00:00,2020-06-01,2,59,0,64,21
956,818,64,2020-05-31 22:00:00,2020-05-31,1,58,0,63,5
955,813,64,2020-05-30 22:00:00,2020-05-30,0,57,0,62,10
955,803,64,2020-05-29 22:00:00,2020-05-29,3,56,1,61,7
952,796,63,2020-05-28 22:00:00,2020-05-28,0,55,0,60,0
952,796,63,2020-05-27 22:00:00,2020-05-27,1,54,1,59,10
951,786,62,2020-05-26 22:00:00,2020-05-26,6,53,1,58,3
945,783,61,2020-05-25 22:00:00,2020-05-25,2,52,0,57,8
943,775,61,2020-05-24 22:00:00,2020-05-24,6,51,1,56,11
937,764,60,2020-05-23 22:00:00,2020-05-23,13,50,0,55,11
924,753,60,2020-05-22 22:00:00,2020-05-22,4,49,2,54,15
920,738,58,2020-05-21 22:00:00,2020-05-21,6,48,3,53,4
914,734,55,2020-05-20 22:00:00,2020-05-20,5,47,0,52,20
909,714,55,2020-05-19 22:00:00,2020-05-19,5,46,1,51,16
904,698,54,2020-05-18 22:00:00,2020-05-18,15,45,3,50,9
889,689,51,2020-05-17 22:00:00,2020-05-17,4,44,0,49,5
885,684,51,2020-05-16 22:00:00,2020-05-16,9,43,1,48,7
876,677,50,2020-05-15 22:00:00,2020-05-15,16,42,1,47,19
860,658,49,2020-05-14 22:00:00,2020-05-14,6,41,2,46,10
854,648,47,2020-05-13 22:00:00,2020-05-13,22,40,1,45,11
832,637,46,2020-05-12 22:00:00,2020-05-12,11,39,0,44,13
821,624,46,2020-05-11 22:00:00,2020-05-11,6,38,1,43,7
815,617,45,2020-05-10 22:00:00,2020-05-10,20,37,1,42,17
795,600,44,2020-05-09 22:00:00,2020-05-09,14,36,2,41,14
781,586,42,2020-05-08 22:00:00,2020-05-08,11,35,4,40,25
770,561,38,2020-05-07 22:00:00,2020-05-07,7,34,0,39,18
763,543,38,2020-05-06 22:00:00,2020-05-06,8,33,1,38,9
755,534,37,2020-05-05 22:00:00,2020-05-05,5,32,1,37,16
750,518,36,2020-05-04 22:00:00,2020-05-04,14,31,1,36,11
736,507,35,2020-05-03 22:00:00,2020-05-03,8,30,2,35,29
728,478,33,2020-05-02 22:00:00,2020-05-02,9,29,1,34,26
719,452,32,2020-05-01 22:00:00,2020-05-01,6,28,0,33,17
713,435,32,2020-04-30 22:00:00,2020-04-30,4,27,1,32,32
709,403,31,2020-04-29 22:00:00,2020-04-29,8,26,2,31,18
701,385,29,2020-04-28 22:00:00,2020-04-28,5,25,0,30,35
696,350,29,2020-04-27 22:00:00,2020-04-27,12,24,2,29,25
684,325,27,2020-04-26 22:00:00,2020-04-26,3,23,3,28,36
681,289,24,2020-04-25 22:00:00,2020-04-25,10,22,0,27,33
671,256,24,2020-04-24 22:00:00,2020-04-24,9,21,2,26,63
662,193,22,2020-04-23 22:00:00,2020-04-23,5,20,2,25,66
657,127,20,2020-04-22 22:00:00,2020-04-22,2,19,0,24,3
655,124,20,2020-04-21 22:00:00,2020-04-21,7,18,0,23,7
648,117,20,2020-04-20 22:00:00,2020-04-20,9,17,1,22,4
639,113,19,2020-04-19 22:00:00,2020-04-19,12,16,1,21,3
627,110,18,2020-04-18 22:00:00,2020-04-18,18,15,3,20,5
609,105,15,2020-04-17 22:00:00,2020-04-17,25,14,1,19,15
584,90,14,2020-04-16 22:00:00,2020-04-16,14,13,0,18,0
570,90,14,2020-04-15 22:00:00,2020-04-15,22,12,1,17,4
548,86,13,2020-04-14 22:00:00,2020-04-14,19,11,1,16,11
529,75,12,2020-04-13 22:00:00,2020-04-13,38,10,1,15,34
491,41,11,2020-04-12 22:00:00,2020-04-12,53,9,0,14,0
438,41,11,2020-04-11 22:00:00,2020-04-11,28,8,0,13,1
