Confirmed,DayElapsed_death,Deaths,New,New_death,New_recover,Recovered,Date_last_updated_AEDT,date_day,DayElapsed
1121104,58,64418,26388,2627,7321,151824,2020-04-29 15:00:00,2020-04-29,59
1094716,57,61791,27359,1551,6470,144503,2020-04-28 22:00:00,2020-04-28,58
1067357,56,60240,30321,1441,3598,138033,2020-04-27 22:00:00,2020-04-27,57
1037036,55,58799,34726,2038,7815,134435,2020-04-26 22:00:00,2020-04-26,56
1002310,54,56761,40422,2378,24040,126620,2020-04-25 22:00:00,2020-04-25,55
961888,53,54383,50614,3099,6876,102580,2020-04-24 22:00:00,2020-04-24,54
911274,52,51284,32683,2888,4258,95704,2020-04-23 22:00:00,2020-04-23,53
878591,51,48396,28861,2788,2560,91446,2020-04-22 22:00:00,2020-04-22,52
849730,50,45608,29789,1849,2668,88886,2020-04-21 22:00:00,2020-04-21,51
819941,49,43759,29169,1823,5587,86218,2020-04-20 22:00:00,2020-04-20,50
790772,48,41936,31160,2321,8337,80631,2020-04-19 22:00:00,2020-04-19,49
759612,47,39615,38540,6605,4263,72294,2020-04-18 22:00:00,2020-04-18,48
721072,46,33010,35594,2493,3921,68031,2020-04-17 22:00:00,2020-04-17,47
685478,45,30517,32352,2697,3581,64110,2020-04-16 22:00:00,2020-04-16,46
653126,44,27820,28730,2624,6335,60529,2020-04-15 22:00:00,2020-04-15,45
624396,43,25196,27275,1657,3050,54194,2020-04-14 22:00:00,2020-04-14,44
597121,42,23539,29678,1645,10332,51144,2020-04-13 22:00:00,2020-04-13,43
567443,41,21894,30507,1975,4772,40812,2020-04-12 22:00:00,2020-04-12,42
536936,40,19919,38090,2214,3371,36040,2020-04-11 22:00:00,2020-04-11,41
498846,39,17705,36838,1999,3144,32669,2020-04-10 22:00:00,2020-04-10,40
462008,38,15706,34878,2008,2204,29525,2020-04-09 22:00:00,2020-04-09,39
427130,37,13698,33799,2031,2903,27321,2020-04-08 22:00:00,2020-04-08,38
393331,36,11667,31837,1424,2903,24418,2020-04-07 22:00:00,2020-04-07,37
361494,35,10243,28272,1237,2910,21515,2020-04-06 22:00:00,2020-04-06,36
333222,34,9006,35725,1433,5594,18605,2020-04-05 22:00:00,2020-04-05,35
297497,33,7573,34758,1178,1035,13011,2020-04-04 21:00:00,2020-04-04,34
262739,32,6395,30811,966,1611,11976,2020-04-03 21:00:00,2020-04-03,33
231928,31,5429,28755,1099,1716,10365,2020-04-02 21:00:00,2020-04-02,32
203173,30,4330,26706,938,1917,8649,2020-04-01 21:00:00,2020-04-01,31
176467,29,3392,23013,707,1504,6732,2020-03-31 21:00:00,2020-03-31,30
153454,28,2685,19553,351,1420,5228,2020-03-30 21:00:00,2020-03-30,29
133901,27,2334,21286,503,894,3808,2020-03-29 21:00:00,2020-03-29,28
112615,26,1831,19977,448,791,2914,2020-03-28 21:00:00,2020-03-28,27
92638,25,1383,17909,265,1616,2123,2020-03-27 21:10:00,2020-03-27,26
74729,24,1118,14943,263,9,507,2020-03-26 22:20:00,2020-03-26,25
59786,23,855,9765,216,298,498,2020-03-25 23:20:00,2020-03-25,24
50021,22,639,12041,130,4,200,2020-03-24 21:20:00,2020-03-24,23
37980,21,509,8769,127,0,196,2020-03-23 21:40:00,2020-03-23,22
