Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
737,286,10,2020-04-22 22:00:00,2020-04-22,16,25,1,9,38
721,248,9,2020-04-21 22:00:00,2020-04-21,0,24,0,8,0
721,248,9,2020-04-20 22:00:00,2020-04-20,72,23,2,7,64
649,184,7,2020-04-19 22:00:00,2020-04-19,43,22,3,6,7
606,177,4,2020-04-18 22:00:00,2020-04-18,27,21,1,5,1
579,176,3,2020-04-17 22:00:00,2020-04-17,30,20,0,4,39
549,137,3,2020-04-16 22:00:00,2020-04-16,32,19,0,3,13
517,124,3,2020-04-15 22:00:00,2020-04-15,43,18,0,2,23
474,101,3,2020-04-14 22:00:00,2020-04-14,29,17,1,1,4
445,97,2,2020-04-13 22:00:00,2020-04-13,17,16,0,0,2
428,95,2,2020-04-12 22:00:00,2020-04-12,21,15,0,0,2
407,93,2,2020-04-11 22:00:00,2020-04-11,34,14,0,0,11
373,82,2,2020-04-10 22:00:00,2020-04-10,31,13,1,0,5
342,77,1,2020-04-09 22:00:00,2020-04-09,32,12,0,0,13
310,64,1,2020-04-08 22:00:00,2020-04-08,17,11,1,0,0
293,64,0,2020-04-07 22:00:00,2020-04-07,31,10,0,0,11
262,53,0,2020-04-06 22:00:00,2020-04-06,26,9,0,0,3
236,50,0,2020-04-05 22:00:00,2020-04-05,29,8,0,0,29
207,21,0,2020-04-04 21:00:00,2020-04-04,14,7,0,0,5
193,16,0,2020-04-03 21:00:00,2020-04-03,20,6,0,0,6
173,10,0,2020-04-02 21:00:00,2020-04-02,26,5,0,0,10
147,0,0,2020-04-01 21:00:00,2020-04-01,20,4,0,0,0
127,0,0,2020-03-31 21:00:00,2020-03-31,5,3,0,0,0
122,0,0,2020-03-30 21:00:00,2020-03-30,12,2,0,0,0
110,0,0,2020-03-29 21:00:00,2020-03-29,20,1,0,0,0
90,0,0,2020-03-28 21:00:00,2020-03-28,17,0,0,0,0
73,0,0,2020-03-27 21:10:00,2020-03-27,5,0,0,0,0
68,0,0,2020-03-26 22:20:00,2020-03-26,17,0,0,0,0
51,0,0,2020-03-25 23:20:00,2020-03-25,10,0,0,0,0
41,0,0,2020-03-24 21:20:00,2020-03-24,13,0,0,0,0
28,0,0,2020-03-23 21:40:00,2020-03-23,7,0,0,0,0
21,0,0,2020-03-22 21:00:00,2020-03-22,6,0,0,0,0
15,0,0,2020-03-21 21:00:00,2020-03-21,1,0,0,0,0
14,0,0,2020-03-20 21:20:00,2020-03-20,2,0,0,0,0
12,0,0,2020-03-19 21:30:00,2020-03-19,5,0,0,0,0
7,0,0,2020-03-18 22:00:00,2020-03-18,2,0,0,0,0
5,0,0,2020-03-17 21:00:00,2020-03-17,2,0,0,0,0
3,0,0,2020-03-16 21:00:00,2020-03-16,3,0,0,0,0
0,0,0,2020-03-15 21:00:00,2020-03-15,0,0,0,0,0
0,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
0,0,0,2020-03-13 21:00:00,2020-03-13,0,0,0,0,0
0,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
0,0,0,2020-03-11 21:00:00,2020-03-11,0,0,0,0,0
0,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
