Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
33536,17972,142,2020-06-24 22:00:00,2020-06-24,1142,91,2,76,693
32394,17279,140,2020-06-23 22:00:00,2020-06-23,1318,90,3,75,871
31076,16408,137,2020-06-22 22:00:00,2020-06-22,1605,89,6,74,856
29471,15552,131,2020-06-21 22:00:00,2020-06-21,905,88,3,73,772
28566,14780,128,2020-06-20 22:00:00,2020-06-20,896,87,3,72,806
27670,13974,125,2020-06-19 22:00:00,2020-06-19,852,86,6,71,710
26818,13264,119,2020-06-18 22:00:00,2020-06-18,739,85,3,70,1467
26079,11797,116,2020-06-17 22:00:00,2020-06-17,810,84,2,69,708
25269,11089,114,2020-06-16 22:00:00,2020-06-16,745,83,6,68,1556
24524,9533,108,2020-06-15 22:00:00,2020-06-15,1043,82,4,67,1079
23481,8454,104,2020-06-14 22:00:00,2020-06-14,1404,81,5,66,924
22077,7530,99,2020-06-13 22:00:00,2020-06-13,1006,80,3,65,41
21071,7489,96,2020-06-12 22:00:00,2020-06-12,1117,79,7,64,866
19954,6623,89,2020-06-11 22:00:00,2020-06-11,1067,78,5,63,2294
18887,4329,84,2020-06-10 22:00:00,2020-06-10,689,77,1,62,177
18198,4152,83,2020-06-09 22:00:00,2020-06-09,712,76,2,61,359
17486,3793,81,2020-06-08 22:00:00,2020-06-08,604,75,6,60,342
16882,3451,75,2020-06-07 22:00:00,2020-06-07,866,74,3,59,0
16016,3451,72,2020-06-06 22:00:00,2020-06-06,930,73,0,58,0
15086,3451,72,2020-06-05 22:00:00,2020-06-05,770,72,5,57,0
14316,3451,67,2020-06-04 22:00:00,2020-06-04,779,71,0,56,606
13537,2845,67,2020-06-03 22:00:00,2020-06-03,738,70,8,55,33
12799,2812,59,2020-06-02 22:00:00,2020-06-02,576,69,9,54,130
12223,2682,50,2020-06-01 22:00:00,2020-06-01,786,68,6,53,286
11437,2396,44,2020-05-31 22:00:00,2020-05-31,1014,67,2,52,0
10423,2396,42,2020-05-30 22:00:00,2020-05-30,603,66,2,51,0
9820,2396,40,2020-05-29 22:00:00,2020-05-29,811,65,0,50,219
9009,2177,40,2020-05-28 22:00:00,2020-05-28,636,64,2,49,0
8373,2177,38,2020-05-27 22:00:00,2020-05-27,255,63,1,48,110
8118,2067,37,2020-05-26 22:00:00,2020-05-26,348,62,0,47,134
7770,1933,37,2020-05-25 22:00:00,2020-05-25,0,61,1,46,0
7770,1933,36,2020-05-24 22:00:00,2020-05-24,513,60,2,45,85
7257,1848,34,2020-05-23 22:00:00,2020-05-23,463,59,2,44,27
6794,1821,32,2020-05-22 22:00:00,2020-05-22,424,58,2,43,0
6370,1821,30,2020-05-21 22:00:00,2020-05-21,327,57,2,42,160
6043,1661,28,2020-05-20 22:00:00,2020-05-20,372,56,2,41,87
5671,1574,26,2020-05-19 22:00:00,2020-05-19,292,55,1,40,78
5379,1496,25,2020-05-18 22:00:00,2020-05-18,193,54,3,39,31
5186,1465,22,2020-05-17 22:00:00,2020-05-17,157,53,2,38,29
5029,1436,20,2020-05-16 22:00:00,2020-05-16,404,52,1,37,86
4625,1350,19,2020-05-15 22:00:00,2020-05-15,284,51,2,36,47
4341,1303,17,2020-05-14 22:00:00,2020-05-14,322,50,0,35,14
4019,1289,17,2020-05-13 22:00:00,2020-05-13,298,49,0,34,39
3721,1250,17,2020-05-12 22:00:00,2020-05-12,148,48,0,33,39
3573,1211,17,2020-05-11 22:00:00,2020-05-11,174,47,0,32,94
3399,1117,17,2020-05-10 22:00:00,2020-05-10,175,46,0,31,49
3224,1068,17,2020-05-09 22:00:00,2020-05-09,112,45,2,30,43
3112,1025,15,2020-05-08 22:00:00,2020-05-08,154,44,1,29,45
2958,980,14,2020-05-07 22:00:00,2020-05-07,55,43,1,28,92
2903,888,13,2020-05-06 22:00:00,2020-05-06,168,42,1,27,30
2735,858,12,2020-05-05 22:00:00,2020-05-05,98,41,0,26,42
2637,816,12,2020-05-04 22:00:00,2020-05-04,69,40,0,25,66
2568,750,12,2020-05-03 22:00:00,2020-05-03,85,39,1,24,0
2483,750,11,2020-05-02 22:00:00,2020-05-02,36,38,0,23,255
2447,495,11,2020-05-01 22:00:00,2020-05-01,99,37,0,22,0
2348,495,11,2020-04-30 22:00:00,2020-04-30,74,36,1,21,131
2274,364,10,2020-04-29 22:00:00,2020-04-29,143,35,0,20,0
2131,364,10,2020-04-28 22:00:00,2020-04-28,82,34,0,19,0
2049,364,10,2020-04-27 22:00:00,2020-04-27,51,33,0,18,31
1998,333,10,2020-04-26 22:00:00,2020-04-26,93,32,0,17,4
1905,329,10,2020-04-25 22:00:00,2020-04-25,115,31,1,16,4
1790,325,9,2020-04-24 22:00:00,2020-04-24,74,30,1,15,18
1716,307,8,2020-04-23 22:00:00,2020-04-23,102,29,0,14,69
1614,238,8,2020-04-22 22:00:00,2020-04-22,106,28,0,13,0
1508,238,8,2020-04-21 22:00:00,2020-04-21,98,27,1,12,0
1410,238,7,2020-04-20 22:00:00,2020-04-20,144,26,1,11,5
1266,233,6,2020-04-19 22:00:00,2020-04-19,86,25,0,10,57
1180,176,6,2020-04-18 22:00:00,2020-04-18,111,24,1,9,0
1069,176,5,2020-04-17 22:00:00,2020-04-17,50,23,1,8,0
1019,176,4,2020-04-16 22:00:00,2020-04-16,109,22,0,7,45
910,131,4,2020-04-15 22:00:00,2020-04-15,97,21,0,6,1
813,130,4,2020-04-14 22:00:00,2020-04-14,86,20,0,5,6
727,124,4,2020-04-13 22:00:00,2020-04-13,128,19,1,4,15
599,109,3,2020-04-12 22:00:00,2020-04-12,53,18,0,3,0
546,109,3,2020-04-11 22:00:00,2020-04-11,62,17,0,2,0
484,109,3,2020-04-10 22:00:00,2020-04-10,27,16,1,1,0
457,109,2,2020-04-09 22:00:00,2020-04-09,38,15,0,0,37
419,72,2,2020-04-08 22:00:00,2020-04-08,48,14,0,0,5
371,67,2,2020-04-07 22:00:00,2020-04-07,40,13,0,0,6
331,61,2,2020-04-06 22:00:00,2020-04-06,33,12,0,0,0
298,61,2,2020-04-05 22:00:00,2020-04-05,21,11,1,0,0
277,61,1,2020-04-04 21:00:00,2020-04-04,25,10,0,0,4
252,57,1,2020-04-03 21:00:00,2020-04-03,21,9,0,0,0
231,57,1,2020-04-02 21:00:00,2020-04-02,21,8,0,0,23
210,34,1,2020-04-01 21:00:00,2020-04-01,18,7,1,0,0
192,34,0,2020-03-31 21:00:00,2020-03-31,25,6,0,0,11
167,23,0,2020-03-30 21:00:00,2020-03-30,0,5,0,0,0
167,23,0,2020-03-29 21:00:00,2020-03-29,15,4,0,0,0
152,23,0,2020-03-28 21:00:00,2020-03-28,21,3,0,0,0
131,23,0,2020-03-27 21:10:00,2020-03-27,22,2,0,0,0
