Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
148921,56390,2839,2020-06-16 22:00:00,2020-06-16,4443,92,110,89,2669
144478,53721,2729,2020-06-15 22:00:00,2020-06-15,5248,91,97,88,1986
139230,51735,2632,2020-06-14 22:00:00,2020-06-14,6825,90,81,87,1679
132405,50056,2551,2020-06-13 22:00:00,2020-06-13,6472,89,88,86,9809
125933,40247,2463,2020-06-12 22:00:00,2020-06-12,6397,88,107,85,1856
119536,38391,2356,2020-06-11 22:00:00,2020-06-11,5834,87,101,84,2083
113702,36308,2255,2020-06-10 22:00:00,2020-06-10,5385,86,83,83,1290
108317,35018,2172,2020-06-09 22:00:00,2020-06-09,4646,85,105,82,663
103671,34355,2067,2020-06-08 22:00:00,2020-06-08,4728,84,65,81,890
98943,33465,2002,2020-06-07 22:00:00,2020-06-07,4960,83,67,80,884
93983,32581,1935,2020-06-06 22:00:00,2020-06-06,4734,82,97,79,1383
89249,31198,1838,2020-06-05 22:00:00,2020-06-05,3985,81,68,78,1070
85264,30128,1770,2020-06-04 22:00:00,2020-06-04,4801,80,82,77,1205
80463,28923,1688,2020-06-03 22:00:00,2020-06-03,4065,79,67,76,1813
76398,27110,1621,2020-06-02 22:00:00,2020-06-02,3938,78,78,75,1027
72460,26083,1543,2020-06-01 22:00:00,2020-06-01,2964,77,60,74,812
69496,25271,1483,2020-05-31 22:00:00,2020-05-31,3039,76,88,73,1140
66457,24131,1395,2020-05-30 22:00:00,2020-05-30,2429,75,78,72,1826
64028,22305,1317,2020-05-29 22:00:00,2020-05-29,2801,74,57,71,2074
61227,20231,1260,2020-05-28 22:00:00,2020-05-28,2076,73,35,70,1089
59151,19142,1225,2020-05-27 22:00:00,2020-05-27,1446,72,28,69,828
57705,18314,1197,2020-05-26 22:00:00,2020-05-26,1356,71,30,68,832
56349,17482,1167,2020-05-25 22:00:00,2020-05-25,1748,70,34,67,284
54601,17198,1133,2020-05-24 22:00:00,2020-05-24,2164,69,32,66,545
52437,16653,1101,2020-05-23 22:00:00,2020-05-23,1743,68,34,65,1452
50694,15201,1067,2020-05-22 22:00:00,2020-05-22,2603,67,50,64,1046
48091,14155,1017,2020-05-21 22:00:00,2020-05-21,2193,66,32,63,1054
45898,13101,985,2020-05-20 22:00:00,2020-05-20,1932,65,46,62,612
43966,12489,939,2020-05-19 22:00:00,2020-05-19,1841,64,36,61,567
42125,11922,903,2020-05-18 22:00:00,2020-05-18,1974,63,30,60,581
40151,11341,873,2020-05-17 22:00:00,2020-05-17,1352,62,39,59,461
38799,10880,834,2020-05-16 22:00:00,2020-05-16,1581,61,31,58,725
37218,10155,803,2020-05-15 22:00:00,2020-05-15,1430,60,33,57,460
35788,9695,770,2020-05-14 22:00:00,2020-05-14,1452,59,33,56,883
34336,8812,737,2020-05-13 22:00:00,2020-05-13,1662,58,13,55,257
32674,8555,724,2020-05-12 22:00:00,2020-05-12,1733,57,57,54,343
30941,8212,667,2020-05-11 22:00:00,2020-05-11,1476,56,28,53,189
29465,8023,639,2020-05-10 22:00:00,2020-05-10,1991,55,21,52,267
27474,7756,618,2020-05-09 22:00:00,2020-05-09,1637,54,24,51,226
25837,7530,594,2020-05-08 22:00:00,2020-05-08,1764,53,30,50,1066
24073,6464,564,2020-05-07 22:00:00,2020-05-07,1523,52,38,49,247
22550,6217,526,2020-05-06 22:00:00,2020-05-06,1049,51,40,48,435
21501,5782,486,2020-05-05 22:00:00,2020-05-05,1315,50,24,47,192
20186,5590,462,2020-05-04 22:00:00,2020-05-04,1083,49,22,46,773
19103,4817,440,2020-05-03 22:00:00,2020-05-03,989,48,23,45,102
18114,4715,417,2020-05-02 22:00:00,2020-05-02,675,47,26,44,400
17439,4315,391,2020-05-01 22:00:00,2020-05-01,1680,46,45,43,263
15759,4052,346,2020-04-30 22:00:00,2020-04-30,874,45,19,42,627
14885,3425,327,2020-04-29 22:00:00,2020-04-29,806,44,26,41,192
14079,3233,301,2020-04-28 22:00:00,2020-04-28,751,43,20,40,204
13328,3029,281,2020-04-27 22:00:00,2020-04-27,605,42,12,39,163
12723,2866,269,2020-04-26 22:00:00,2020-04-26,535,41,13,38,111
12188,2755,256,2020-04-25 22:00:00,2020-04-25,1033,40,19,37,228
11155,2527,237,2020-04-24 22:00:00,2020-04-24,642,39,13,36,190
10513,2337,224,2020-04-23 22:00:00,2020-04-23,764,38,15,35,181
9749,2156,209,2020-04-22 22:00:00,2020-04-22,533,37,17,34,90
9216,2066,192,2020-04-21 22:00:00,2020-04-21,798,36,16,33,96
8418,1970,176,2020-04-20 22:00:00,2020-04-20,425,35,17,32,102
7993,1868,159,2020-04-19 22:00:00,2020-04-19,512,34,16,31,36
7481,1832,143,2020-04-18 22:00:00,2020-04-18,456,33,8,30,67
7025,1765,135,2020-04-17 22:00:00,2020-04-17,520,32,11,29,120
6505,1645,124,2020-04-16 22:00:00,2020-04-16,517,31,17,28,199
5988,1446,107,2020-04-15 22:00:00,2020-04-15,272,30,11,27,68
5716,1378,96,2020-04-14 22:00:00,2020-04-14,342,29,3,26,283
5374,1095,93,2020-04-13 22:00:00,2020-04-13,204,28,5,25,69
5170,1026,88,2020-04-12 22:00:00,2020-04-12,278,27,11,24,264
4892,762,77,2020-04-11 22:00:00,2020-04-11,291,26,11,23,35
4601,727,66,2020-04-10 22:00:00,2020-04-10,187,25,3,22,155
4414,572,63,2020-04-09 22:00:00,2020-04-09,342,24,5,21,105
4072,467,58,2020-04-08 22:00:00,2020-04-08,68,23,3,20,38
4004,429,55,2020-04-07 22:00:00,2020-04-07,727,22,5,19,172
3277,257,50,2020-04-06 22:00:00,2020-04-06,380,21,5,18,87
2897,170,45,2020-04-05 22:00:00,2020-04-05,189,20,5,17,40
2708,130,40,2020-04-04 21:00:00,2020-04-04,258,19,5,16,4
2450,126,35,2020-04-03 21:00:00,2020-04-03,159,18,4,15,19
2291,107,31,2020-04-02 21:00:00,2020-04-02,249,17,5,14,25
2042,82,26,2020-04-01 21:00:00,2020-04-01,177,16,1,13,6
1865,76,25,2020-03-31 21:00:00,2020-03-31,240,15,7,12,47
1625,29,18,2020-03-30 21:00:00,2020-03-30,99,14,5,11,0
1526,29,13,2020-03-29 21:00:00,2020-03-29,118,13,2,10,4
1408,25,11,2020-03-28 21:00:00,2020-03-28,156,12,2,9,2
1252,23,9,2020-03-27 21:10:00,2020-03-27,129,11,1,8,2
1123,21,8,2020-03-26 22:20:00,2020-03-26,123,10,0,7,0
1000,21,8,2020-03-25 23:20:00,2020-03-25,92,9,1,6,8
908,13,7,2020-03-24 21:20:00,2020-03-24,104,8,1,5,0
804,13,6,2020-03-23 21:40:00,2020-03-23,159,7,3,4,0
645,13,3,2020-03-22 21:00:00,2020-03-22,111,6,0,3,0
534,13,3,2020-03-21 21:00:00,2020-03-21,78,5,0,2,0
456,13,3,2020-03-20 21:20:00,2020-03-20,125,4,1,1,0
331,13,2,2020-03-19 21:30:00,2020-03-19,77,3,1,0,11
254,2,1,2020-03-18 22:00:00,2020-03-18,60,2,0,0,0
194,2,1,2020-03-17 21:00:00,2020-03-17,100,1,1,0,0
94,2,0,2020-03-16 21:00:00,2020-03-16,61,0,0,0,0
33,2,0,2020-03-15 21:00:00,2020-03-15,5,0,0,0,0
28,2,0,2020-03-14 21:00:00,2020-03-14,6,0,0,0,0
22,2,0,2020-03-13 21:00:00,2020-03-13,2,0,0,0,0
20,2,0,2020-03-12 21:00:00,2020-03-12,1,0,0,0,0
19,2,0,2020-03-11 21:00:00,2020-03-11,3,0,0,0,0
16,2,0,2020-03-10 21:00:00,2020-03-10,9,0,0,0,1
7,1,0,2020-03-09 21:00:00,2020-03-09,1,0,0,0,0
6,1,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
6,1,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,1
6,0,0,2020-03-06 21:00:00,2020-03-06,1,0,0,0,0
5,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
5,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
5,0,0,2020-03-03 21:00:00,2020-03-03,1,0,0,0,0
4,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
4,0,0,2020-03-01 21:00:00,2020-03-01,2,0,0,0,0
2,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
2,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
2,0,0,2020-02-27 21:00:00,2020-02-27,2,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
