Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
10469,3752,76,2020-07-27 22:00:00,2020-07-27,163,121,1,65,470
10306,3282,75,2020-07-26 22:00:00,2020-07-26,213,120,5,64,562
10093,2720,70,2020-07-25 22:00:00,2020-07-25,0,119,0,63,0
10093,2720,70,2020-07-24 22:00:00,2020-07-24,349,118,4,62,0
9744,2720,66,2020-07-23 22:00:00,2020-07-23,346,117,2,61,788
9398,1932,64,2020-07-22 22:00:00,2020-07-22,170,116,0,60,0
9228,1932,64,2020-07-21 22:00:00,2020-07-21,312,115,2,59,11
8916,1921,62,2020-07-20 22:00:00,2020-07-20,367,114,3,58,0
8549,1921,59,2020-07-19 22:00:00,2020-07-19,349,113,4,57,325
8200,1596,55,2020-07-18 22:00:00,2020-07-18,436,112,4,56,104
7764,1492,51,2020-07-17 22:00:00,2020-07-17,700,111,5,55,408
7064,1084,46,2020-07-16 22:00:00,2020-07-16,300,110,2,54,0
6764,1084,44,2020-07-15 22:00:00,2020-07-15,0,109,2,53,0
6764,1084,42,2020-07-14 22:00:00,2020-07-14,291,108,4,52,0
6473,1084,38,2020-07-13 22:00:00,2020-07-13,243,107,4,51,142
6230,942,34,2020-07-12 22:00:00,2020-07-12,299,106,5,50,406
5931,536,29,2020-07-11 22:00:00,2020-07-11,380,105,2,49,0
5551,536,27,2020-07-10 22:00:00,2020-07-10,331,104,5,48,11
5220,525,22,2020-07-09 22:00:00,2020-07-09,191,103,3,47,31
5029,494,19,2020-07-08 22:00:00,2020-07-08,382,102,1,46,3
4647,491,18,2020-07-07 22:00:00,2020-07-07,308,101,1,45,0
4339,491,17,2020-07-06 22:00:00,2020-07-06,296,100,2,44,28
4043,463,15,2020-07-05 22:00:00,2020-07-05,444,99,3,43,0
3599,463,12,2020-07-04 22:00:00,2020-07-04,451,98,2,42,0
3148,463,10,2020-07-03 22:00:00,2020-07-03,170,97,2,41,3
2978,460,8,2020-07-02 22:00:00,2020-07-02,270,96,0,40,0
2708,460,8,2020-07-01 22:00:00,2020-07-01,318,95,3,39,9
2390,451,5,2020-06-30 22:00:00,2020-06-30,303,94,0,38,4
2087,447,5,2020-06-29 22:00:00,2020-06-29,233,93,1,37,0
1854,447,4,2020-06-28 22:00:00,2020-06-28,230,92,1,36,1
1624,446,3,2020-06-27 22:00:00,2020-06-27,110,91,0,35,0
1514,446,3,2020-06-26 22:00:00,2020-06-26,152,90,0,34,4
1362,442,3,2020-06-25 22:00:00,2020-06-25,51,89,0,33,0
1311,442,3,2020-06-24 22:00:00,2020-06-24,233,88,0,32,0
1078,442,3,2020-06-23 22:00:00,2020-06-23,163,87,0,31,3
915,439,3,2020-06-22 22:00:00,2020-06-22,88,86,0,30,0
827,439,3,2020-06-21 22:00:00,2020-06-21,68,85,0,29,2
759,437,3,2020-06-20 22:00:00,2020-06-20,120,84,0,28,0
639,437,3,2020-06-19 22:00:00,2020-06-19,60,83,0,27,22
579,415,3,2020-06-18 22:00:00,2020-06-18,65,82,0,26,0
514,415,3,2020-06-17 22:00:00,2020-06-17,8,81,0,25,0
506,415,3,2020-06-16 22:00:00,2020-06-16,14,80,0,24,0
