Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
4467,165,126,2020-04-20 21:00:00,2020-04-20,194,33,6,30,25
4273,140,120,2020-04-19 22:00:00,2020-04-19,63,32,4,29,18
4210,122,116,2020-04-18 22:00:00,2020-04-18,194,31,7,28,24
4016,98,109,2020-04-17 22:00:00,2020-04-17,265,30,6,27,23
3751,75,103,2020-04-16 22:00:00,2020-04-16,177,29,8,26,3
3574,72,95,2020-04-15 22:00:00,2020-04-15,102,28,1,25,11
3472,61,94,2020-04-14 22:00:00,2020-04-14,72,27,7,24,32
3400,29,87,2020-04-13 22:00:00,2020-04-13,166,26,8,23,6
3234,23,79,2020-04-12 22:00:00,2020-04-12,260,25,5,22,6
2974,17,74,2020-04-11 22:00:00,2020-04-11,222,24,8,21,1
2752,16,66,2020-04-10 22:00:00,2020-04-10,224,23,3,20,0
2528,16,63,2020-04-09 22:00:00,2020-04-09,279,22,4,19,0
2249,16,59,2020-04-08 22:00:00,2020-04-08,149,21,4,18,2
2100,14,55,2020-04-07 22:00:00,2020-04-07,112,20,1,17,1
1988,13,54,2020-04-06 22:00:00,2020-04-06,187,19,8,16,0
1801,13,46,2020-04-05 22:00:00,2020-04-05,128,18,5,15,3
1673,10,41,2020-04-04 21:00:00,2020-04-04,198,17,4,14,1
1475,9,37,2020-04-03 21:00:00,2020-04-03,158,16,5,13,0
1317,9,32,2020-04-02 21:00:00,2020-04-02,136,15,2,12,0
1181,9,30,2020-04-01 21:00:00,2020-04-01,106,14,3,11,0
1075,9,27,2020-03-31 21:00:00,2020-03-31,86,13,3,10,5
989,4,24,2020-03-30 21:00:00,2020-03-30,88,12,7,9,0
901,4,17,2020-03-29 21:00:00,2020-03-29,115,11,3,8,2
786,2,14,2020-03-28 21:00:00,2020-03-28,112,10,5,7,0
674,2,9,2020-03-27 21:10:00,2020-03-27,116,9,1,6,0
558,2,8,2020-03-26 22:20:00,2020-03-26,115,8,2,5,1
443,1,6,2020-03-25 23:20:00,2020-03-25,98,7,0,4,0
345,1,6,2020-03-24 21:20:00,2020-03-24,32,6,3,3,0
313,1,3,2020-03-23 21:40:00,2020-03-23,68,5,0,2,0
245,1,3,2020-03-22 21:00:00,2020-03-22,45,4,2,1,0
200,1,1,2020-03-21 21:00:00,2020-03-21,63,3,0,0,0
137,1,1,2020-03-20 21:20:00,2020-03-20,28,2,0,0,1
109,0,1,2020-03-19 21:30:00,2020-03-19,23,1,0,0,0
86,0,1,2020-03-18 22:00:00,2020-03-18,17,0,0,0,0
69,0,1,2020-03-17 21:00:00,2020-03-17,14,0,0,0,0
55,0,1,2020-03-16 21:00:00,2020-03-16,12,0,0,0,0
43,0,1,2020-03-15 21:00:00,2020-03-15,7,0,0,0,0
36,0,1,2020-03-14 21:00:00,2020-03-14,9,0,0,0,0
27,0,1,2020-03-13 21:00:00,2020-03-13,13,0,0,0,0
14,0,1,2020-03-12 21:00:00,2020-03-12,6,0,0,0,0
8,0,1,2020-03-11 21:00:00,2020-03-11,7,0,1,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,1,0,0,0,0
0,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
0,0,0,2020-03-08 21:00:00,2020-03-08,0,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
0,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
0,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
0,0,0,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
0,0,0,2020-02-15 21:00:00,2020-02-15,0,0,0,0,0
0,0,0,2020-02-14 21:00:00,2020-02-14,0,0,0,0,0
0,0,0,2020-02-13 21:00:00,2020-02-13,0,0,0,0,0
0,0,0,2020-02-12 21:00:00,2020-02-12,0,0,0,0,0
0,0,0,2020-02-11 20:30:00,2020-02-11,0,0,0,0,0
0,0,0,2020-02-10 21:00:00,2020-02-10,0,0,0,0,0
0,0,0,2020-02-09 21:00:00,2020-02-09,0,0,0,0,0
0,0,0,2020-02-08 21:00:00,2020-02-08,0,0,0,0,0
0,0,0,2020-02-07 21:00:00,2020-02-07,0,0,0,0,0
0,0,0,2020-02-06 21:00:00,2020-02-06,0,0,0,0,0
0,0,0,2020-02-05 21:00:00,2020-02-05,0,0,0,0,0
0,0,0,2020-02-04 20:00:00,2020-02-04,0,0,0,0,0
0,0,0,2020-02-03 20:00:00,2020-02-03,0,0,0,0,0
0,0,0,2020-02-02 20:00:00,2020-02-02,0,0,0,0,0
0,0,0,2020-02-01 10:00:00,2020-02-01,0,0,0,0,0
