Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
202,35,8,2020-04-18 20:00:00,2020-04-18,3,14,0,25,5
199,30,8,2020-04-17 22:00:00,2020-04-17,25,13,0,24,0
174,30,8,2020-04-16 22:00:00,2020-04-16,13,12,0,23,7
161,23,8,2020-04-15 22:00:00,2020-04-15,2,11,1,22,1
159,22,7,2020-04-14 22:00:00,2020-04-14,12,10,1,21,0
147,22,6,2020-04-13 22:00:00,2020-04-13,13,9,0,20,0
134,22,6,2020-04-12 22:00:00,2020-04-12,1,8,0,19,4
133,18,6,2020-04-11 22:00:00,2020-04-11,4,7,0,18,0
129,18,6,2020-04-10 22:00:00,2020-04-10,5,6,1,17,0
124,18,5,2020-04-09 22:00:00,2020-04-09,5,5,0,16,3
119,15,5,2020-04-08 22:00:00,2020-04-08,4,4,0,15,0
115,15,5,2020-04-07 22:00:00,2020-04-07,2,3,0,14,3
113,12,5,2020-04-06 22:00:00,2020-04-06,9,2,2,13,0
104,12,3,2020-04-05 22:00:00,2020-04-05,8,1,0,12,0
96,12,3,2020-04-04 21:00:00,2020-04-04,4,0,0,11,8
92,4,3,2020-04-03 21:00:00,2020-04-03,15,0,0,10,2
77,2,3,2020-04-02 21:00:00,2020-04-02,8,0,0,9,1
69,1,3,2020-04-01 21:00:00,2020-04-01,4,0,0,8,0
65,1,3,2020-03-31 21:00:00,2020-03-31,1,0,0,7,0
64,1,3,2020-03-30 21:00:00,2020-03-30,8,0,0,6,0
56,1,3,2020-03-29 21:00:00,2020-03-29,0,0,0,5,0
56,1,3,2020-03-28 21:00:00,2020-03-28,4,0,0,4,0
52,1,3,2020-03-27 21:10:00,2020-03-27,11,0,0,3,1
41,0,3,2020-03-26 22:20:00,2020-03-26,4,0,0,2,0
37,0,3,2020-03-25 23:20:00,2020-03-25,10,0,1,1,0
27,0,2,2020-03-24 21:20:00,2020-03-24,5,0,1,0,0
22,0,1,2020-03-23 21:40:00,2020-03-23,0,0,0,0,0
22,0,1,2020-03-22 21:00:00,2020-03-22,4,0,0,0,0
18,0,1,2020-03-21 21:00:00,2020-03-21,5,0,1,0,0
13,0,0,2020-03-20 21:20:00,2020-03-20,2,0,0,0,0
11,0,0,2020-03-19 21:30:00,2020-03-19,0,0,0,0,0
11,0,0,2020-03-18 22:00:00,2020-03-18,2,0,0,0,0
9,0,0,2020-03-17 21:00:00,2020-03-17,1,0,0,0,0
8,0,0,2020-03-16 21:00:00,2020-03-16,1,0,0,0,0
7,0,0,2020-03-15 21:00:00,2020-03-15,1,0,0,0,0
6,0,0,2020-03-14 21:00:00,2020-03-14,0,0,0,0,0
6,0,0,2020-03-13 21:00:00,2020-03-13,1,0,0,0,0
5,0,0,2020-03-12 21:00:00,2020-03-12,0,0,0,0,0
5,0,0,2020-03-11 21:00:00,2020-03-11,4,0,0,0,0
1,0,0,2020-03-10 21:00:00,2020-03-10,0,0,0,0,0
1,0,0,2020-03-09 21:00:00,2020-03-09,0,0,0,0,0
1,0,0,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
0,0,0,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
