Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
6,0,2020-03-12,6,0,0,0,0,0
6,0,2020-03-13,0,0,0,0,0,0
6,0,2020-03-14,0,0,0,0,0,0
6,0,2020-03-15,0,0,0,0,0,0
6,0,2020-03-16,0,0,0,0,0,0
6,0,2020-03-17,0,0,0,0,0,0
13,0,2020-03-18,7,0,0,0,0,0
23,0,2020-03-19,10,0,0,0,0,0
32,0,2020-03-20,9,0,0,0,0,0
43,0,2020-03-21,11,0,0,0,0,0
50,0,2020-03-22,7,0,0,0,0,0
56,0,2020-03-23,6,0,0,0,0,0
65,0,2020-03-24,9,0,0,0,0,0
81,0,2020-03-25,16,0,0,0,0,0
102,0,2020-03-26,21,1,0,0,0,0
119,2,2020-03-27,17,2,2,0,0,0
133,2,2020-03-28,14,3,0,0,0,0
148,2,2020-03-29,15,4,0,0,0,0
155,3,2020-03-30,7,5,1,1,0,0
179,3,2020-03-31,24,6,0,2,0,0
224,3,2020-04-01,45,7,0,3,0,0
252,4,2020-04-02,28,8,1,4,0,0
301,4,2020-04-03,49,9,0,5,0,0
395,6,2020-04-04,94,10,2,6,0,0
438,9,2020-04-05,43,11,3,7,0,0
458,11,2020-04-06,20,12,2,8,0,0
503,15,2020-04-07,45,13,4,9,0,0
539,17,2020-04-08,36,14,2,10,0,0
609,22,2020-04-09,70,15,5,11,0,0
643,25,2020-04-10,34,16,3,12,0,0
676,26,2020-04-11,33,17,1,13,0,0
738,30,2020-04-12,62,18,4,14,0,0
756,31,2020-04-13,18,19,1,15,0,0
791,36,2020-04-14,35,20,5,16,0,0
803,38,2020-04-15,12,21,2,17,0,0
832,41,2020-04-16,29,22,3,18,0,0
874,42,2020-04-17,42,23,1,19,0,0
945,46,2020-04-18,71,24,4,20,0,0
987,48,2020-04-19,42,25,2,21,0,0
1007,51,2020-04-20,20,26,3,22,0,0
1024,51,2020-04-21,17,27,0,23,0,0
1063,57,2020-04-22,39,28,6,24,0,0
1082,60,2020-04-23,19,29,3,25,0,0
1119,64,2020-04-24,37,30,4,26,0,0
1140,69,2020-04-25,21,31,5,27,0,0
1156,72,2020-04-26,16,32,3,28,0,0
1186,75,2020-04-27,30,33,3,29,0,0
1271,77,2020-04-28,85,34,2,30,0,0
1348,82,2020-04-29,77,35,5,31,0,0
1407,83,2020-04-30,59,36,1,32,0,0
1447,89,2020-05-01,40,37,6,33,0,0
1492,90,2020-05-02,45,38,1,34,0,0
1514,93,2020-05-03,22,39,3,35,0,0
1562,94,2020-05-04,48,40,1,36,0,0
1588,99,2020-05-05,26,41,5,37,0,0
1627,101,2020-05-06,39,42,2,38,0,0
1656,104,2020-05-07,29,43,3,39,0,0
1711,106,2020-05-08,55,44,2,40,0,0
1785,107,2020-05-09,74,45,1,41,0,0
1835,109,2020-05-10,50,46,2,42,0,0
1859,112,2020-05-11,24,47,3,43,0,0
1906,113,2020-05-12,47,48,1,44,0,0
1996,117,2020-05-13,90,49,4,45,0,0
2063,120,2020-05-14,67,50,3,46,0,0
2139,122,2020-05-15,76,51,2,47,0,0
2167,124,2020-05-16,28,52,2,48,0,0
2286,124,2020-05-17,119,53,0,49,0,0
2360,127,2020-05-18,74,54,3,50,0,0
2390,130,2020-05-19,30,55,3,51,0,0
2616,137,2020-05-20,226,56,7,52,0,0
2810,141,2020-05-21,194,57,4,53,0,0
2939,146,2020-05-22,129,58,5,54,0,0
3099,150,2020-05-23,160,59,4,55,0,0
3212,153,2020-05-24,113,60,3,56,0,0
3331,156,2020-05-25,119,61,3,57,0,0
3512,159,2020-05-26,181,62,3,58,0,0
3567,164,2020-05-27,55,63,5,59,0,0
4041,174,2020-05-28,474,64,10,60,0,0
4300,178,2020-05-29,259,65,4,61,0,0
4473,181,2020-05-30,173,66,3,62,0,0
4687,182,2020-05-31,214,67,1,63,0,0
4835,190,2020-06-01,148,68,8,64,0,0
5163,199,2020-06-02,328,69,9,65,0,0
5494,205,2020-06-03,331,70,6,66,0,0
5820,215,2020-06-04,326,71,10,67,0,0
6348,227,2020-06-05,528,72,12,68,0,0
6605,232,2020-06-06,257,73,5,69,0,0
6897,237,2020-06-07,292,74,5,70,0,0
7031,243,2020-06-08,134,75,6,71,0,0
7314,253,2020-06-09,283,76,10,72,0,0
7831,275,2020-06-10,517,77,22,73,0,0
8457,282,2020-06-11,626,78,7,74,0,0
8705,294,2020-06-12,248,79,12,75,0,0
9233,312,2020-06-13,528,80,18,76,0,0
9582,326,2020-06-14,349,81,14,77,0,0
9716,334,2020-06-15,134,82,8,78,0,0
10557,364,2020-06-16,841,83,30,79,0,0
11085,386,2020-06-17,528,84,22,80,0,0
11919,406,2020-06-18,834,85,20,81,0,0
12932,428,2020-06-19,1013,86,22,82,0,0
13662,428,2020-06-20,730,87,0,83,0,0
14501,451,2020-06-21,839,88,23,84,0,0
15124,469,2020-06-22,623,89,18,85,0,0
15853,498,2020-06-23,729,90,29,86,0,0
16963,521,2020-06-24,1110,91,23,87,0,0
17821,539,2020-06-25,858,92,18,88,0,0
18672,564,2020-06-26,851,93,25,89,0,0
19819,575,2020-06-27,1147,94,11,90,0,0
20742,599,2020-06-28,923,95,24,91,0,0
20742,599,2020-06-29,0,96,0,92,0,0
