Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
0,0,2020-03-12,0,0,0,0,0,0
0,0,2020-03-13,0,0,0,0,0,0
0,0,2020-03-14,0,0,0,0,0,0
0,0,2020-03-15,0,0,0,0,0,0
0,0,2020-03-16,0,0,0,0,0,0
0,0,2020-03-17,0,0,0,0,0,0
0,0,2020-03-18,0,0,0,0,0,0
1,0,2020-03-19,1,0,0,0,0,0
1,0,2020-03-20,0,0,0,0,0,0
1,0,2020-03-21,0,0,0,0,0,0
1,0,2020-03-22,0,0,0,0,0,0
2,0,2020-03-23,1,0,0,0,0,0
3,0,2020-03-24,1,0,0,0,0,0
3,0,2020-03-25,0,0,0,0,0,0
5,0,2020-03-26,2,0,0,0,0,0
9,0,2020-03-27,4,0,0,0,0,0
14,0,2020-03-28,5,0,0,0,0,0
14,0,2020-03-29,0,0,0,0,0,0
15,0,2020-03-30,1,0,0,0,0,0
17,0,2020-03-31,2,0,0,0,0,0
20,1,2020-04-01,3,0,1,0,0,0
21,1,2020-04-02,1,0,0,0,0,0
29,1,2020-04-03,8,0,0,0,0,0
32,2,2020-04-04,3,0,1,0,0,0
34,4,2020-04-05,2,0,2,1,0,0
35,4,2020-04-06,1,0,0,2,0,0
36,4,2020-04-07,1,0,0,3,0,0
41,4,2020-04-08,5,0,0,4,0,0
55,7,2020-04-09,14,0,3,5,0,0
79,11,2020-04-10,24,0,4,6,0,0
85,11,2020-04-11,6,0,0,7,0,0
101,13,2020-04-12,16,1,2,8,0,0
111,13,2020-04-13,10,2,0,9,0,0
136,16,2020-04-14,25,3,3,10,0,0
151,21,2020-04-15,15,4,5,11,0,0
165,24,2020-04-16,14,5,3,12,0,0
195,26,2020-04-17,30,6,2,13,0,0
205,26,2020-04-18,10,7,0,14,0,0
236,29,2020-04-19,31,8,3,15,0,0
245,32,2020-04-20,9,9,3,16,0,0
263,33,2020-04-21,18,10,1,17,0,0
301,39,2020-04-22,38,11,6,18,0,0
345,40,2020-04-23,44,12,1,19,0,0
386,44,2020-04-24,41,13,4,20,0,0
447,46,2020-04-25,61,14,2,21,0,0
499,49,2020-04-26,52,15,3,22,0,0
543,50,2020-04-27,44,16,1,23,0,0
633,53,2020-04-28,90,17,3,24,0,0
699,58,2020-04-29,66,18,5,25,0,0
814,62,2020-04-30,115,19,4,26,0,0
926,67,2020-05-01,112,20,5,27,0,0
1034,74,2020-05-02,108,21,7,28,0,0
1169,76,2020-05-03,135,22,2,29,0,0
1219,79,2020-05-04,50,23,3,30,0,0
1361,85,2020-05-05,142,24,6,31,0,0
1493,92,2020-05-06,132,25,7,32,0,0
1657,101,2020-05-07,164,26,9,33,0,0
2031,114,2020-05-08,374,27,13,34,0,0
2156,124,2020-05-09,125,28,10,35,0,0
2341,135,2020-05-10,185,29,11,36,0,0
2525,139,2020-05-11,184,30,4,37,0,0
2777,154,2020-05-12,252,31,15,38,0,0
3045,154,2020-05-13,268,32,0,39,0,0
3045,157,2020-05-14,0,33,3,40,0,0
3361,160,2020-05-15,316,34,3,41,0,0
3739,170,2020-05-16,378,35,10,42,0,0
4347,183,2020-05-17,608,36,13,43,0,0
4786,207,2020-05-18,439,37,24,44,0,0
4786,207,2020-05-19,0,38,0,45,0,0
5300,219,2020-05-20,514,39,12,46,0,0
5838,230,2020-05-21,538,40,11,47,0,0
6238,245,2020-05-22,400,41,15,48,0,0
7508,258,2020-05-23,1270,42,13,49,0,0
7823,272,2020-05-24,315,43,14,50,0,0
7823,272,2020-05-25,0,44,0,51,0,0
8919,286,2020-05-26,1096,45,14,52,0,0
8919,286,2020-05-27,0,46,0,53,0,0
11132,318,2020-05-28,2213,47,32,54,0,0
12011,327,2020-05-29,879,48,9,55,0,0
12862,347,2020-05-30,851,49,20,56,0,0
13162,360,2020-05-31,300,50,13,57,0,0
13695,370,2020-06-01,533,51,10,58,0,0
14859,379,2020-06-02,1164,52,9,59,0,0
16018,414,2020-06-03,1159,53,35,60,0,0
17579,438,2020-06-04,1561,54,24,61,0,0
18579,451,2020-06-05,1000,55,13,62,0,0
19787,467,2020-06-06,1208,56,16,63,0,0
20310,484,2020-06-07,523,57,17,64,0,0
20951,507,2020-06-08,641,58,23,65,0,0
22452,534,2020-06-09,1501,59,27,66,0,0
24032,559,2020-06-10,1580,60,25,67,0,0
25370,570,2020-06-11,1338,61,11,68,0,0
26556,610,2020-06-12,1186,62,40,69,0,0
27454,623,2020-06-13,898,63,13,70,0,0
28013,633,2020-06-14,559,64,10,71,0,0
28668,656,2020-06-15,655,65,23,72,0,0
30128,671,2020-06-16,1460,66,15,73,0,0
31712,696,2020-06-17,1584,67,25,74,0,0
31760,709,2020-06-18,48,68,13,75,0,0
35093,724,2020-06-19,3333,69,15,76,0,0
35093,724,2020-06-20,0,70,0,77,0,0
36784,766,2020-06-21,1691,71,42,78,0,0
37253,784,2020-06-22,469,72,18,79,0,0
38999,807,2020-06-23,1746,73,23,80,0,0
38999,807,2020-06-24,0,74,0,81,0,0
