Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
45137,765,2046,2020-04-29 22:00:00,2020-04-29,1489,43,140,38,0
43648,765,1906,2020-04-28 22:00:00,2020-04-28,1032,42,90,37,73
42616,692,1816,2020-04-27 22:00:00,2020-04-27,1011,41,6,36,11
41605,681,1810,2020-04-26 22:00:00,2020-04-26,1397,40,63,35,10
40208,671,1747,2020-04-25 22:00:00,2020-04-25,1829,39,23,34,68
38379,603,1724,2020-04-24 22:00:00,2020-04-24,2167,38,51,33,17
36212,586,1673,2020-04-23 22:00:00,2020-04-23,873,37,59,32,120
35339,466,1614,2020-04-22 22:00:00,2020-04-22,1334,36,257,31,0
34005,466,1357,2020-04-21 22:00:00,2020-04-21,1103,35,81,30,0
32902,466,1276,2020-04-20 22:00:00,2020-04-20,1107,34,171,29,93
31795,373,1105,2020-04-19 22:00:00,2020-04-19,1764,33,184,28,33
30031,340,921,2020-04-18 22:00:00,2020-04-18,1717,32,73,27,23
28314,317,848,2020-04-17 22:00:00,2020-04-17,1510,31,61,26,53
26804,264,787,2020-04-16 22:00:00,2020-04-16,1213,30,85,25,0
25591,264,702,2020-04-15 22:00:00,2020-04-15,1255,29,110,24,0
24336,264,592,2020-04-14 22:00:00,2020-04-14,1339,28,35,23,85
22997,179,557,2020-04-13 22:00:00,2020-04-13,1055,27,27,22,0
21942,179,530,2020-04-12 22:00:00,2020-04-12,1534,26,81,21,9
20408,170,449,2020-04-11 22:00:00,2020-04-11,1775,25,84,20,0
18633,170,365,2020-04-10 22:00:00,2020-04-10,1887,24,46,19,36
16746,134,319,2020-04-09 22:00:00,2020-04-09,1790,23,69,18,0
14956,134,250,2020-04-08 22:00:00,2020-04-08,1750,22,71,17,58
13206,76,179,2020-04-07 22:00:00,2020-04-07,1617,21,28,16,0
11589,76,151,2020-04-06 22:00:00,2020-04-06,1082,20,12,15,0
10507,76,139,2020-04-05 22:00:00,2020-04-05,1937,19,37,14,9
8570,67,102,2020-04-04 21:00:00,2020-04-04,1225,18,10,13,0
7345,67,92,2020-04-03 21:00:00,2020-04-03,1282,17,18,12,9
6063,58,74,2020-04-02 21:00:00,2020-04-02,1069,16,7,11,58
4994,0,67,2020-04-01 21:00:00,2020-04-01,839,15,16,10,0
4155,0,51,2020-03-31 21:00:00,2020-03-31,690,14,8,9,0
