Confirmed,Deaths,date_day,New,DayElapsed,New_death,DayElapsed_death,Recovered,New_recover
0,0,2020-01-21,0,0,0,0,0,0
0,0,2020-01-22,0,0,0,0,0,0
0,0,2020-01-23,0,0,0,0,0,0
0,0,2020-01-24,0,0,0,0,0,0
0,0,2020-01-25,0,0,0,0,0,0
0,0,2020-01-26,0,0,0,0,0,0
0,0,2020-01-27,0,0,0,0,0,0
0,0,2020-01-28,0,0,0,0,0,0
0,0,2020-01-29,0,0,0,0,0,0
0,0,2020-01-30,0,0,0,0,0,0
0,0,2020-01-31,0,0,0,0,0,0
0,0,2020-02-01,0,0,0,0,0,0
0,0,2020-02-02,0,0,0,0,0,0
0,0,2020-02-03,0,0,0,0,0,0
0,0,2020-02-04,0,0,0,0,0,0
0,0,2020-02-05,0,0,0,0,0,0
0,0,2020-02-06,0,0,0,0,0,0
0,0,2020-02-07,0,0,0,0,0,0
0,0,2020-02-08,0,0,0,0,0,0
0,0,2020-02-09,0,0,0,0,0,0
0,0,2020-02-10,0,0,0,0,0,0
0,0,2020-02-11,0,0,0,0,0,0
0,0,2020-02-12,0,0,0,0,0,0
0,0,2020-02-13,0,0,0,0,0,0
0,0,2020-02-14,0,0,0,0,0,0
0,0,2020-02-15,0,0,0,0,0,0
0,0,2020-02-16,0,0,0,0,0,0
0,0,2020-02-17,0,0,0,0,0,0
0,0,2020-02-18,0,0,0,0,0,0
0,0,2020-02-19,0,0,0,0,0,0
0,0,2020-02-20,0,0,0,0,0,0
0,0,2020-02-21,0,0,0,0,0,0
0,0,2020-02-22,0,0,0,0,0,0
0,0,2020-02-23,0,0,0,0,0,0
0,0,2020-02-24,0,0,0,0,0,0
0,0,2020-02-25,0,0,0,0,0,0
0,0,2020-02-26,0,0,0,0,0,0
0,0,2020-02-27,0,0,0,0,0,0
0,0,2020-02-28,0,0,0,0,0,0
0,0,2020-02-29,0,0,0,0,0,0
0,0,2020-03-01,0,0,0,0,0,0
0,0,2020-03-02,0,0,0,0,0,0
0,0,2020-03-03,0,0,0,0,0,0
0,0,2020-03-04,0,0,0,0,0,0
0,0,2020-03-05,0,0,0,0,0,0
0,0,2020-03-06,0,0,0,0,0,0
0,0,2020-03-07,0,0,0,0,0,0
0,0,2020-03-08,0,0,0,0,0,0
0,0,2020-03-09,0,0,0,0,0,0
0,0,2020-03-10,0,0,0,0,0,0
0,0,2020-03-11,0,0,0,0,0,0
2,0,2020-03-12,2,0,0,0,0,0
2,0,2020-03-13,0,0,0,0,0,0
2,0,2020-03-14,0,0,0,0,0,0
2,0,2020-03-15,0,0,0,0,0,0
2,0,2020-03-16,0,0,0,0,0,0
16,0,2020-03-17,14,0,0,0,0,0
16,0,2020-03-18,0,0,0,0,0,0
28,0,2020-03-19,12,0,0,0,0,0
30,0,2020-03-20,2,0,0,0,0,0
30,0,2020-03-21,0,0,0,0,0,0
37,0,2020-03-22,7,0,0,0,0,0
42,0,2020-03-23,5,0,0,0,0,0
42,0,2020-03-24,0,0,0,0,0,0
46,1,2020-03-25,4,0,1,0,0,0
48,3,2020-03-26,2,0,2,1,0,0
56,4,2020-03-27,8,0,1,2,0,0
68,5,2020-03-28,12,0,1,3,0,0
73,5,2020-03-29,5,0,0,4,0,0
78,6,2020-03-30,5,0,1,5,0,0
87,6,2020-03-31,9,0,0,6,0,0
95,8,2020-04-01,8,0,2,7,0,0
106,9,2020-04-02,11,1,1,8,0,0
136,10,2020-04-03,30,2,1,9,0,0
176,14,2020-04-04,40,3,4,10,0,0
201,21,2020-04-05,25,4,7,11,0,0
223,30,2020-04-06,22,5,9,12,0,0
352,34,2020-04-07,129,6,4,13,0,0
401,46,2020-04-08,49,7,12,14,0,0
555,56,2020-04-09,154,8,10,15,0,0
684,65,2020-04-10,129,9,9,16,0,0
816,72,2020-04-11,132,10,7,17,0,0
960,85,2020-04-12,144,11,13,18,0,0
1154,102,2020-04-13,194,12,17,19,0,0
1284,115,2020-04-14,130,13,13,20,0,0
1484,143,2020-04-15,200,14,28,21,0,0
1683,160,2020-04-16,199,15,17,22,0,0
2006,186,2020-04-17,323,16,26,23,0,0
2193,205,2020-04-18,187,17,19,24,0,0
2459,216,2020-04-19,266,18,11,25,0,0
2690,234,2020-04-20,231,19,18,26,0,0
2908,260,2020-04-21,218,20,26,27,0,0
3298,282,2020-04-22,390,21,22,28,0,0
3519,312,2020-04-23,221,22,30,29,0,0
3999,352,2020-04-24,480,23,40,30,0,0
4507,381,2020-04-25,508,24,29,31,0,0
4898,415,2020-04-26,391,25,34,32,0,0
5358,450,2020-04-27,460,26,35,33,0,0
5724,508,2020-04-28,366,27,58,34,0,0
6194,538,2020-04-29,470,28,30,35,0,0
6876,565,2020-04-30,682,29,27,36,0,0
7334,603,2020-05-01,458,30,38,37,0,0
8145,628,2020-05-02,811,31,25,38,0,0
8643,652,2020-05-03,498,32,24,39,0,0
8863,691,2020-05-04,220,33,39,40,0,0
9325,749,2020-05-05,462,34,58,41,0,0
9881,803,2020-05-06,556,35,54,42,0,0
10824,845,2020-05-07,943,36,42,43,0,0
11587,927,2020-05-08,763,37,82,44,0,0
12470,972,2020-05-09,883,38,45,45,0,0
13275,1047,2020-05-10,805,39,75,46,0,0
13768,1087,2020-05-11,493,40,40,47,0,0
14309,1157,2020-05-12,541,41,70,48,0,0
14901,1224,2020-05-13,592,42,67,49,0,0
15588,1298,2020-05-14,687,43,74,50,0,0
16209,1381,2020-05-15,621,44,83,51,0,0
18488,1461,2020-05-16,2279,45,80,52,0,0
19452,1516,2020-05-17,964,46,55,53,0,0
20094,1640,2020-05-18,642,47,124,54,0,0
21242,1741,2020-05-19,1148,48,101,55,0,0
22560,1834,2020-05-20,1318,49,93,56,0,0
23911,1925,2020-05-21,1351,50,91,57,0,0
25760,2057,2020-05-22,1849,51,132,58,0,0
26786,2144,2020-05-23,1026,52,87,59,0,0
27759,2200,2020-05-24,973,53,56,60,0,0
28366,2248,2020-05-25,607,54,48,61,0,0
28366,2248,2020-05-26,0,55,0,62,0,0
