Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
54817,17527,1533,2020-05-07 22:00:00,2020-05-07,3628,51,89,49,2114
51189,15413,1444,2020-05-06 22:00:00,2020-05-06,3817,50,100,48,986
47372,14427,1344,2020-05-05 22:00:00,2020-05-05,1444,49,58,47,877
45928,13550,1286,2020-05-04 22:00:00,2020-05-04,3394,48,86,46,1116
42534,12434,1200,2020-05-03 22:00:00,2020-05-03,2075,47,76,45,1305
40459,11129,1124,2020-05-02 22:00:00,2020-05-02,3483,46,73,44,724
36976,10405,1051,2020-05-01 22:00:00,2020-05-01,3045,45,108,43,368
33931,10037,943,2020-04-30 22:00:00,2020-04-30,2741,44,89,42,858
31190,9179,854,2020-04-29 22:00:00,2020-04-29,2491,43,72,41,754
28699,8425,782,2020-04-28 22:00:00,2020-04-28,1182,42,54,40,337
27517,8088,728,2020-04-27 22:00:00,2020-04-27,2186,41,28,39,291
25331,7797,700,2020-04-26 22:00:00,2020-04-26,3683,40,66,38,301
21648,7496,634,2020-04-25 22:00:00,2020-04-25,734,39,62,37,74
20914,7422,572,2020-04-24 22:00:00,2020-04-24,1664,38,42,36,395
19250,7027,530,2020-04-23 22:00:00,2020-04-23,1413,37,46,35,45
17837,6982,484,2020-04-22 22:00:00,2020-04-22,1512,36,39,34,14
16325,6968,445,2020-04-21 22:00:00,2020-04-21,697,35,45,33,157
15628,6811,400,2020-04-20 22:00:00,2020-04-20,1208,34,52,32,127
14420,6684,348,2020-04-19 22:00:00,2020-04-19,931,33,48,31,143
13489,6541,300,2020-04-18 22:00:00,2020-04-18,998,32,26,30,421
12491,6120,274,2020-04-17 22:00:00,2020-04-17,1016,31,20,29,3012
11475,3108,254,2020-04-16 22:00:00,2020-04-16,1172,30,24,28,239
10303,2869,230,2020-04-15 22:00:00,2020-04-15,519,29,14,27,227
9784,2642,216,2020-04-14 22:00:00,2020-04-14,2265,28,23,26,844
7519,1798,193,2020-04-13 22:00:00,2020-04-13,671,27,12,25,59
6848,1739,181,2020-04-12 22:00:00,2020-04-12,951,26,12,24,170
5897,1569,169,2020-04-11 22:00:00,2020-04-11,641,25,31,23,131
5256,1438,138,2020-04-10 22:00:00,2020-04-10,914,24,17,22,105
4342,1333,121,2020-04-09 22:00:00,2020-04-09,1388,23,14,21,32
2954,1301,107,2020-04-08 22:00:00,2020-04-08,393,22,15,20,304
2561,997,92,2020-04-07 22:00:00,2020-04-07,280,21,9,19,8
2281,989,83,2020-04-06 22:00:00,2020-04-06,535,20,10,18,75
1746,914,73,2020-04-05 22:00:00,2020-04-05,151,19,12,17,377
1595,537,61,2020-04-04 21:00:00,2020-04-04,181,18,6,16,0
1414,537,55,2020-04-03 21:00:00,2020-04-03,91,17,8,15,143
1323,394,47,2020-04-02 21:00:00,2020-04-02,258,16,17,14,0
1065,394,30,2020-04-01 21:00:00,2020-04-01,115,15,6,13,341
950,53,24,2020-03-31 21:00:00,2020-03-31,98,14,6,12,37
