Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
35455,9686,1244,2020-06-28 22:00:00,2020-06-28,652,106,8,108,256
34803,9430,1236,2020-06-27 22:00:00,2020-06-27,730,105,12,107,248
34073,9182,1224,2020-06-26 22:00:00,2020-06-26,1004,104,12,106,272
33069,8910,1212,2020-06-25 22:00:00,2020-06-25,774,103,8,105,254
32295,8656,1204,2020-06-24 22:00:00,2020-06-24,470,102,18,104,214
31825,8442,1186,2020-06-23 22:00:00,2020-06-23,1773,101,17,103,549
30052,7893,1169,2020-06-22 22:00:00,2020-06-22,0,100,0,102,0
30052,7893,1169,2020-06-21 22:00:00,2020-06-21,1593,99,39,101,515
28459,7378,1130,2020-06-20 22:00:00,2020-06-20,0,98,0,100,0
28459,7378,1130,2020-06-19 22:00:00,2020-06-19,660,97,14,99,288
27799,7090,1116,2020-06-18 22:00:00,2020-06-18,561,96,8,98,270
27238,6820,1108,2020-06-17 22:00:00,2020-06-17,457,95,5,97,268
26781,6552,1103,2020-06-16 22:00:00,2020-06-16,361,94,5,96,300
26420,6252,1098,2020-06-15 22:00:00,2020-06-15,490,93,10,95,298
25930,5954,1088,2020-06-14 22:00:00,2020-06-14,538,92,14,94,248
25392,5706,1074,2020-06-13 22:00:00,2020-06-13,605,91,22,93,252
24787,5454,1052,2020-06-12 22:00:00,2020-06-12,612,90,16,92,289
24175,5165,1036,2020-06-11 22:00:00,2020-06-11,443,89,9,91,270
23732,4895,1027,2020-06-10 22:00:00,2020-06-10,740,88,10,90,159
22992,4736,1017,2020-06-09 22:00:00,2020-06-09,518,87,6,89,99
22474,4637,1011,2020-06-08 22:00:00,2020-06-08,579,86,8,88,107
21895,4530,1003,2020-06-07 22:00:00,2020-06-07,555,85,9,87,89
21340,4441,994,2020-06-06 22:00:00,2020-06-06,714,84,7,86,111
20626,4330,987,2020-06-05 22:00:00,2020-06-05,244,83,3,85,82
20382,4248,984,2020-06-04 22:00:00,2020-06-04,634,82,10,84,95
19748,4153,974,2020-06-03 22:00:00,2020-06-03,751,81,8,83,90
18997,4063,966,2020-06-02 22:00:00,2020-06-02,359,80,6,82,84
18638,3979,960,2020-06-01 22:00:00,2020-06-01,1414,79,10,81,171
17224,3808,950,2020-05-31 22:00:00,2020-05-31,590,78,8,80,88
16634,3720,942,2020-05-30 22:00:00,2020-05-30,1046,77,21,79,122
15588,3598,921,2020-05-29 22:00:00,2020-05-29,0,76,0,78,0
15588,3598,921,2020-05-28 22:00:00,2020-05-28,539,75,17,77,92
15049,3506,904,2020-05-27 22:00:00,2020-05-27,380,74,18,76,94
14669,3412,886,2020-05-26 22:00:00,2020-05-26,350,73,13,75,89
14319,3323,873,2020-05-25 22:00:00,2020-05-25,284,72,5,74,74
14035,3249,868,2020-05-24 22:00:00,2020-05-24,258,71,5,73,72
13777,3177,863,2020-05-23 22:00:00,2020-05-23,180,70,6,72,85
13597,3092,857,2020-05-22 22:00:00,2020-05-22,163,69,11,71,92
13434,3000,846,2020-05-21 22:00:00,2020-05-21,213,68,4,70,68
13221,2932,842,2020-05-20 22:00:00,2020-05-20,279,67,5,69,89
12942,2843,837,2020-05-19 22:00:00,2020-05-19,224,66,6,68,114
12718,2729,831,2020-05-18 22:00:00,2020-05-18,205,65,7,67,94
12513,2635,824,2020-05-17 22:00:00,2020-05-17,208,64,7,66,74
12305,2561,817,2020-05-16 22:00:00,2020-05-16,214,63,11,65,101
12091,2460,806,2020-05-15 22:00:00,2020-05-15,215,62,16,64,123
11876,2337,790,2020-05-14 22:00:00,2020-05-14,258,61,18,63,86
11618,2251,772,2020-05-13 22:00:00,2020-05-13,268,60,21,62,145
11350,2106,751,2020-05-12 22:00:00,2020-05-12,264,59,25,61,107
11086,1999,726,2020-05-11 22:00:00,2020-05-11,292,58,7,60,75
10794,1924,719,2020-05-10 22:00:00,2020-05-10,184,57,15,59,82
10610,1842,704,2020-05-09 22:00:00,2020-05-09,147,56,8,58,108
10463,1734,696,2020-05-08 22:00:00,2020-05-08,120,55,11,57,116
10343,1618,685,2020-05-07 22:00:00,2020-05-07,339,54,27,56,112
10004,1506,658,2020-05-06 22:00:00,2020-05-06,320,53,21,55,98
9684,1408,637,2020-05-05 22:00:00,2020-05-05,199,52,14,54,93
9485,1315,623,2020-05-04 22:00:00,2020-05-04,262,51,16,53,101
9223,1214,607,2020-05-03 22:00:00,2020-05-03,295,50,4,52,90
8928,1124,603,2020-05-02 22:00:00,2020-05-02,156,49,24,51,40
8772,1084,579,2020-05-01 22:00:00,2020-05-01,284,48,11,50,41
8488,1043,568,2020-04-30 22:00:00,2020-04-30,276,47,10,49,20
8212,1023,558,2020-04-29 22:00:00,2020-04-29,254,46,28,48,48
7958,975,530,2020-04-28 22:00:00,2020-04-28,181,45,19,47,43
7777,932,511,2020-04-27 22:00:00,2020-04-27,198,44,10,46,70
7579,862,501,2020-04-26 22:00:00,2020-04-26,285,43,7,45,70
7294,792,494,2020-04-25 22:00:00,2020-04-25,102,42,17,44,30
7192,762,477,2020-04-24 22:00:00,2020-04-24,211,41,15,43,40
6981,722,462,2020-04-23 22:00:00,2020-04-23,271,40,16,42,29
6710,693,446,2020-04-22 22:00:00,2020-04-22,111,39,9,41,39
6599,654,437,2020-04-21 22:00:00,2020-04-21,140,38,9,40,41
6459,613,428,2020-04-20 22:00:00,2020-04-20,200,37,19,39,41
6259,572,409,2020-04-19 22:00:00,2020-04-19,172,36,12,38,56
6087,516,397,2020-04-18 22:00:00,2020-04-18,209,35,10,37,29
5878,487,387,2020-04-17 22:00:00,2020-04-17,218,34,25,36,52
5660,435,362,2020-04-16 22:00:00,2020-04-16,207,33,13,35,82
5453,353,349,2020-04-15 22:00:00,2020-04-15,230,32,14,34,58
5223,295,335,2020-04-14 22:00:00,2020-04-14,291,31,20,33,53
4932,242,315,2020-04-13 22:00:00,2020-04-13,284,30,18,32,45
4648,197,297,2020-04-12 22:00:00,2020-04-12,220,29,50,31,40
4428,157,247,2020-04-11 22:00:00,2020-04-11,233,28,26,30,17
4195,140,221,2020-04-10 22:00:00,2020-04-10,119,27,18,29,16
4076,124,203,2020-04-09 22:00:00,2020-04-09,206,26,21,28,28
3870,96,182,2020-04-08 22:00:00,2020-04-08,106,25,5,27,12
3764,84,177,2020-04-07 22:00:00,2020-04-07,104,24,14,26,11
3660,73,163,2020-04-06 22:00:00,2020-04-06,414,23,11,25,9
3246,64,152,2020-04-05 22:00:00,2020-04-05,152,22,8,24,7
3094,57,144,2020-04-04 21:00:00,2020-04-04,76,21,8,23,5
3018,52,136,2020-04-03 21:00:00,2020-04-03,385,20,29,22,1
2633,51,107,2020-04-02 21:00:00,2020-04-02,322,19,11,21,1
2311,50,96,2020-04-01 21:00:00,2020-04-01,227,18,8,20,1
2084,49,88,2020-03-31 21:00:00,2020-03-31,538,17,10,19,7
1546,42,78,2020-03-30 21:00:00,2020-03-30,128,16,7,18,0
1418,42,71,2020-03-29 21:00:00,2020-03-29,343,15,3,17,7
1075,35,68,2020-03-28 21:00:00,2020-03-28,272,14,14,16,4
803,31,54,2020-03-27 21:10:00,2020-03-27,96,13,9,15,3
707,28,45,2020-03-26 22:20:00,2020-03-26,71,12,7,14,2
636,26,38,2020-03-25 23:20:00,2020-03-25,84,11,3,13,6
552,20,35,2020-03-24 21:20:00,2020-03-24,90,10,2,12,2
462,18,33,2020-03-23 21:40:00,2020-03-23,82,9,8,11,3
380,15,25,2020-03-22 21:00:00,2020-03-22,73,8,6,10,2
307,13,19,2020-03-21 21:00:00,2020-03-21,77,7,1,9,5
230,8,18,2020-03-20 21:20:00,2020-03-20,13,6,1,8,0
217,8,17,2020-03-19 21:30:00,2020-03-19,15,5,0,7,4
202,4,17,2020-03-18 22:00:00,2020-03-18,15,4,5,6,-1
187,5,12,2020-03-17 21:00:00,2020-03-17,47,3,0,5,0
140,5,12,2020-03-16 21:00:00,2020-03-16,0,2,1,4,3
140,2,11,2020-03-15 21:00:00,2020-03-15,42,1,3,3,0
98,2,8,2020-03-14 21:00:00,2020-03-14,46,0,3,2,0
52,2,5,2020-03-13 21:00:00,2020-03-13,0,0,3,1,0
52,2,2,2020-03-12 21:00:00,2020-03-12,3,0,1,0,0
49,2,1,2020-03-11 21:00:00,2020-03-11,16,0,0,0,0
33,2,1,2020-03-10 21:00:00,2020-03-10,13,0,0,0,0
20,2,1,2020-03-09 21:00:00,2020-03-09,14,0,0,0,0
6,2,1,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
5,2,1,2020-03-07 21:00:00,2020-03-07,0,0,0,0,0
5,2,1,2020-03-06 21:00:00,2020-03-06,2,0,0,0,0
3,2,1,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
3,2,1,2020-03-04 21:00:00,2020-03-04,0,0,0,0,0
3,2,1,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
3,2,1,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
3,2,1,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
3,2,1,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
3,2,1,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
