Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
6674,439,232,2020-04-13 21:00:00,2020-04-13,318,30,24,30,64
6356,375,208,2020-04-12 22:00:00,2020-04-12,268,29,13,29,0
6088,375,195,2020-04-11 22:00:00,2020-04-11,346,28,20,28,57
5742,318,175,2020-04-10 22:00:00,2020-04-10,401,27,11,27,34
5341,284,164,2020-04-09 22:00:00,2020-04-09,341,26,28,26,62
5000,222,136,2020-04-08 22:00:00,2020-04-08,468,25,25,25,31
4532,191,111,2020-04-07 22:00:00,2020-04-07,331,24,13,24,29
4201,162,98,2020-04-06 22:00:00,2020-04-06,367,23,14,23,28
3834,134,84,2020-04-05 22:00:00,2020-04-05,331,22,11,22,18
3503,116,73,2020-04-04 21:00:00,2020-04-04,354,21,14,21,60
3149,56,59,2020-04-03 21:00:00,2020-04-03,516,20,14,20,0
2633,56,45,2020-04-02 21:00:00,2020-04-02,286,19,10,19,49
2347,7,35,2020-04-01 21:00:00,2020-04-01,215,18,4,18,0
2132,7,31,2020-03-31 21:00:00,2020-03-31,227,17,5,17,0
1905,7,26,2020-03-30 21:00:00,2020-03-30,188,16,7,16,0
1717,7,19,2020-03-29 21:00:00,2020-03-29,281,15,3,15,0
1436,7,16,2020-03-28 21:00:00,2020-03-28,192,14,0,14,0
1244,7,16,2020-03-27 21:10:00,2020-03-27,159,13,2,13,0
1085,7,14,2020-03-26 22:20:00,2020-03-26,128,12,1,12,6
957,1,13,2020-03-25 23:20:00,2020-03-25,183,11,4,11,0
774,1,9,2020-03-24 21:20:00,2020-03-24,125,10,2,10,-12
649,13,7,2020-03-23 21:40:00,2020-03-23,113,9,2,9,0
536,13,5,2020-03-22 21:00:00,2020-03-22,97,8,0,8,0
439,13,5,2020-03-21 21:00:00,2020-03-21,61,7,-1,7,0
378,13,6,2020-03-20 21:20:00,2020-03-20,53,6,1,6,0
325,13,5,2020-03-19 21:30:00,2020-03-19,79,5,0,5,12
246,1,5,2020-03-18 22:00:00,2020-03-18,41,4,0,4,1
205,0,5,2020-03-17 21:00:00,2020-03-17,55,3,2,3,0
150,0,3,2020-03-16 21:00:00,2020-03-16,39,2,0,2,-13
111,13,3,2020-03-15 21:00:00,2020-03-15,27,1,1,1,13
84,0,2,2020-03-14 21:00:00,2020-03-14,23,0,1,0,0
61,0,1,2020-03-13 21:00:00,2020-03-13,14,0,1,0,0
47,0,0,2020-03-12 21:00:00,2020-03-12,22,0,0,0,0
25,0,0,2020-03-11 21:00:00,2020-03-11,7,0,0,0,0
18,0,0,2020-03-10 21:00:00,2020-03-10,3,0,0,0,0
15,0,0,2020-03-09 21:00:00,2020-03-09,9,0,0,0,0
6,0,0,2020-03-08 21:00:00,2020-03-08,1,0,0,0,0
5,0,0,2020-03-07 21:00:00,2020-03-07,4,0,0,0,0
1,0,0,2020-03-06 21:00:00,2020-03-06,0,0,0,0,0
1,0,0,2020-03-05 21:00:00,2020-03-05,0,0,0,0,0
1,0,0,2020-03-04 21:00:00,2020-03-04,1,0,0,0,0
0,0,0,2020-03-03 21:00:00,2020-03-03,0,0,0,0,0
0,0,0,2020-03-02 21:00:00,2020-03-02,0,0,0,0,0
0,0,0,2020-03-01 21:00:00,2020-03-01,0,0,0,0,0
0,0,0,2020-02-29 21:00:00,2020-02-29,0,0,0,0,0
0,0,0,2020-02-28 21:00:00,2020-02-28,0,0,0,0,0
0,0,0,2020-02-27 21:00:00,2020-02-27,0,0,0,0,0
0,0,0,2020-02-26 21:00:00,2020-02-26,0,0,0,0,0
0,0,0,2020-02-25 21:00:00,2020-02-25,0,0,0,0,0
0,0,0,2020-02-24 21:00:00,2020-02-24,0,0,0,0,0
0,0,0,2020-02-23 21:00:00,2020-02-23,0,0,0,0,0
0,0,0,2020-02-22 21:00:00,2020-02-22,0,0,0,0,0
0,0,0,2020-02-21 21:00:00,2020-02-21,0,0,0,0,0
0,0,0,2020-02-20 21:00:00,2020-02-20,0,0,0,0,0
0,0,0,2020-02-19 21:00:00,2020-02-19,0,0,0,0,0
0,0,0,2020-02-18 21:00:00,2020-02-18,0,0,0,0,0
0,0,0,2020-02-17 21:00:00,2020-02-17,0,0,0,0,0
0,0,0,2020-02-16 21:00:00,2020-02-16,0,0,0,0,0
