Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
418,300,0,2020-04-29 07:30:00,2020-04-29,0,35,0,0,0
418,300,0,2020-04-28 22:00:00,2020-04-28,1,34,0,0,0
417,300,0,2020-04-27 22:00:00,2020-04-27,0,33,0,0,0
417,300,0,2020-04-26 22:00:00,2020-04-26,5,32,0,0,0
412,300,0,2020-04-25 22:00:00,2020-04-25,0,31,0,0,62
412,238,0,2020-04-24 22:00:00,2020-04-24,2,30,0,0,0
410,238,0,2020-04-23 22:00:00,2020-04-23,0,29,0,0,0
410,238,0,2020-04-22 22:00:00,2020-04-22,2,28,0,0,0
408,238,0,2020-04-21 22:00:00,2020-04-21,0,27,0,0,1
408,237,0,2020-04-20 22:00:00,2020-04-20,1,26,0,0,0
407,237,0,2020-04-19 22:00:00,2020-04-19,5,25,0,0,0
402,237,0,2020-04-18 22:00:00,2020-04-18,8,24,0,0,0
394,237,0,2020-04-17 22:00:00,2020-04-17,3,23,0,0,0
391,237,0,2020-04-16 22:00:00,2020-04-16,0,22,0,0,197
391,40,0,2020-04-15 22:00:00,2020-04-15,0,21,0,0,0
391,40,0,2020-04-14 22:00:00,2020-04-14,2,20,0,0,0
389,40,0,2020-04-13 22:00:00,2020-04-13,1,19,0,0,0
388,40,0,2020-04-12 22:00:00,2020-04-12,6,18,0,0,0
382,40,0,2020-04-11 22:00:00,2020-04-11,20,17,0,0,0
362,40,0,2020-04-10 22:00:00,2020-04-10,0,16,0,0,0
362,40,0,2020-04-09 22:00:00,2020-04-09,4,15,0,0,0
358,40,0,2020-04-08 22:00:00,2020-04-08,9,14,0,0,0
349,40,0,2020-04-07 22:00:00,2020-04-07,5,13,0,0,0
344,40,0,2020-04-06 22:00:00,2020-04-06,10,12,0,0,0
334,40,0,2020-04-05 22:00:00,2020-04-05,13,11,0,0,0
321,40,0,2020-04-04 21:00:00,2020-04-04,13,10,0,0,0
308,40,0,2020-04-03 21:00:00,2020-04-03,27,9,0,0,0
281,40,0,2020-04-02 21:00:00,2020-04-02,34,8,0,0,39
247,1,0,2020-04-01 21:00:00,2020-04-01,23,7,0,0,0
224,1,0,2020-03-31 21:00:00,2020-03-31,41,6,0,0,0
183,1,0,2020-03-30 21:00:00,2020-03-30,0,5,0,0,0
183,1,0,2020-03-29 21:00:00,2020-03-29,38,4,0,0,0
145,1,0,2020-03-28 21:00:00,2020-03-28,10,3,0,0,0
135,1,0,2020-03-27 21:10:00,2020-03-27,20,2,0,0,0
