Confirmed,Recovered,Deaths,Date_last_updated_AEDT,date_day,New,DayElapsed,New_death,DayElapsed_death,New_recover
15947,1435,833,2020-06-13 22:00:00,2020-06-13,85,82,10,76,16
15862,1419,823,2020-06-12 22:00:00,2020-06-12,106,81,11,75,13
15756,1406,812,2020-06-11 22:00:00,2020-06-11,65,80,4,74,8
15691,1398,808,2020-06-10 22:00:00,2020-06-10,49,79,9,73,8
15642,1390,799,2020-06-09 22:00:00,2020-06-09,201,78,27,72,54
15441,1336,772,2020-06-08 22:00:00,2020-06-08,0,77,0,71,0
15441,1336,772,2020-06-07 22:00:00,2020-06-07,0,76,0,70,0
15441,1336,772,2020-06-06 22:00:00,2020-06-06,116,75,16,69,10
15325,1326,756,2020-06-05 22:00:00,2020-06-05,106,74,14,68,15
15219,1311,742,2020-06-04 22:00:00,2020-06-04,107,73,10,67,9
15112,1302,732,2020-06-03 22:00:00,2020-06-03,121,72,12,66,21
14991,1281,720,2020-06-02 22:00:00,2020-06-02,63,71,2,65,29
14928,1252,718,2020-06-01 22:00:00,2020-06-01,109,70,7,64,27
14819,1225,711,2020-05-31 22:00:00,2020-05-31,184,69,18,63,19
14635,1206,693,2020-05-30 22:00:00,2020-05-30,141,68,16,62,20
14494,1186,677,2020-05-29 22:00:00,2020-05-29,141,67,22,61,11
14353,1175,655,2020-05-28 22:00:00,2020-05-28,143,66,21,60,17
14210,1158,634,2020-05-27 22:00:00,2020-05-27,145,65,26,59,39
14065,1119,608,2020-05-26 22:00:00,2020-05-26,0,64,0,58,0
14065,1119,608,2020-05-25 22:00:00,2020-05-25,113,63,11,57,13
13952,1106,597,2020-05-24 22:00:00,2020-05-24,216,62,18,56,22
13736,1084,579,2020-05-23 22:00:00,2020-05-23,165,61,23,55,37
13571,1047,556,2020-05-22 22:00:00,2020-05-22,215,60,18,54,17
13356,1030,538,2020-05-21 22:00:00,2020-05-21,405,59,6,53,7
12951,1023,532,2020-05-20 22:00:00,2020-05-20,156,58,26,52,11
12795,1012,506,2020-05-19 22:00:00,2020-05-19,121,57,7,51,40
12674,972,499,2020-05-18 22:00:00,2020-05-18,240,56,10,50,25
12434,947,489,2020-05-17 22:00:00,2020-05-17,215,55,10,49,28
12219,919,479,2020-05-16 22:00:00,2020-05-16,203,54,11,48,16
12016,903,468,2020-05-15 22:00:00,2020-05-15,181,53,6,47,17
11835,886,462,2020-05-14 22:00:00,2020-05-14,221,52,18,46,23
11614,863,444,2020-05-13 22:00:00,2020-05-13,164,51,14,45,22
11450,841,430,2020-05-12 22:00:00,2020-05-12,176,50,8,44,32
11274,809,422,2020-05-11 22:00:00,2020-05-11,285,49,4,43,37
10989,772,418,2020-05-10 22:00:00,2020-05-10,210,48,19,42,42
10779,730,399,2020-05-09 22:00:00,2020-05-09,249,47,11,41,34
10530,696,388,2020-05-08 22:00:00,2020-05-08,325,46,18,40,31
